figure_id,common_name_as_printed,binomial_as_printed,audiogram_reference_as_printed,medium,marker
Ef,big brown bat,Eptesicus fuscus,"Koay, Heffner, & Heffner, 1997",air,open_circle_bat
Ml,little brown bat,Myotis lucifugus,"Dalland, 1965",air,open_circle_bat
Nl,fish-catching bat,Noctilio leporinus,"Wenstrup, 1984",air,open_circle_bat
Ra,Egyptian fruit bat,Rousettus aegyptiacus,"present report",air,open_circle_bat
Rf,horseshoe bat,Rhinolophus ferrumequinum,"Long & Schnitzler, 1975",air,open_circle_bat
1,Virginia opossum,Didelphis virginiana,"Ravizza, Heffner, & Masterton, 1969a",air,filled_circle
2,mouse opossum,Marmosa elegans,"Frost & Masterton, 1994",air,filled_circle
3,short-tailed opossum,Monodelphis domestica,"Frost & Masterton, 1994",air,filled_circle
4,hedgehog,Hemiechinus auritus,"Ravizza, Heffner, & Masterton, 1969b",air,filled_circle
5,tree shrew,Tupaia glis,"H. E. Heffner, Ravizza, & Masterton, 1969a",air,filled_circle
6,brown lemur,Lemur fulvus,"Sutherland, Granger, & Masterton, 1988",air,filled_circle
7,slow loris,Nycticebus coucang,"H. E. Heffner & Masterton, 1970",air,filled_circle
8,potto,Perodicticus potto,"H. E. Heffner & Masterton, 1970",air,filled_circle
9,bushbaby,Galago senegalensis,"H. E. Heffner, Ravizza, & Masterton, 1969b",air,filled_circle
10,owl monkey,Aotus trivirgatus,"Beecher, 1974a",air,filled_circle
11,squirrel monkey,Saimiri sciureus,"Beecher, 1974b; Green, 1975",air,filled_circle
12,pigtailed macaque,Macaca nemestrina,"Stebbins, Green, & Miller, 1966",air,filled_circle
13,crab-eating macaque,Macaca irus,"Stebbins et al., 1966",air,filled_circle
14,rhesus macaque,Macaca mulatta,"Pfingst, Laycock, Flammino, Lonsbury-Martin, & Martin, 1978",air,filled_circle
15,Japanese macaque,Macaca fuscata,"Jackson & Heffner, 1997",air,filled_circle
16,vervet,Cercopithecus aithiops,"Owren, Hopp, Sinnott, & Petersen, 1988",air,filled_circle
17,blue monkey,Cercopithecus mitis,"C. H. Brown & Waser, 1984",air,filled_circle
18,DeBrazza monkey,Cercopithecus neglectus,"Owren et al., 1988",air,filled_circle
19,yellow baboon,Papio cynocephalus,"Heinz, Turkkan, & Harris, 1982",air,filled_circle
20,chimpanzee,Pan troglodytes,"Farrer & Prim, 1965",air,filled_circle
21,human,Homo sapiens,"R. S. Heffner & Heffner, 1991",air,filled_circle
22,domestic rabbit,Oryctolagus cuniculus,"H. E. Heffner & Masterton, 1980",air,filled_circle
23,eastern cottontail,Sylvilagus floridana,"R. S. Heffner & Koay, 1995",air,filled_circle
24,eastern chipmunk,Tamias striatus,"R. S. Heffner & Contos, 1989",air,filled_circle
25,groundhog,Marmota monax,"Conesa, Heffner, & Heffner, 1991",air,filled_circle
26,black-tailed prairie dog,Cynomys ludovicianus,"R. S. Heffner, Heffner, Contos, & Kearns, 1994",air,filled_circle
27,white-tailed prairie dog,Cynomys leucurus,"R. S. Heffner et al., 1994",air,filled_circle
28,fox squirrel,Sciureus niger,"Jackson, Heffner, & Heffner, 1997",air,filled_circle
29,pocket gopher,Geomys bursarius,"R. S. Heffner & Heffner, 1990b",air,filled_triangle_subterranean
30,naked mole rat,Heterocephalus glaber,"R. S. Heffner & Heffner, 1993",air,filled_triangle_subterranean
31,blind mole rat,Spalax ehrenbergi,"R. S. Heffner & Heffner, 1992",air,filled_triangle_subterranean
32,kangaroo rat,Dipodomys merriami,"H. E. Heffner & Masterton, 1980",air,filled_circle
33,grasshopper mouse,Onychomys leucogaster,"H. E. Heffner & Heffner, 1985",air,filled_circle
34,cotton rat,Sigmodon hispidus,"H. E. Heffner & Masterton, 1980",air,filled_circle
35,wood rat,Neotoma floridana,"H. E. Heffner & Heffner, 1985",air,filled_circle
36,Darwin's leaf-eared mouse,Phyllotis darwini,"Mooney, Heffner, & Heffner, 1990",air,filled_circle
37,gerbil,Meriones unguiculatus,"Ryan, 1976",air,filled_circle
38,spiny mouse,Acomys cahirinus,"Mooney et al., 1990",air,filled_circle
39,"Norway rat, albino",Rattus norvegicus,"Kelly & Masterton, 1977",air,filled_circle
40,"Norway rat, hooded",Rattus norvegicus,"H. E. Heffner, Heffner, Contos, & Ott, 1994",air,filled_circle
41,"house mouse, wild",Mus musculus,"H. E. Heffner & Masterton, 1980",air,filled_circle
42,"house mouse, domestic",Mus musculus,"Markl & Ehret, 1973",air,filled_circle
43,hamster,Mesocricetus auritus,"R. S. Heffner & Koay, 1993",air,filled_circle
44,guinea pig,Cavia porcellus,"R. S. Heffner, Heffner, & Masterton, 1971",air,filled_circle
45,chinchilla,Chinchilla laniger,"R. S. Heffner & Heffner, 1991",air,filled_circle
46,dog,Canis familiaris,"H. E. Heffner, 1983",air,filled_circle
47,domestic cat,Felis catus,"R. S. Heffner & Heffner, 1985b",air,filled_circle
48,least weasel,Mustela nivalis,"R. S. Heffner & Heffner, 1985a",air,filled_circle
49,ferret,Mustela putorius,"Kelly, Kavanagh, & Dalton, 1986",air,filled_circle
50,harbor seal in air,Phoca vitulina,"Mohl, 1968",air,filled_circle
51,sea lion in air,Zalophus californianus,"Schusterman, Balliet, & Nixon, 1972",air,filled_circle
52,elephant,Elephas maximus,"R. S. Heffner & Heffner, 1980",air,filled_circle
53,horse,Equus caballus,"R. S. Heffner & Heffner, 1983",air,filled_circle
54,pig,Sus scrofa,"R. S. Heffner & Heffner, 1990a",air,filled_circle
55,cattle,Bos taurus,"R. S. Heffner & Heffner, 1983",air,filled_circle
56,goat,Capra hircus,"R. S. Heffner & Heffner, 1990a",air,filled_circle
57,sheep,Ovis aries,"Wollack, 1963",air,filled_circle
58,dolphin,Inia geoffrensis,"Jacobs & Hall, 1972",underwater,open_triangle_marine
59,porpoise,Tursiops truncatus,"Johnson, 1967",underwater,open_triangle_marine
60,killer whale,Orcina orca,"Hall & Johnson, 1972",underwater,open_triangle_marine
61,"beluga whale (Figure 7 only)",Delphinapterus leucas,"Awbrey, Thomas, & Kastelein, 1988; White, Ljungblad, Norris, Baron, & diSciara, 1977",underwater,figure7_only
62,harbor seal,Phoca vitulina,"Mohl, 1968",underwater,open_triangle_marine
63,harp seal,Pagophilus groenlandicus,"Terhune & Ronald, 1972",underwater,open_triangle_marine
64,ringed seal,Pusa hispida,"Terhune & Ronald, 1975",underwater,open_triangle_marine
