"species","LGN_magnocellular_neuron_count","LGN_magnocellular_coefficient_of_error","LGN_parvocellular_neuron_count","LGN_parvocellular_coefficient_of_error","source"
"Homo sapiens",127000,0.05,1025000,0.06,"Bush_Allman_2004_b"
"Pan troglodytes",145000,0.04,1340000,0.05,"Bush_Allman_2004_b"
"Macaca mulatta",163000,0.05,1302000,0.06,"Bush_Allman_2004_b"
