species,magnocellular_count,magnocellular_coefficient_of_error,parvocellular_count,parvocellular_coefficient_of_error
Homo sapiens,127000,0.05,1025000,0.06
Pan troglodytes,145000,0.04,1340000,0.05
Macaca mulatta,163000,0.05,1302000,0.06
