"Species","term","value_2014","value_2015","pct_change"
"Antidorcas marsupialis","CerebralCortex_Mass.g",62.814,68.806,9.539
"Antidorcas marsupialis","CerebralCortex_N.n",375490000,396900000,5.702
"Antidorcas marsupialis","CerebralCortex_N.p.mg",5978,5768,-3.513
"Antidorcas marsupialis","CerebralCortex_O.p.N",10.834,10.396,-4.043
"Antidorcas marsupialis","CerebralCortexGrey_N.p.mg",7051,6684,-5.205
"Antidorcas marsupialis","DiencephalonStriatum_Mass.g",13.814,12.194,-11.727
"Antidorcas marsupialis","DiencephalonStriatum_N.p.mg",2904,3290,13.292
"Antidorcas marsupialis","RoB_Mass.g",27.83,25.81,-7.258
"Antidorcas marsupialis","RoB_N.p.mg",2532,2731,7.859
"Antidorcas marsupialis","WholeBrain_Mass.g",102.102,106.074,3.89
"Antidorcas marsupialis","WholeBrain_N.n",3.06e+09,2.72e+09,-11.111
"Antidorcas marsupialis","WholeBrain_O.p.N",3.251,2.17,-33.251
"Damaliscus pygargus phillipsi","CerebralCortex_Mass.g",109.044,111.31,2.078
"Damaliscus pygargus phillipsi","CerebralCortex_N.n",548580000,570670000,4.027
"Damaliscus pygargus phillipsi","CerebralCortex_N.p.mg",5031,5127,1.908
"Damaliscus pygargus phillipsi","CerebralCortex_O.p.N",11.956,11.851,-0.878
"Damaliscus pygargus phillipsi","Hippocampus_Mass.g",NA,2.266,NA
"Damaliscus pygargus phillipsi","Hippocampus_N.n",NA,22090000,NA
"Damaliscus pygargus phillipsi","Hippocampus_N.p.mg",NA,9750,NA
"Damaliscus pygargus phillipsi","Hippocampus_O.p.N",NA,9.246,NA
"Damaliscus pygargus phillipsi","OlfactoryBulb_N.n",58710000,NA,NA
"Damaliscus pygargus phillipsi","PonsMedulla_Mass.g",NA,8.06,NA
"Damaliscus pygargus phillipsi","PonsMedulla_N.n",NA,20720000,NA
"Damaliscus pygargus phillipsi","PonsMedulla_N.p.mg",NA,2570,NA
"Damaliscus pygargus phillipsi","PonsMedulla_O.p.N",NA,22.81,NA
