footnote,text_as_printed
1,R. Heffner and Contos 1989
2,Ryan 1976
3,"Conesa, Heffner and Heffner 1991"
4,H. Heffner and Masterton 1980
5,"R. Heffner, Heffner and Masterton 1971"
6,R. Heffner and Heffner 1991a
7,present report (blind mole rat, Spalax ehrenbergi)
8,R. Heffner and Heffner 1991b
9,R. Heffner and Heffner 1990a
10,"Kelly and Masterton 1977; R. Heffner, unpublished"
11,H. Heffner and Heffner 1985
12,"Mooney, Heffner and Heffner 1990"
