species,case_number,retinal_area_mm2,total_number_of_cones,total_number_of_rods,cone_density_per_mm2,rod_density_per_mm2
Callithrix jacchus,1,184,3587937,9786595,19499.66,53188.02
Callithrix jacchus,2,224,3881809,11553809,17329.5,51579.5
Saguinus m. niger,1,258,4097219,11055429,15880.69,42850.5
Saguinus m. niger,2,245,3392568,11085930,13847.22,45248.69
Saguinus m. niger,3,196,3610437,10972849,18420.6,55983.92
Saguinus m. niger,4,193,3876553,11427574,20085.77,59210.23
Aotus sp.,1,635,2389765,158777328,3763.41,250043.04
Aotus sp.,2,557,2205835,122513951,3960.21,219953.23
Saimiri ustius,1,293,3605376,35345904,12305.04,120634.48
Saimiri ustius,2,365,3519988,38511202,9643.8,105510.14
Saimiri ustius,3,408,2941289,28269440,7209.04,69287.84
Saimiri ustius,4,341,3486604,32326612,10224.65,94799.45
Cebus apella,1,454,3853230,45121826,8487.29,99387.28
Cebus apella,2,455,3798460,55060093,8348.26,121011.19
Cebus apella,3,575,4486339,47458781,7802.33,82537.01
Cebus apella,4,541,4295170,48856446,7939.32,90307.66
Cebus apella,5,576,5268207,57015172,9146.19,98984.67
Cebus apella,6,637,5364746,61331721,8421.89,96282.14
Cebus apella,7,468,4592541,48144647,9813.12,102873.18
