Species,Common name,Group,Functional head size (us),Minimum audible angle (deg),Highest frequency using binaural phase cue (kHz),Source
Phyllostomus hastatus,Greater spear-nosed bat,Echolocator,108,9.5,Cue not used,Heffner et al. 2007; 2010b
Artibeus jamaicensis,Jamaican fruit bat,Echolocator,89,9.9,6.3,Heffner et al. 2001c
Desmodus rotundus,Common vampire bat,Echolocator,61,13.1,5.0,current report
Eptesicus fuscus,Big brown bat,Echolocator,50,14,Cue not used,Koay et al. 1998
Carollia perspicillata,Short-tailed fruit bat,Echolocator,47,14.7,Cue not used,Heffner et al. 2007; 2010b
Rousettus aegyptiacus,Egyptian fruit bat,Atypical echolocator,135,11.6,5.6,Heffner et al. 1999
Eidolon helvum,Straw-colored fruit bat,Non-echolocator,145,11.7,Cue not used,Heffner et al. 2008
Cynopterus brachyotis,Dog-faced fruit bat,Non-echolocator,86,10.5,Cue not used,Heffner et al. 2008; 2010a
