"species_row","binomial","common_name","echolocation_group","functional_head_size_us","minimum_audible_angle_deg","phase_cue_used","phase_cue_upper_limit_kHz","data_role","source"
1,"Phyllostomus hastatus","Greater spear-nosed bat","Echolocator",108,9.5,FALSE,,"secondary","Heffner et al. 2007; 2010b"
2,"Artibeus jamaicensis","Jamaican fruit bat","Echolocator",89,9.9,TRUE,6.3,"secondary","Heffner et al. 2001c"
3,"Desmodus rotundus","Common vampire bat","Echolocator",61,13.1,TRUE,5,"primary","current report"
4,"Eptesicus fuscus","Big brown bat","Echolocator",50,14,FALSE,,"secondary","Koay et al. 1998"
5,"Carollia perspicillata","Short-tailed fruit bat","Echolocator",47,14.7,FALSE,,"secondary","Heffner et al. 2007; 2010b"
6,"Rousettus aegyptiacus","Egyptian fruit bat","Atypical echolocator",135,11.6,TRUE,5.6,"secondary","Heffner et al. 1999"
7,"Eidolon helvum","Straw-colored fruit bat","Non-echolocator",145,11.7,FALSE,,"secondary","Heffner et al. 2008"
8,"Cynopterus brachyotis","Dog-faced fruit bat","Non-echolocator",86,10.5,FALSE,,"secondary","Heffner et al. 2008; 2010a"
