"Species","Species_binomial","species_sci","clade_printed","neuron_class","body_mass_g","brain_mass_mg","n_length","soma_length_M1","soma_length_M1_sd","soma_length_M1_min","soma_length_M1_max","n_area","soma_area_M1","soma_area_M1_sd","soma_area_M1_min","soma_area_M1_max","n_volume","soma_volume_M1","soma_volume_M1_sd","soma_volume_M1_min","soma_volume_M1_max","method","parse_flags"
"African lion","Panthera leo","Panthera leo","Carnivores","gigantopyramidal",155800,223500,15,20.5,4.6,15,29.8,16,1416.2,644.4,728.6,2858.5,16,46173.6,30550.2,15350.5,119782.3,"unbiased stereology (nucleator probe, StereoInvestigator)",NA
"African lion","Panthera leo","Panthera leo","Carnivores","pyramidal",155800,223500,137,8.9,1.5,5.7,14.8,134,268.9,86.1,113.3,596,132,3793.6,1872.5,1014.5,13002.4,"unbiased stereology (nucleator probe, StereoInvestigator)",NA
"African wild dog","Lycaon pictus","Lycaon pictus","Carnivores","gigantopyramidal",26300,141500,83,12.9,2,10.8,21.7,76,586.4,206.7,391,1622.1,41,16074.3,8689.9,9109.7,NA,"unbiased stereology (nucleator probe, StereoInvestigator)","volume range printed '9,109.7–55,734,1'"
"African wild dog","Lycaon pictus","Lycaon pictus","Carnivores","pyramidal",26300,141500,178,9.1,1,6.3,10.8,167,286.4,51.8,20.11,389.4,207,4391.3,1700,2025.6,8996.72,"unbiased stereology (nucleator probe, StereoInvestigator)",NA
"Amur leopard","Panthera pardus orientalis","Panthera pardus orientalis","Carnivores","gigantopyramidal",52400,125500,29,19.2,6.1,12.3,29.4,29,1316,818.2,479.5,2765.8,27,45239.7,38077.4,9888.8,117188.8,"unbiased stereology (nucleator probe, StereoInvestigator)",NA
"Amur leopard","Panthera pardus orientalis","Panthera pardus orientalis","Carnivores","pyramidal",52400,125500,292,8.3,1.1,6.2,11.7,295,225.9,64.1,122.4,458.2,298,2775.7,1291.9,1051,8841.8,"unbiased stereology (nucleator probe, StereoInvestigator)",NA
"Asian small-clawed otter","Amblonyx cinereus","Amblonyx cinereus","Carnivores","gigantopyramidal",3500,38100,31,16,2.5,13.1,23,29,872.8,274,566.7,1667,30,20560.2,10114.9,10167.7,51610.2,"unbiased stereology (nucleator probe, StereoInvestigator)",NA
"Asian small-clawed otter","Amblonyx cinereus","Amblonyx cinereus","Carnivores","pyramidal",3500,38100,216,8.6,1.6,6.2,12.8,217,252.1,102.2,124.5,552.5,218,3266.5,2056.3,1006.1,9897.8,"unbiased stereology (nucleator probe, StereoInvestigator)",NA
"Banded mongoose","Mungos mungo","Mungos mungo","Carnivores","gigantopyramidal",1300,10500,60,9.8,0.8,9,12,46,330.3,51.4,281.3,495.8,31,5297.7,1167.3,NA,8954.5,"unbiased stereology (nucleator probe, StereoInvestigator)","volume range printed '40,16.1–8,954.5'"
"Banded mongoose","Mungos mungo","Mungos mungo","Carnivores","pyramidal",1300,10500,503,7.5,0.8,6,9,509,187.5,38.1,120,278.3,509,2099.2,691.7,1003.2,3590.5,"unbiased stereology (nucleator probe, StereoInvestigator)",NA
