"clade_printed","Species","species_sci","neuron_type","n_cells","dendritic_volume_M1","dendritic_volume_M1_sd","total_dendritic_length_M1","total_dendritic_length_M1_sd","mean_segment_length_M1","mean_segment_length_M1_sd","dendritic_segment_count_M1","dendritic_segment_count_M1_sd","dendritic_spine_number_M1","dendritic_spine_number_M1_sd","dendritic_spine_density_M1","dendritic_spine_density_M1_sd","soma_size_M1","soma_size_M1_sd","soma_depth_M1","soma_depth_M1_sd","gigantopyramidal_absent","method","parse_flags"
"Diprotodont","Bennett’s wallaby","Notamacropus rufogriseus","Superficial",10,4951,636,4739,381,90,5,53,4,2697,298,0.48,0.04,258,13,540,37,TRUE,"Golgi 2-D somatodendritic tracing",NA
"Diprotodont","Bennett’s wallaby","Notamacropus rufogriseus","Deep",13,14151,2023,4705,619,85,6,52,4,2753,467,0.38,0.03,437,31,1052,33,TRUE,"Golgi 2-D somatodendritic tracing",NA
"Feliforms","Banded mongoose","Mungos mungo","Superficial",10,6400,1010,5092,539,72,5,71,6,3011,442,0.48,0.04,279,21,622,29,TRUE,"Golgi 2-D somatodendritic tracing",NA
"Feliforms","Banded mongoose","Mungos mungo","Deep",14,11551,1404,4931,327,81,5,61,3,3120,251,0.51,0.03,484,74,992,34,TRUE,"Golgi 2-D somatodendritic tracing",NA
"Feliforms","Caracal","Caracal caracal","Superficial",10,7962,1117,6008,464,82,4,75,6,3395,470,0.46,0.05,370,29,670,54,FALSE,"Golgi 2-D somatodendritic tracing",NA
"Feliforms","Caracal","Caracal caracal","Deep",9,15765,3052,5353,329,88,5,61,3,3661,306,0.53,0.02,448,45,1267,64,FALSE,"Golgi 2-D somatodendritic tracing",NA
"Feliforms","Caracal","Caracal caracal","Gigantopyramidal",10,67799,15311,7222,712,88,4,81,6,1187,214,0.15,0.05,2000,182,1199,47,FALSE,"Golgi 2-D somatodendritic tracing",NA
"Feliforms","Clouded leopard","Neofelis nebulosa","Superficial",5,8452,1563,3521,255,62,7,59,6,1353,37,0.35,0.02,306,27,571,50,FALSE,"Golgi 2-D somatodendritic tracing",NA
"Feliforms","Clouded leopard","Neofelis nebulosa","Deep",1,4203,NA,4436,NA,78,NA,57,NA,1170,NA,0.22,NA,294,NA,1435,NA,FALSE,"Golgi 2-D somatodendritic tracing",NA
"Feliforms","Clouded leopard","Neofelis nebulosa","Gigantopyramidal",6,61253,11929,1179,205,63,7,18,2,240,38,0.2,0.03,3720,352,1363,53,FALSE,"Golgi 2-D somatodendritic tracing",NA
