"value_id","Species_SensoryData","common_name","class","source_excel_row","trait","value","value_num","unit","method","substrate","reference","comment","value_origin","qc_status","qc_note"
"SensoryData_r002_visual_acuity_max","Acinonyx jubatus","Cheetah","Mammalia",2,"visual_acuity_max","23.02",23.02,"c/deg","A","","Veilleaux and Kirk 2014","","published","quarantined_va_offset","VA column quarantined pending re-derivation from Veilleux & Kirk 2014 / Kirk & Kay 2004; offset audit status: agree"
"SensoryData_r003_audible_freq_low_60dBSPL","Acomys cahirinus","Spiny mouse","Mammalia",3,"audible_freq_low_60dBSPL","2.3",2.3,"kHz","","","Heffner et al 2001","","published","ok",""
"SensoryData_r003_audible_freq_high_60dBSPL","Acomys cahirinus","Spiny mouse","Mammalia",3,"audible_freq_high_60dBSPL","70.5",70.5,"kHz","","","Heffner et al 2001","","published","ok",""
"SensoryData_r003_interaural_distance_functional","Acomys cahirinus","Spiny mouse","Mammalia",3,"interaural_distance_functional","64",64,"us","","","Heffner and Heffner 1992a","","published","ok",""
"SensoryData_r003_best_sensitivity","Acomys cahirinus","Spiny mouse","Mammalia",3,"best_sensitivity","14",14,"dB","","","Heffner and Heffner 1992","","published","ok",""
"SensoryData_r003_best_frequency","Acomys cahirinus","Spiny mouse","Mammalia",3,"best_frequency","8",8,"kHz","","","Heffner and Heffner 1992","","published","ok",""
"SensoryData_r003_sound_localization_threshold","Acomys cahirinus","Spiny mouse","Mammalia",3,"sound_localization_threshold","18.9",18.9,"deg","","","Heffner and Heffner 2003","","published","ok",""
"SensoryData_r003_binocular_field","Acomys cahirinus","Spiny mouse","Mammalia",3,"binocular_field","75",75,"deg","","","Heffner and Heffner 1992a","","published","ok",""
"SensoryData_r003_binaural_phase_cue","Acomys cahirinus","Spiny mouse","Mammalia",3,"binaural_phase_cue","N",,"Y/N","","","Heffner and Heffner 2003","","published","ok",""
"SensoryData_r003_binaural_intensity_difference_cue","Acomys cahirinus","Spiny mouse","Mammalia",3,"binaural_intensity_difference_cue","Y",,"Y/N","","","Heffner and Heffner 2003","","published","ok",""
"SensoryData_r003_trophic_level","Acomys cahirinus","Spiny mouse","Mammalia",3,"trophic_level","5",5,"ordinal 1-5","","","Heffner and Heffner 1992a","","published","ok",""
"SensoryData_r004_visual_acuity_max","Alouatta caraya","Black-and-gold howler monkey","Mammalia",4,"visual_acuity_max","2.8",2.8,"c/deg","A","","Veilleaux and Kirk 2014","","published","quarantined_va_offset","VA column quarantined pending re-derivation from Veilleux & Kirk 2014 / Kirk & Kay 2004; offset audit status: MISMATCH; value belongs upstream to: Cuniculus paca|Dasyurus hallucatus"
"SensoryData_r005_audible_freq_low_60dBSPL","Anas platyrhynchos","Mallard duck","Aves",5,"audible_freq_low_60dBSPL","0.3",0.3,"kHz","","","Heffner 1998","Original value stated as <.3","published","ok",""
"SensoryData_r005_audible_freq_high_60dBSPL","Anas platyrhynchos","Mallard duck","Aves",5,"audible_freq_high_60dBSPL","6",6,"kHz","","","Heffner 1998","","published","ok",""
"SensoryData_r005_best_sensitivity","Anas platyrhynchos","Mallard duck","Aves",5,"best_sensitivity","15",15,"dB","","","Heffner 1998","","published","ok",""
"SensoryData_r005_best_frequency","Anas platyrhynchos","Mallard duck","Aves",5,"best_frequency","2",2,"kHz","","","Heffner 1998","","published","ok",""
"SensoryData_r006_visual_acuity_max","Aonyx cinerea","Asian clawless otter","Mammalia",6,"visual_acuity_max","59.61",59.61,"c/deg","A","","Veilleaux and Kirk 2014","retinal cone cell density","published","quarantined_va_offset","VA column quarantined pending re-derivation from Veilleux & Kirk 2014 / Kirk & Kay 2004; offset audit status: MISMATCH; value belongs upstream to: Alouatta caraya"
"SensoryData_r007_visual_acuity_max","Aonyx cinerea","Asian clawless otter","Mammalia",7,"visual_acuity_max","2.2",2.2,"c/deg","B","air","Kirk and Kay 2004","","published","quarantined_va_offset","VA column quarantined pending re-derivation from Veilleux & Kirk 2014 / Kirk & Kay 2004; offset audit status: agree; value belongs upstream to: Mustela nivalis"
"SensoryData_r008_visual_acuity_max","Aotus azarae","Azara’s owl monkey","Mammalia",8,"visual_acuity_max","2",2,"c/deg","B","water","Kirk and Kay 2004","","published","quarantined_va_offset","VA column quarantined pending re-derivation from Veilleux & Kirk 2014 / Kirk & Kay 2004; offset audit status: MISMATCH; value belongs upstream to: Aonyx cinerea"
"SensoryData_r009_visual_acuity_max","Aotus trivirgatus","Northern owl monkey","Mammalia",9,"visual_acuity_max","8.3",8.3,"c/deg","A","","Veilleaux and Kirk 2014","","published","quarantined_va_offset","VA column quarantined pending re-derivation from Veilleux & Kirk 2014 / Kirk & Kay 2004; offset audit status: MISMATCH; value belongs upstream to: Aotus azarae|Canis lupus familiaris"
"SensoryData_r009_audible_freq_high_60dBSPL","Aotus trivirgatus","Northern owl monkey","Mammalia",9,"audible_freq_high_60dBSPL","49.5",49.5,"kHz","","","Heffner 2004","","published","ok",""
"SensoryData_r009_interaural_distance_functional","Aotus trivirgatus","Northern owl monkey","Mammalia",9,"interaural_distance_functional","225",225,"us","","","Koay et al 1998","","published","ok",""
"SensoryData_r009_best_sensitivity","Aotus trivirgatus","Northern owl monkey","Mammalia",9,"best_sensitivity","-8",,"dB","","","Heffner 2004","","published","ok",""
