"reference_short","full_citation","note"
"Awbrey et al 1988","Awbrey, F.T., Thomas, J.A. and Kastelein, R.A., 1988. Low‐frequency underwater hearing sensitivity in belugas, Delphinapterus leucas. The Journal of the Acoustical Society of America, 84(6), pp.2273–2275. https://doi.org/10.1121/1.397022.",""
"Babushina et al. 1991","Babushina, Ye.S., Zaslavskii, G.L., and Yurkevich, L.I. (1991) Air and underwater hearing characteristics of the northern fur seal: Audiograms, frequency and differential thresholds. Biophysics, 36, 909-913.",""
"Bell and Fenton 1986","Bell, G.P., Fenton, M.B., 1986. Visual acuity, sensitivity and binocularity in a gleaning insectivorous bat, Macrotus californicus (Chiroptera: Phyllostomidae). Anim. Behav. 34, 409^414.",""
"Branstetter et al 2017","Branstetter, B. K., St. Leger, J., Acton, D., Steward, J., Houser, D., Finneran, J. J., and Jenkins, K. (2017). “Killer whale (Orcinus orca) behavioral audiograms,”","a, b, c ordering was added by me to distinguish between the sources. This is not how they're quoted in literature"
"Dalland 1965","Dalland, J.I. (1965) Hearing sensitivity in bats. Science,150, 1185-1186.",""
"Flydal et al 2001","Flydal, K., Hermansen, A., Enger, P.S., and Reimers, E. (2001) Hearing in reindeer (Rangifer tarandus). J. Comparative Physiology A, 187, 265-269.",""
"Frost & Masterton 1994","Frost, S.B., and Masterton, R.B. (1994) Hearing in primitive mammals: Monodelphis domestica and Marmosa elegans. Hearing Research, 76, 67-72.",""
"Gillette et al. 1973","Gillette, R.G., Brown, R., Herman, P., Vernon, S. and Vernon, J. (1973) The auditory sensitivity of the lemur. American Journal of Physical Anthropology, 38, 365-370.",""
"Heffner 1998","Heffner, H. E. (1998). Auditory awareness in animals. Applied Animal Behaviour Science, 57, 259-268.",""
"Heffner 2004","Heffner, R. S. (2004). Primate hearing from a mammalian perspective.The Anatomical Record Part A, 281A:1111-1122.",""
"Heffner et al 1969","Heffner, H.E., Ravizza, R.J., and Masterton, B.(1969) Hearing in primitive mammals, III: Tree shrew. Journal of Auditory Research, 9, 12-18.",""
"Heffner et al 1994a","Heffner, R.S., Heffner, H.E., Contos, C., and Kearns, D. (1994) Hearing in prairie dogs: Transition between surface and subterranean rodents. Hearing Research, 73, 185-189.",""
"Heffner et al 1994b","Heffner, H.E., Heffner, R.S., Contos, C., and Ott, T. (1994) Audiogram of the hooded Norway rat. Hearing Research,73, 244-248.",""
"Heffner et al 1994c","Heffner, R. S., Heffner, H. E., Kearns, D., Vogel, J. & Koay, G. (1994).Sound localization in chinchillas, I: Left/right discriminations. Hearing Research, 80, 247-257.",""
