source_row,specimen_number,species,common_name,material,stain,plane,section_thickness_micrometers,number_of_slides,number_of_sections,collection_group,continuation_note
452,426,Mus sp.,mouse,Spinal cord,Tol. blue,Transverse,40,7,903,MAMMALS,
453,427,Mus sp.,mouse,Spinal cord,Tol. blue,Transverse,30,14,1235,MAMMALS,
454,428,Mus sp.,mouse,Spinal cord,Tol. blue,Transverse,30,15,1336,MAMMALS,
455,429,Mus sp.,mouse,Spinal cord,Tol. blue,Transverse,30,20,1430,MAMMALS,
456,430,Mus sp.,mouse,Spinal cord,Tol. blue,Transverse,30,17,1270,MAMMALS,
457,431,Mus sp.,mouse,Spinal cord,Tol. blue,Horizontal,30,13,70,MAMMALS,
458,432,Mus sp.,mouse,Spinal cord,Tol. blue,Horizontal,30,13,73,MAMMALS,
459,433,Mus sp.,mouse,Spinal cord,Tol. blue,Horizontal,30,10,50,MAMMALS,
460,434,Mus sp.,mouse,Spinal cord,Tol. blue,Horizontal,30,6,37,MAMMALS,
461,435,Mus sp.,mouse,Spinal cord,Tol. blue,Horizontal,30,9,45,MAMMALS,
462,436,Mus sp.,mouse,Spinal cord,Tol. blue,Longitudinal,30,9,49,MAMMALS,
463,437,Mus sp.,mouse,Spinal cord,Tol. blue,Longitudinal,30,8,41,MAMMALS,
464,438,Mus sp.,mouse,Spinal cord,Tol. blue,Longitudinal,30,10,49,MAMMALS,
465,439,Mus sp.,mouse,Spinal cord,Tol. blue,Longitudinal,30,9,45,MAMMALS,
466,440,Mus sp.,mouse,Spinal cord,Tol. blue,Longitudinal,30,9,45,MAMMALS,
467,441,Mus sp.,mouse,Spinal cord,Tol. blue,Longitudinal,30,9,46,MAMMALS,
468,442,Mus sp.,mouse,Spinal cord,Tol. blue,Longitudinal,30,6,36,MAMMALS,
469,443,Mus sp.,mouse,Spinal cord,Tol. blue,Longitudinal,30,5,28,MAMMALS,
470,444,Mus sp.,mouse,Spinal cord,Tol. blue,Longitudinal,30,6,41,MAMMALS,
471,445,Mus sp.,mouse,Spinal cord,Tol. blue,Longitudinal,30,6,40,MAMMALS,
472,446,Mus sp.,mouse,Spinal cord,Tol. blue,Longitudinal,30,8,41,MAMMALS,
473,447,Mus sp.,mouse,Spinal cord,Tol. blue,Longitudinal,30,6,38,MAMMALS,
474,448,Mus sp.,mouse,Spinal cord,Tol. blue,Longitudinal,30,5,32,MAMMALS,
475,449,Mus sp.,mouse,Spinal cord,Tol. blue,Longitudinal,40,10,70,MAMMALS,
476,450,Mus sp.,mouse,Spinal cord,Tol. blue,Longitudinal,30,7,39,MAMMALS,
477,451,Mus sp.,mouse,Spinal cord,Tol. blue,Longitudinal,40,9,60,MAMMALS,
478,452,Mus sp.,mouse,Spinal cord,Tol. blue,Longitudinal,40,7,35,MAMMALS,
