source_row,specimen_number,species,common_name,material,stain,plane,section_thickness_micrometers,number_of_slides,number_of_sections,collection_group,continuation_note
655,622,Sus scrofa,Pig,Brain,Cresyl. violet,Transverse,,81,990,MAMMALS,( 95 mm. embr. )
656,623,Sus scrofa,Pig,Brain,Cresyl. violet,Transverse,,87,1067,MAMMALS,( 95 mm. embr. )
657,624,Sus scrofa,Pig,Brain,Cresyl. violet,Transverse,,82,1045,MAMMALS,( 100 mm. embr. )
658,625,,Hyrax,Brain,Cresyl. violet & Weil.,Transverse,25,260,1405,MAMMALS,
659,626,Sus scrofa,Pig,Brain,Cresyl. violet,Transverse,,230,1415,MAMMALS,(70mm. embryo)
660,627,Macaca mulatta,Macaque,Brain,Weil & Cresyl. violet,Transverse,,1438,2176,MAMMALS,
661,628,Macaca mulatta,Macaque,Brain,Weil & Thion.,Transverse,25,1438,1503,MAMMALS,
662,629,,Rat,Brain,Thion.,Transverse,25,45,772,MAMMALS,
663,630,,Rat,Brain,Weil,Transverse,25,53,1012,MAMMALS,
664,631,,Rat,Brain,Pyr. silver,Transverse,25,65,1390,MAMMALS,
665,632,,Rat,Brain,Pyr. silver,Horizontal,20,14,226,MAMMALS,
666,633,Cavia cobaya,Guinea pig,Brain,Hansen,Sagittal,,136,1355,MAMMALS,
667,634,Macaca mulatta,Macaque,Brain,Pyr. silver,Transverse,,780,1814,MAMMALS,(stillborn fetus)
668,640,Sus scrofa,Pig,Brain,Thion.,Transverse,25,43,582,MAMMALS,(33 mm. embryo)
669,641,Sus scrofa,Pig,Brain,Thion.,Horizontal,25,35,492,MAMMALS,(25 mm. embryo)
670,642,Sus scrofa,Pig,Brain,Weil,Transverse,25,297,1249,MAMMALS,
671,643,Sus scrofa,Pig,Brain,Thion.,Horizontal,25,35,504,MAMMALS,(30 mm. embryo)
672,644,Homo sapien,Human,Brain stem,,,,,,MAMMALS,
673,645,Saimiri sciurea,Squirrel monkey,Brain,Thion.,Transverse,25,599,1469,MAMMALS,
674,647,Homo sapien,Human,Brain,Cres. violet,Transverse,25,65,736,MAMMALS,(71 mm. embryo)
675,648,Homo sapien,Human,Brain,Cres. violet,Transverse,25,265,1165,MAMMALS,(4.5 month embr.)
676,649,Homo sapien,Human,Brain,Cres. violet,Transverse,20,317,837,MAMMALS,(13.5 cm. embr.)
677,650,Homo sapien,Human,Brain,Tol. blue,Transverse,20,550,1769,MAMMALS,(13.5 cm. embr.)
678,651,Homo sapien,Human,Brain,Hansen,Sagittal,10,124,992,MAMMALS,(72 mm. embr.)
679,652,Homo sapien,Human,Brain,Hansen,Sagittal,15,494,1074,MAMMALS,(14.5 cm. embr.)
680,653,Homo sapien,Human,Brain stem,Tol. blue,Transverse,50,865,1294,MAMMALS,
681,654,Homo sapien,Human,Brain stem,Tol. blue,Transverse,50,375,1143,MAMMALS,
682,655,Homo sapien,Human,Diencephalon,Cres. violet,Transverse,,135,135,MAMMALS,
683,656,Homo sapien,Human,Diencephalon,Cres. violet,Sagittal,,127,127,MAMMALS,
684,657,Homo sapien,Human,Brain stem,Weigert,Transverse,,119,119,MAMMALS,
685,658,Homo sapien,Human,Brain stem,Pal. Weigert,Transverse,,259,259,MAMMALS,
686,659,,Anteater,Brain,Weil,Transverse,25,340,947,MAMMALS,
687,661,Capybara,,Brain,Weil & Thion.,Transverse,25,1725,2572,MAMMALS,
688,646,Sus scrofa,Pig,Brain,Thion.,Transverse,25,46,460,MAMMALS,(38mm. embryo)
689,662,Sus scrofa,Pig,Brain,Cres. violet,Transverse,,31,645,MAMMALS,( embryo)
690,663,Sus scrofa,Pig,Brain,Cres. violet,Transverse,,39,648,MAMMALS,( 30 mm. embryo)
691,664,,,,,,,,,MAMMALS,
692,668,Ovibos moschatus,Musk ox,Brain & Cerv. cord,Alter. Weil & Thion.,Transverse,25,2060,6635,MAMMALS,
693,669,,Water buffalo,Brain,Alter. Weil & Thion.,Transverse,25,2436,3928,MAMMALS,
694,670,Macaca mulatta,Macaque,Brain stem,Tol. blue,Coronal,50,298,760,MAMMALS,
695,671,Macaca mulatta,Macaque,Brain stem,Tol. blue,Transverse,,130,557,MAMMALS,
696,672,Mus sp.,mouse,Brain,Pyr. silver,Transverse,,18,339,MAMMALS,
697,673,Homo sapien,Human,Tub. olf. & Amygdala,,,,,,MAMMALS,
698,674,Mustela novebordensis,Weasel,Brain,Alter. Weil & Thion.,Transverse,25,86,971,MAMMALS,
699,675,Sus scrofa,Pig,Brain,Pyr. silver,Transverse,30,24,577,MAMMALS,(30 mm. embryo)
700,677,Sus scrofa,Pig,Brain,Cres. violet,Transverse,,24,507,MAMMALS,(10 mm. embryo)
701,678,Sus scrofa,Pig,Brain,Cres. violet,Transverse,,20,607,MAMMALS,(12 mm. embryo)
702,679,Sus scrofa,Pig,Brain,Cres. violet,Transverse,,23,774,MAMMALS,(15 mm. embryo)
703,680,Equus caballus,Horse,Brain,Tol. blue,Transverse,40,410,548,MAMMALS,
704,681,Equus caballus,Horse,Brain,Weigert,Transverse,40,546,553,MAMMALS,
705,683,Ovis aries,Sheep,Brain,Thion.,Transverse,25,1331,,MAMMALS,
706,684,Ovis aries,Sheep,Brain,Weil,Transverse,25,1318,,MAMMALS,
707,685,Antilocapra americana,Pronghorn,Brain,Alter. Weil & Thion.,Transverse,25,,,MAMMALS,
708,696,Mustela canis,Smooth Dogfish?,Brain,Tol. blue,Transverse,25,139,1530,MAMMALS,
709,697,Scalopus aquaticus,Mole,Brain,Pyr. silver,Sagittal,25,22,534,MAMMALS,
710,698,Odocoileus virgianus,White-tailed deer,Brain,Thion.,Transverse,25,2436,4634,MAMMALS,
711,699,Odocoileus virgianus,White-tailed deer,Brain,Weil,Transverse,25,1879,3552,MAMMALS,
712,700,Macaca mulatta,Macaque,Spinal cord,Thion.,Transverse,25,197,5955,MAMMALS,
713,704,Felis onca,True jaguar,Brain,Alter. Weil & Thion.,Transverse,25,2569,3371,MAMMALS,
714,705,Scalopus aquaticus,Mole,Brain,Tol. blue,Transverse,25,50,622,MAMMALS,
715,706,Scalopus aquaticus,Mole,Brain,Tol. blue,Sagittal,25,50,607,MAMMALS,
716,707,Scalopus aquaticus,Mole,Brain,Weil,Sagittal,25,60,626,MAMMALS,
717,708,Scalopus aquaticus,Mole,Brain,Pyr. silver,Transverse,25,33,589,MAMMALS,
718,709,Scalopus aquaticus,Mole,Brain,Pyr. silver,Horizontal,25,28,270,MAMMALS,
719,710,Odocoileus virgianus,White-tailed deer,Brain,Alter. Weil & Thion.,Transverse,25,2453,3826,MAMMALS,
720,711,Martes martes,Marten,Brain,Alter. Weil & Thion.,Transverse,25,,1579,MAMMALS,
721,712,Martes pennanti,Fisher,Brain,Alter. Weil & Thion.,Transverse,25,700,2419,MAMMALS,
722,713,Tupaia (?),Fisher (??),Brain,Pyr. silver,Transverse,25,235,246,MAMMALS,
723,714,Felis domesticus,Cat,Brain,Alter. Weil & Thion.,Transverse,25,428,1469,MAMMALS,
724,715,Camelus,,Brain,Alter. Weil & Thion.,Transverse,25,320,348,MAMMALS,
725,716,Trichosurus vulpecula,,Brain,Thion.,Transverse,25,126,1121,MAMMALS,
726,717,,Wolverine,Brain,Weil & Thion. Lux.Cr.violet,Transverse,25,404,760,MAMMALS,
727,718,,Giraffe,Brain,Weil,Transverse,25,T207 H67,T207 H67,MAMMALS,
728,719,Canis occidentalis,Timber wolf,Brain,Weil & Thion. Lux.Cr.violet,Transverse,25,667,806,MAMMALS,
729,720,Rangifer montanus,Caribou,Brain,Weil & Thion. Lux.Cr.violet,Transverse,25,834,1113,MAMMALS,
730,721,Ursus horribilis,Grizzly bear,Brain,Weil & Thion. Lux.Cr.violet,Transverse,25,1020,1300,MAMMALS,
731,722,,Fox Squirrel,Brain,Weil & Thion. Lux.Cr.violet,Transverse,25,70,448,MAMMALS,
732,723,,Fox Squirrel,Brain,Weil & Thion. Lux.Cr.violet,Transverse,25,136,752,MAMMALS,
733,724,,Gerbil,Brain,Weil,Transverse,25,30,606,MAMMALS,
734,725,Tupaia,,Brain,Weil & Cres. violet,Transverse,25,25,280,MAMMALS,
735,726,Nycticebus,,Brain,CV & Lux.Cr.Violet,Transverse,25,187,898,MAMMALS,
736,727,,Horse,Brain,Weil & Thion.& Lux.Cr.Violet,Transverse,25,,,MAMMALS,
737,728,,Moose,Brain,Weil & Thion.& Lux.Cr.Violet,Transverse,25,,,MAMMALS,
738,729,,Brahma Bull,Brain Hypophysis,Weil & Thion.& Lux.Cr.Violet,Transverse,25,,,MAMMALS,
739,730,Ursus gygas,Alaskan brown bear,Brain,Weil & Thion.& Lux.Cr.Violet,Transverse,25,,,MAMMALS,
