"species_row","binomial","common_name","echolocation_status","localization_threshold_deg","data_role","source"
1,"Phyllostomus hastatus","Greater spear-nosed bat","Echolocator",9.5,"secondary","Heffner et al. (2007)"
2,"Artibeus jamaicensis","Jamaican fruit bat","Echolocator",9.9,"secondary","Heffner et al. (2001)"
3,"Cynopterus brachyotis","Dog-faced fruit bat","Non-echolocator",10.5,"primary","this study"
4,"Eidolon helvum","Straw-colored fruit bat","Non-echolocator",11.7,"primary","this study"
5,"Rousettus aegyptiacus","Egyptian fruit bat","Atypical echolocator (tongue-click)",11.6,"secondary","Heffner et al. (1999)"
6,"Eptesicus fuscus","Big brown bat","Echolocator",14,"secondary","Koay et al. (1998)"
7,"Carollia perspicillata","Short-tailed fruit bat","Echolocator",14.7,"secondary","Heffner et al. (2007)"
