Species,Common name,Echolocation status,Passive sound-localization threshold (deg),Source
Phyllostomus hastatus,Greater spear-nosed bat,Echolocator,9.5,Heffner et al. (2007)
Artibeus jamaicensis,Jamaican fruit bat,Echolocator,9.9,Heffner et al. (2001)
Cynopterus brachyotis,Dog-faced fruit bat,Non-echolocator,10.5,this study
Eidolon helvum,Straw-colored fruit bat,Non-echolocator,11.7,this study
Rousettus aegyptiacus,Egyptian fruit bat,Atypical echolocator (tongue-click),11.6,Heffner et al. (1999)
Eptesicus fuscus,Big brown bat,Echolocator,14,Koay et al. (1998)
Carollia perspicillata,Short-tailed fruit bat,Echolocator,14.7,Heffner et al. (2007)
