"Species","Measure","Units","n_sources","n_teams","pooled","spread_max_over_min","flag","per_source"
"Galago senegalensis group","Body_Mass","g",242,1,"185.2145","3.46","DISAGREEMENT>2x","Isler2008(Isler,secondary)=198.0 | Isler2008(Isler,secondary)=170.0 | Isler2008(Isler,secondary)=198.0 | Isler2008(Isler,secondary)=170.0 | Isler2008(Isler,secondary)=142.0 | Isler2008(Isler,secondary)=142.0 | Isler2008(Isler,secondary)=113.0 | Isler2008(Isler,secondary)=142.0 | Isler2008(Isler,secondary)=85.0 | Isler2008(Isler,secondary)=113.0 | Isler2008(Isler,secondary)=85.0 | Isler2008(Isler,secondary)=170.0 | Isler2008(Isler,secondary)=142.0 | Isler2008(Isler,secondary)=142.0 | Isler2008(Isler,secondary)=113.0 | Isler2008(Isler,secondary)=142.0 | Isler2008(Isler,secondary)=142.0 | Isler2008(Isler,secondary)=113.0 | Isler2008(Isler,secondary)=170.0 | Isler2008(Isler,secondary)=142.0 | Isler2008(Isler,secondary)=142.0 | Isler2008(Isler,secondary)=142.0 | Isler2008(Isler,secondary)=170.4 | Isler2008(Isler,secondary)=142.0 | Isler2008(Isler,secondary)=142.0 | Isler2008(Isler,secondary)=113.0 | Isler2008(Isler,secondary)=170.0 | Isler2008(Isler,secondary)=170.0 | Isler2008(Isler,secondary)=92.0 | Isler2008(Isler,secondary)=156.0 | Isler2008(Isler,secondary)=155.0 | Isler2008(Isler,secondary)=146.0 | Isler2008(Isler,secondary)=164.0 | Isler2008(Isler,secondary)=161.0 | Isler2008(Isler,secondary)=150.0 | Isler2008(Isler,secondary)=183.0 | Isler2008(Isler,secondary)=174.0 | Isler2008(Isler,secondary)=137.0 | Isler2008(Isler,secondary)=173.0 | Isler2008(Isler,secondary)=137.0 | Isler2008(Isler,secondary)=140.0 | Isler2008(Isler,secondary)=125.0 | Isler2008(Isler,secondary)=188.0 | Isler2008(Isler,secondary)=157.0 | Isler2008(Isler,secondary)=155.0 | Isler2008(Isler,secondary)=140.0 | Isler2008(Isler,secondary)=190.0 | Isler2008(Isler,secondary)=104.5 | Isler2008(Isler,secondary)=214.0 | Isler2008(Isler,secondary)=174.0 | Isler2008(Isler,secondary)=183.0 | Isler2008(Isler,secondary)=180.0 | Isler2008(Isler,secondary)=163.0 | Isler2008(Isler,secondary)=192.0 | Isler2008(Isler,secondary)=113.0 | Isler2008(Isler,secondary)=205.0 | Isler2008(Isler,secondary)=166.0 | Isler2008(Isler,secondary)=208.0 | Isler2008(Isler,secondary)=161.0 | Isler2008(Isler,secondary)=184.0 | Isler2008(Isler,secondary)=180.0 | Isler2008(Isler,secondary)=186.0 | Isler2008(Isler,secondary)=155.0 | Isler2008(Isler,secondary)=176.0 | Isler2008(Isler,secondary)=235.0 | Isler2008(Isler,secondary)=184.0 | Isler2008(Isler,secondary)=184.0 | Isler2008(Isler,secondary)=184.0 | Isler2008(Isler,secondary)=185.0 | Isler2008(Isler,secondary)=164.0 | Isler2008(Isler,secondary)=142.0 | Isler2008(Isler,secondary)=232.0 | Isler2008(Isler,secondary)=188.0 | Isler2008(Isler,secondary)=206.0 | Isler2008(Isler,secondary)=209.0 | Isler2008(Isler,secondary)=207.0 | Isler2008(Isler,secondary)=236.0 | Isler2008(Isler,secondary)=152.0 | Isler2008(Isler,secondary)=229.0 | Isler2008(Isler,secondary)=234.0 | Isler2008(Isler,secondary)=202.0 | Isler2008(Isler,secondary)=200.0 | Isler2008(Isler,secondary)=211.0 | Isler2008(Isler,secondary)=201.0 | Isler2008(Isler,secondary)=152.0 | Isler2008(Isler,secondary)=205.0 | Isler2008(Isler,secondary)=194.0 | Isler2008(Isler,secondary)=198.0 | Isler2008(Isler,secondary)=237.0 | Isler2008(Isler,secondary)=201.0 | Isler2008(Isler,secondary)=246.0 | Isler2008(Isler,secondary)=173.0 | Isler2008(Isler,secondary)=180.0 | Isler2008(Isler,secondary)=134.0 | Isler2008(Isler,secondary)=145.0 | Isler2008(Isler,secondary)=165.0 | Isler2008(Isler,secondary)=168.0 | Isler2008(Isler,secondary)=112.0 | Isler2008(Isler,secondary)=177.0 | Isler2008(Isler,secondary)=214.0 | Isler2008(Isler,secondary)=294.0 | Isler2008(Isler,secondary)=153.0 | Isler2008(Isler,secondary)=160.0 | Isler2008(Isler,secondary)=145.0 | Isler2008(Isler,secondary)=200.0 | Isler2008(Isler,secondary)=157.0 | Isler2008(Isler,secondary)=190.0 | Isler2008(Isler,secondary)=164.0 | Isler2008(Isler,secondary)=226.0 | Isler2008(Isler,secondary)=150.0 | Isler2008(Isler,secondary)=181.0 | Isler2008(Isler,secondary)=177.0 | Isler2008(Isler,secondary)=212.0 | Isler2008(Isler,secondary)=212.0 | Isler2008(Isler,secondary)=175.0 | Isler2008(Isler,secondary)=147.0 | Isler2008(Isler,secondary)=175.0 | Isler2008(Isler,secondary)=205.0 | Isler2008(Isler,secondary)=217.0 | Isler2008(Isler,secondary)=197.0 | Isler2008(Isler,secondary)=218.0 | Isler2008(Isler,secondary)=142.0 | Isler2008(Isler,secondary)=256.0 | Isler2008(Isler,secondary)=154.0 | Isler2008(Isler,secondary)=206.0 | Isler2008(Isler,secondary)=169.0 | Isler2008(Isler,secondary)=148.0 | Isler2008(Isler,secondary)=254.0 | Isler2008(Isler,secondary)=153.0 | Isler2008(Isler,secondary)=198.0 | Isler2008(Isler,secondary)=206.0 | Isler2008(Isler,secondary)=194.0 | Isler2008(Isler,secondary)=197.0 | Isler2008(Isler,secondary)=178.0 | Isler2008(Isler,secondary)=142.0 | Isler2008(Isler,secondary)=232.0 | Isler2008(Isler,secondary)=167.0 | Isler2008(Isler,secondary)=181.0 | Isler2008(Isler,secondary)=183.0 | Isler2008(Isler,secondary)=151.0 | Isler2008(Isler,secondary)=216.0 | Isler2008(Isler,secondary)=184.0 | Isler2008(Isler,secondary)=178.0 | Isler2008(Isler,secondary)=174.0 | Isler2008(Isler,secondary)=220.0 | Isler2008(Isler,secondary)=162.0 | Isler2008(Isler,secondary)=173.0 | Isler2008(Isler,secondary)=208.0 | Isler2008(Isler,secondary)=175.0 | Isler2008(Isler,secondary)=212.0 | Isler2008(Isler,secondary)=201.0 | Isler2008(Isler,secondary)=216.0 | Isler2008(Isler,secondary)=202.0 | Isler2008(Isler,secondary)=215.0 | Isler2008(Isler,secondary)=223.0 | Isler2008(Isler,secondary)=195.0 | Isler2008(Isler,secondary)=211.0 | Isler2008(Isler,secondary)=217.0 | Isler2008(Isler,secondary)=175.0 | Isler2008(Isler,secondary)=167.0 | Isler2008(Isler,secondary)=175.0 | Isler2008(Isler,secondary)=194.0 | Isler2008(Isler,secondary)=231.0 | Isler2008(Isler,secondary)=209.0 | Isler2008(Isler,secondary)=170.0 | Isler2008(Isler,secondary)=220.0 | Isler2008(Isler,secondary)=212.0 | Isler2008(Isler,secondary)=183.0 | Isler2008(Isler,secondary)=240.0 | Isler2008(Isler,secondary)=236.0 | Isler2008(Isler,secondary)=228.0 | Isler2008(Isler,secondary)=232.0 | Isler2008(Isler,secondary)=212.0 | Isler2008(Isler,secondary)=177.0 | Isler2008(Isler,secondary)=200.0 | Isler2008(Isler,secondary)=213.0 | Isler2008(Isler,secondary)=202.0 | Isler2008(Isler,secondary)=205.0 | Isler2008(Isler,secondary)=202.0 | Isler2008(Isler,secondary)=172.0 | Isler2008(Isler,secondary)=154.0 | Isler2008(Isler,secondary)=220.0 | Isler2008(Isler,secondary)=182.0 | Isler2008(Isler,secondary)=134.0 | Isler2008(Isler,secondary)=135.0 | Isler2008(Isler,secondary)=181.0 | Isler2008(Isler,secondary)=190.0 | Isler2008(Isler,secondary)=232.0 | Isler2008(Isler,secondary)=236.0 | Isler2008(Isler,secondary)=186.0 | Isler2008(Isler,secondary)=188.0 | Isler2008(Isler,secondary)=237.0 | Isler2008(Isler,secondary)=193.0 | Isler2008(Isler,secondary)=214.0 | Isler2008(Isler,secondary)=245.0 | Isler2008(Isler,secondary)=248.0 | Isler2008(Isler,secondary)=206.0 | Isler2008(Isler,secondary)=168.0 | Isler2008(Isler,secondary)=140.0 | Isler2008(Isler,secondary)=175.0 | Isler2008(Isler,secondary)=213.0 | Isler2008(Isler,secondary)=158.0 | Isler2008(Isler,secondary)=177.0 | Isler2008(Isler,secondary)=183.0 | Isler2008(Isler,secondary)=264.0 | Isler2008(Isler,secondary)=220.0 | Isler2008(Isler,secondary)=190.0 | Isler2008(Isler,secondary)=237.0 | Isler2008(Isler,secondary)=204.0 | Isler2008(Isler,secondary)=205.0 | Isler2008(Isler,secondary)=201.0 | Isler2008(Isler,secondary)=181.0 | Isler2008(Isler,secondary)=204.0 | Isler2008(Isler,secondary)=218.0 | Isler2008(Isler,secondary)=237.0 | Isler2008(Isler,secondary)=212.0 | Isler2008(Isler,secondary)=194.0 | Isler2008(Isler,secondary)=149.0 | Isler2008(Isler,secondary)=221.0 | Isler2008(Isler,secondary)=185.0 | Isler2008(Isler,secondary)=226.0 | Isler2008(Isler,secondary)=180.0 | Isler2008(Isler,secondary)=220.0 | Isler2008(Isler,secondary)=210.0 | Isler2008(Isler,secondary)=187.0 | Isler2008(Isler,secondary)=175.0 | Isler2008(Isler,secondary)=181.0 | Isler2008(Isler,secondary)=195.0 | Isler2008(Isler,secondary)=207.0 | Isler2008(Isler,secondary)=235.0 | Isler2008(Isler,secondary)=185.0 | Isler2008(Isler,secondary)=208.0 | Isler2008(Isler,secondary)=232.0 | Isler2008(Isler,secondary)=204.0 | Isler2008(Isler,secondary)=169.0 | Isler2008(Isler,secondary)=236.0 | Isler2008(Isler,secondary)=271.0 | Isler2008(Isler,secondary)=228.0 | Isler2008(Isler,secondary)=258.0 | Isler2008(Isler,secondary)=218.0 | Isler2008(Isler,secondary)=159.0 | Isler2008(Isler,secondary)=239.0"
"Cebus apella group","Body_Mass","g",218,1,"2633.6422","3.37","DISAGREEMENT>2x","Isler2008(Isler,secondary)=1920.0 | Isler2008(Isler,secondary)=2500.0 | Isler2008(Isler,secondary)=2400.0 | Isler2008(Isler,secondary)=2050.0 | Isler2008(Isler,secondary)=2100.0 | Isler2008(Isler,secondary)=2000.0 | Isler2008(Isler,secondary)=2750.0 | Isler2008(Isler,secondary)=2350.0 | Isler2008(Isler,secondary)=2700.0 | Isler2008(Isler,secondary)=1900.0 | Isler2008(Isler,secondary)=2460.0 | Isler2008(Isler,secondary)=3200.0 | Isler2008(Isler,secondary)=2200.0 | Isler2008(Isler,secondary)=2300.0 | Isler2008(Isler,secondary)=3010.0 | Isler2008(Isler,secondary)=2420.0 | Isler2008(Isler,secondary)=1650.0 | Isler2008(Isler,secondary)=2550.0 | Isler2008(Isler,secondary)=3800.0 | Isler2008(Isler,secondary)=3700.0 | Isler2008(Isler,secondary)=3175.0 | Isler2008(Isler,secondary)=1814.0 | Isler2008(Isler,secondary)=2300.0 | Isler2008(Isler,secondary)=2750.0 | Isler2008(Isler,secondary)=3580.0 | Isler2008(Isler,secondary)=3300.0 | Isler2008(Isler,secondary)=2800.0 | Isler2008(Isler,secondary)=3200.0 | Isler2008(Isler,secondary)=4200.0 | Isler2008(Isler,secondary)=2350.0 | Isler2008(Isler,secondary)=3750.0 | Isler2008(Isler,secondary)=3300.0 | Isler2008(Isler,secondary)=3400.0 | Isler2008(Isler,secondary)=3300.0 | Isler2008(Isler,secondary)=2250.0 | Isler2008(Isler,secondary)=4300.0 | Isler2008(Isler,secondary)=3550.0 | Isler2008(Isler,secondary)=4000.0 | Isler2008(Isler,secondary)=2420.0 | Isler2008(Isler,secondary)=4150.0 | Isler2008(Isler,secondary)=4290.0 | Isler2008(Isler,secondary)=2550.0 | Isler2008(Isler,secondary)=3000.0 | Isler2008(Isler,secondary)=3000.0 | Isler2008(Isler,secondary)=2000.0 | Isler2008(Isler,secondary)=3000.0 | Isler2008(Isler,secondary)=4000.0 | Isler2008(Isler,secondary)=3500.0 | Isler2008(Isler,secondary)=3500.0 | Isler2008(Isler,secondary)=4000.0 | Isler2008(Isler,secondary)=3130.0 | Isler2008(Isler,secondary)=2600.0 | Isler2008(Isler,secondary)=1290.0 | Isler2008(Isler,secondary)=3600.0 | Isler2008(Isler,secondary)=2950.0 | Isler2008(Isler,secondary)=1665.0 | Isler2008(Isler,secondary)=3000.0 | Isler2008(Isler,secondary)=2900.0 | Isler2008(Isler,secondary)=2000.0 | Isler2008(Isler,secondary)=3600.0 | Isler2008(Isler,secondary)=1950.0 | Isler2008(Isler,secondary)=1700.0 | Isler2008(Isler,secondary)=2800.0 | Isler2008(Isler,secondary)=2500.0 | Isler2008(Isler,secondary)=1500.0 | Isler2008(Isler,secondary)=2000.0 | Isler2008(Isler,secondary)=1500.0 | Isler2008(Isler,secondary)=1700.0 | Isler2008(Isler,secondary)=2500.0 | Isler2008(Isler,secondary)=2000.0 | Isler2008(Isler,secondary)=2000.0 | Isler2008(Isler,secondary)=2000.0 | Isler2008(Isler,secondary)=2500.0 | Isler2008(Isler,secondary)=2850.0 | Isler2008(Isler,secondary)=1910.0 | Isler2008(Isler,secondary)=1715.0 | Isler2008(Isler,secondary)=2400.0 | Isler2008(Isler,secondary)=1900.0 | Isler2008(Isler,secondary)=1650.0 | Isler2008(Isler,secondary)=2100.0 | Isler2008(Isler,secondary)=2000.0 | Isler2008(Isler,secondary)=3000.0 | Isler2008(Isler,secondary)=2600.0 | Isler2008(Isler,secondary)=2550.0 | Isler2008(Isler,secondary)=2150.0 | Isler2008(Isler,secondary)=1850.0 | Isler2008(Isler,secondary)=2150.0 | Isler2008(Isler,secondary)=1600.0 | Isler2008(Isler,secondary)=2800.0 | Isler2008(Isler,secondary)=2850.0 | Isler2008(Isler,secondary)=3500.0 | Isler2008(Isler,secondary)=2800.0 | Isler2008(Isler,secondary)=3000.0 | Isler2008(Isler,secondary)=3150.0 | Isler2008(Isler,secondary)=3500.0 | Isler2008(Isler,secondary)=2800.0 | Isler2008(Isler,secondary)=2150.0 | Isler2008(Isler,secondary)=3450.0 | Isler2008(Isler,secondary)=3550.0 | Isler2008(Isler,secondary)=3600.0 | Isler2008(Isler,secondary)=3150.0 | Isler2008(Isler,secondary)=2250.0 | Isler2008(Isler,secondary)=2150.0 | Isler2008(Isler,secondary)=1550.0 | Isler2008(Isler,secondary)=2150.0 | Isler2008(Isler,secondary)=1900.0 | Isler2008(Isler,secondary)=2200.0 | Isler2008(Isler,secondary)=2000.0 | Isler2008(Isler,secondary)=2400.0 | Isler2008(Isler,secondary)=1750.0 | Isler2008(Isler,secondary)=1800.0 | Isler2008(Isler,secondary)=1900.0 | Isler2008(Isler,secondary)=1900.0 | Isler2008(Isler,secondary)=1900.0 | Isler2008(Isler,secondary)=1850.0 | Isler2008(Isler,secondary)=2000.0 | Isler2008(Isler,secondary)=1750.0 | Isler2008(Isler,secondary)=1600.0 | Isler2008(Isler,secondary)=2500.0 | Isler2008(Isler,secondary)=2000.0 | Isler2008(Isler,secondary)=2250.0 | Isler2008(Isler,secondary)=3330.0 | Isler2008(Isler,secondary)=3800.0 | Isler2008(Isler,secondary)=2600.0 | Isler2008(Isler,secondary)=2700.0 | Isler2008(Isler,secondary)=2430.0 | Isler2008(Isler,secondary)=3050.0 | Isler2008(Isler,secondary)=2900.0 | Isler2008(Isler,secondary)=2700.0 | Isler2008(Isler,secondary)=3500.0 | Isler2008(Isler,secondary)=3150.0 | Isler2008(Isler,secondary)=3200.0 | Isler2008(Isler,secondary)=2600.0 | Isler2008(Isler,secondary)=3500.0 | Isler2008(Isler,secondary)=3350.0 | Isler2008(Isler,secondary)=3150.0 | Isler2008(Isler,secondary)=3600.0 | Isler2008(Isler,secondary)=3350.0 | Isler2008(Isler,secondary)=3550.0 | Isler2008(Isler,secondary)=3350.0 | Isler2008(Isler,secondary)=2850.0 | Isler2008(Isler,secondary)=4150.0 | Isler2008(Isler,secondary)=3800.0 | Isler2008(Isler,secondary)=4000.0 | Isler2008(Isler,secondary)=2050.0 | Isler2008(Isler,secondary)=3100.0 | Isler2008(Isler,secondary)=2400.0 | Isler2008(Isler,secondary)=3100.0 | Isler2008(Isler,secondary)=1350.0 | Isler2008(Isler,secondary)=1600.0 | Isler2008(Isler,secondary)=2050.0 | Isler2008(Isler,secondary)=2300.0 | Isler2008(Isler,secondary)=1710.0 | Isler2008(Isler,secondary)=1820.0 | Isler2008(Isler,secondary)=1380.0 | Isler2008(Isler,secondary)=2300.0 | Isler2008(Isler,secondary)=2100.0 | Isler2008(Isler,secondary)=2250.0 | Isler2008(Isler,secondary)=2100.0 | Isler2008(Isler,secondary)=2525.0 | Isler2008(Isler,secondary)=2250.0 | Isler2008(Isler,secondary)=2800.0 | Isler2008(Isler,secondary)=2950.0 | Isler2008(Isler,secondary)=3000.0 | Isler2008(Isler,secondary)=2700.0 | Isler2008(Isler,secondary)=2450.0 | Isler2008(Isler,secondary)=2450.0 | Isler2008(Isler,secondary)=2500.0 | Isler2008(Isler,secondary)=2400.0 | Isler2008(Isler,secondary)=2050.0 | Isler2008(Isler,secondary)=2000.0 | Isler2008(Isler,secondary)=1890.0 | Isler2008(Isler,secondary)=3650.0 | Isler2008(Isler,secondary)=2200.0 | Isler2008(Isler,secondary)=1950.0 | Isler2008(Isler,secondary)=1600.0 | Isler2008(Isler,secondary)=1800.0 | Isler2008(Isler,secondary)=2650.0 | Isler2008(Isler,secondary)=3750.0 | Isler2008(Isler,secondary)=4000.0 | Isler2008(Isler,secondary)=3650.0 | Isler2008(Isler,secondary)=3900.0 | Isler2008(Isler,secondary)=4000.0 | Isler2008(Isler,secondary)=3450.0 | Isler2008(Isler,secondary)=4000.0 | Isler2008(Isler,secondary)=3800.0 | Isler2008(Isler,secondary)=3050.0 | Isler2008(Isler,secondary)=4350.0 | Isler2008(Isler,secondary)=2850.0 | Isler2008(Isler,secondary)=1900.0 | Isler2008(Isler,secondary)=2000.0 | Isler2008(Isler,secondary)=1900.0 | Isler2008(Isler,secondary)=3000.0 | Isler2008(Isler,secondary)=2500.0 | Isler2008(Isler,secondary)=2850.0 | Isler2008(Isler,secondary)=1600.0 | Isler2008(Isler,secondary)=2400.0 | Isler2008(Isler,secondary)=2500.0 | Isler2008(Isler,secondary)=2500.0 | Isler2008(Isler,secondary)=2550.0 | Isler2008(Isler,secondary)=2300.0 | Isler2008(Isler,secondary)=2350.0 | Isler2008(Isler,secondary)=2250.0 | Isler2008(Isler,secondary)=2500.0 | Isler2008(Isler,secondary)=2100.0 | Isler2008(Isler,secondary)=2100.0 | Isler2008(Isler,secondary)=2350.0 | Isler2008(Isler,secondary)=1550.0 | Isler2008(Isler,secondary)=2050.0 | Isler2008(Isler,secondary)=2250.0 | Isler2008(Isler,secondary)=2200.0 | Isler2008(Isler,secondary)=3050.0 | Isler2008(Isler,secondary)=2500.0 | Isler2008(Isler,secondary)=2850.0 | Isler2008(Isler,secondary)=3300.0 | Isler2008(Isler,secondary)=2100.0 | Isler2008(Isler,secondary)=3150.0 | Isler2008(Isler,secondary)=2050.0"
"Tupaia glis","Body_Mass","g",137,17,"180.5","214.91","DISAGREEMENT>2x","Nudo1995(Nudo,primary)=230.0 | MedinaGonzález2026(MedinaGonzález,secondary)=180.0 | MedinaGonzález2026(MedinaGonzález,secondary)=151.0 | MedinaGonzález2026(MedinaGonzález,secondary)=210.0 | Haarlem2026(Haarlem,secondary)=142.0 | Burger2019(Burger,secondary)=170.0 | Genoud2018(Genoud,secondary)=123.0 | Genoud2018(Genoud,secondary)=149.8 | Boddy2012(Boddy,secondary)=170.0 | Zilles2011(Zilles,secondary)=165.0 | Zilles2011(Zilles,secondary)=149.0 | Zilles2011(Zilles,secondary)=143.3 | Zilles2011(Zilles,secondary)=200.0 | Zilles2011(Zilles,secondary)=133.0 | Zilles2011(Zilles,secondary)=180.0 | Zilles2011(Zilles,secondary)=198.0 | Zilles2011(Zilles,secondary)=181.0 | Zilles2011(Zilles,secondary)=203.0 | Zilles2011(Zilles,secondary)=178.0 | Zilles2011(Zilles,secondary)=177.0 | Zilles2011(Zilles,secondary)=164.2 | Zilles2011(Zilles,secondary)=166.0 | Zilles2011(Zilles,secondary)=221.0 | Zilles2011(Zilles,secondary)=193.0 | Zilles2011(Zilles,secondary)=179.0 | Zilles2011(Zilles,secondary)=141.0 | Zilles2011(Zilles,secondary)=153.0 | Zilles2011(Zilles,secondary)=155.0 | Zilles2011(Zilles,secondary)=163.0 | Zilles2011(Zilles,secondary)=165.0 | Zilles2011(Zilles,secondary)=167.0 | Zilles2011(Zilles,secondary)=158.0 | Zilles2011(Zilles,secondary)=139.0 | Zilles2011(Zilles,secondary)=160.0 | Zilles2011(Zilles,secondary)=131.0 | Zilles2011(Zilles,secondary)=154.0 | Zilles2011(Zilles,secondary)=160.0 | Zilles2011(Zilles,secondary)=212.0 | Zilles2011(Zilles,secondary)=175.0 | Zilles2011(Zilles,secondary)=175.0 | Zilles2011(Zilles,secondary)=211.0 | Zilles2011(Zilles,secondary)=196.0 | Zilles2011(Zilles,secondary)=184.0 | Zilles2011(Zilles,secondary)=178.0 | Zilles2011(Zilles,secondary)=168.0 | Zilles2011(Zilles,secondary)=146.0 | Zilles2011(Zilles,secondary)=143.0 | Zilles2011(Zilles,secondary)=129.0 | Zilles2011(Zilles,secondary)=161.1 | Zilles2011(Zilles,secondary)=177.5 | Zilles2011(Zilles,secondary)=180.3 | Zilles2011(Zilles,secondary)=160.7 | Zilles2011(Zilles,secondary)=176.4 | Zilles2011(Zilles,secondary)=180.2 | Zilles2011(Zilles,secondary)=165.5 | Zilles2011(Zilles,secondary)=159.1 | Zilles2011(Zilles,secondary)=137.0 | Zilles2011(Zilles,secondary)=176.9 | Zilles2011(Zilles,secondary)=192.7 | Zilles2011(Zilles,secondary)=91.0 | Zilles2011(Zilles,secondary)=180.0 | Zilles2011(Zilles,secondary)=67.1 | Zilles2011(Zilles,secondary)=1.14 | Zilles2011(Zilles,secondary)=245.0 | Zilles2011(Zilles,secondary)=192.0 | Zilles2011(Zilles,secondary)=181.8 | Zilles2011(Zilles,secondary)=173.0 | Zilles2011(Zilles,secondary)=202.3 | Zilles2011(Zilles,secondary)=171.5 | Zilles2011(Zilles,secondary)=210.2 | Zilles2011(Zilles,secondary)=178.4 | Zilles2011(Zilles,secondary)=159.4 | Zilles2011(Zilles,secondary)=178.4 | Zilles2011(Zilles,secondary)=188.4 | Zilles2011(Zilles,secondary)=157.6 | Zilles2011(Zilles,secondary)=161.2 | Zilles2011(Zilles,secondary)=178.3 | Zilles2011(Zilles,secondary)=201.4 | Zilles2011(Zilles,secondary)=161.7 | Zilles2011(Zilles,secondary)=231.0 | Zilles2011(Zilles,secondary)=175.7 | Zilles2011(Zilles,secondary)=168.5 | Zilles2011(Zilles,secondary)=155.2 | Zilles2011(Zilles,secondary)=203.5 | Zilles2011(Zilles,secondary)=223.1 | Zilles2011(Zilles,secondary)=197.8 | Zilles2011(Zilles,secondary)=171.7 | Zilles2011(Zilles,secondary)=167.9 | Zilles2011(Zilles,secondary)=198.5 | Zilles2011(Zilles,secondary)=171.8 | Zilles2011(Zilles,secondary)=186.0 | Zilles2011(Zilles,secondary)=203.0 | Zilles2011(Zilles,secondary)=227.6 | Zilles2011(Zilles,secondary)=212.2 | Zilles2011(Zilles,secondary)=181.1 | Zilles2011(Zilles,secondary)=224.3 | Zilles2011(Zilles,secondary)=206.3 | Zilles2011(Zilles,secondary)=183.8 | Zilles2011(Zilles,secondary)=216.6 | Zilles2011(Zilles,secondary)=169.4 | Zilles2011(Zilles,secondary)=157.0 | Zilles2011(Zilles,secondary)=174.4 | Zilles2011(Zilles,secondary)=189.5 | Zilles2011(Zilles,secondary)=171.1 | Zilles2011(Zilles,secondary)=206.0 | Zilles2011(Zilles,secondary)=164.7 | Zilles2011(Zilles,secondary)=175.1 | Zilles2011(Zilles,secondary)=214.0 | Zilles2011(Zilles,secondary)=231.4 | Zilles2011(Zilles,secondary)=195.0 | Zilles2011(Zilles,secondary)=162.8 | Zilles2011(Zilles,secondary)=194.4 | Zilles2011(Zilles,secondary)=171.8 | Zilles2011(Zilles,secondary)=189.6 | Zilles2011(Zilles,secondary)=172.2 | Zilles2011(Zilles,secondary)=147.2 | Zilles2011(Zilles,secondary)=227.0 | Zilles2011(Zilles,secondary)=205.8 | Zilles2011(Zilles,secondary)=184.7 | Zilles2011(Zilles,secondary)=207.9 | Zilles2011(Zilles,secondary)=204.1 | Zilles2011(Zilles,secondary)=198.0 | Sherwood2003(Sherwood,secondary)=170.0 | NA(10.1159%2F000121494_TableI.tsv,secondary)=160.0 | Heffner1975(Heffner,primary)=160.0 | Stephan1981(Stephan_collection,primary)=170.0 | Matano1985(Stephan_collection,secondary)=170.0 | Matano1985(Stephan_collection,secondary)=170.0 | Matano1986(Matano,secondary)=170.0 | Veilleux2014(Veilleux,secondary)=130.0 | HerculanoHouzel2015(HerculanoHouzel,secondary)=172.5 | Lewitus2014(Lewitus,secondary)=173.333 | Matano1992(Matano,secondary)=170.0 | Wilman2014(Wilman,secondary)=169.83 | Stephan1970(Stephan_collection,primary)=150.0 | Stephan1970(Stephan_collection,primary)=150.0 | Stephan1988(Stephan,primary)=170.0"
