"Species","measure_class","Measure","Units","Value","Value_median","n_sources","n_teams","n_teams_primary","primary_used","Teams","roles","value_min","value_max"
"Abditomys latidens","mass","Body_Mass","g",269,269,4,1,0,FALSE,"Wilman","secondary",NA,NA
"Abeomelomys sevia","mass","Body_Mass","g",58.14,58.14,5,2,0,FALSE,"Burger; Wilman","secondary",NA,NA
"Abrawayaomys ruschii","mass","Body_Mass","g",63,63,4,1,0,FALSE,"Wilman","secondary",NA,NA
"Abrocoma bennettii","mass","Body_Mass","g",250.5,250.5,4,1,0,FALSE,"Wilman","secondary",NA,NA
"Abrocoma boliviensis","mass","Body_Mass","g",158,158,4,1,0,FALSE,"Wilman","secondary",NA,NA
"Abrocoma budini","mass","Body_Mass","g",214.69,214.69,4,1,0,FALSE,"Wilman","secondary",NA,NA
"Abrocoma cinerea","mass","Body_Mass","g",250,250,4,1,0,FALSE,"Wilman","secondary",NA,NA
"Abrocoma famatina","mass","Body_Mass","g",214.69,214.69,4,1,0,FALSE,"Wilman","secondary",NA,NA
"Abrocoma shistacea","mass","Body_Mass","g",214.69,214.69,4,1,0,FALSE,"Wilman","secondary",NA,NA
"Abrocoma uspallata","mass","Body_Mass","g",214.69,214.69,4,1,0,FALSE,"Wilman","secondary",NA,NA
"Abrocoma vaccarum","mass","Body_Mass","g",214.69,214.69,4,1,0,FALSE,"Wilman","secondary",NA,NA
"Abrothrix andinus","mass","Body_Mass","g",25.23,25.23,10,2,0,FALSE,"Genoud; Wilman","secondary",NA,NA
"Abrothrix hershkovitzi","mass","Body_Mass","g",32.42,32.42,4,1,0,FALSE,"Wilman","secondary",NA,NA
"Abrothrix illuteus","mass","Body_Mass","g",47.79,47.79,4,1,0,FALSE,"Wilman","secondary",NA,NA
"Abrothrix jelskii","mass","Body_Mass","g",34.5,34.5,4,1,0,FALSE,"Wilman","secondary",NA,NA
"Abrothrix lanosus","mass","Body_Mass","g",25.915,25.915,5,2,0,FALSE,"Genoud; Wilman","secondary",NA,NA
"Abrothrix longipilis","mass","Body_Mass","g",40.58,40.58,5,2,0,FALSE,"Genoud; Wilman","secondary",NA,NA
"Abrothrix markhami","mass","Body_Mass","g",29.03,29.03,4,1,0,FALSE,"Wilman","secondary",NA,NA
"Abrothrix olivaceus","mass","Body_Mass","g",27.527,27.527,7,2,0,FALSE,"Genoud; Wilman","secondary",NA,NA
"Abrothrix sanborni","mass","Body_Mass","g",24.7,24.7,4,1,0,FALSE,"Wilman","secondary",NA,NA
"Acerodon celebensis","mass","Body_Mass","g",390,390,4,1,0,FALSE,"Wilman","secondary",NA,NA
"Acerodon humilis","mass","Body_Mass","g",462.47,462.47,4,1,0,FALSE,"Wilman","secondary",NA,NA
"Acerodon jubatus","mass","Body_Mass","g",1075,1075,4,1,0,FALSE,"Wilman","secondary",NA,NA
"Acerodon leucotis","mass","Body_Mass","g",462.47,462.47,4,1,0,FALSE,"Wilman","secondary",NA,NA
"Acerodon mackloti","mass","Body_Mass","g",470.33,470.33,4,1,0,FALSE,"Wilman","secondary",NA,NA
"Acinonyx jubatus","mass","Body_Mass","g",44355,44850,8,4,0,FALSE,"Burger; Genoud; Wilman; Wimberly","secondary",NA,NA
"Acomys airensis","mass","Body_Mass","g",28.81,28.81,4,1,0,FALSE,"Wilman","secondary",NA,NA
"Acomys cahirinus","mass","Body_Mass","g",43.252,46.305,11,3,0,FALSE,"Burger; Genoud; Wilman","secondary",NA,NA
"Acomys chudeaui","mass","Body_Mass","g",28.81,28.81,4,1,0,FALSE,"Wilman","secondary",NA,NA
"Acomys cilicicus","mass","Body_Mass","g",28.61,28.61,4,1,0,FALSE,"Wilman","secondary",NA,NA
"Acomys cineraceus","mass","Body_Mass","g",30.59,30.59,4,1,0,FALSE,"Wilman","secondary",NA,NA
"Acomys dimidiatus","mass","Body_Mass","g",28.81,28.81,4,1,0,FALSE,"Wilman","secondary",NA,NA
"Acomys ignitus","mass","Body_Mass","g",24,24,4,1,0,FALSE,"Wilman","secondary",NA,NA
"Acomys johannis","mass","Body_Mass","g",28.81,28.81,4,1,0,FALSE,"Wilman","secondary",NA,NA
"Acomys kempi","mass","Body_Mass","g",22,22,4,1,0,FALSE,"Wilman","secondary",NA,NA
"Acomys louisae","mass","Body_Mass","g",20.2,20.2,4,1,0,FALSE,"Wilman","secondary",NA,NA
"Acomys minous","mass","Body_Mass","g",62.5,62.5,4,1,0,FALSE,"Wilman","secondary",NA,NA
"Acomys mullah","mass","Body_Mass","g",28.74,28.74,4,1,0,FALSE,"Wilman","secondary",NA,NA
"Acomys nesiotes","mass","Body_Mass","g",28.67,28.67,4,1,0,FALSE,"Wilman","secondary",NA,NA
"Acomys percivali","mass","Body_Mass","g",22,22,4,1,0,FALSE,"Wilman","secondary",NA,NA
