"Species","Body_Mass.g"
"Abditomys latidens",269
"Abeomelomys sevia",58.14
"Abrawayaomys ruschii",63
"Abrocoma bennettii",250.5
"Abrocoma boliviensis",158
"Abrocoma budini",214.69
"Abrocoma cinerea",250
"Abrocoma famatina",214.69
"Abrocoma shistacea",214.69
"Abrocoma uspallata",214.69
"Abrocoma vaccarum",214.69
"Abrothrix andinus",25.23
"Abrothrix hershkovitzi",32.42
"Abrothrix illuteus",47.79
"Abrothrix jelskii",34.5
"Abrothrix lanosus",25.915
"Abrothrix longipilis",40.58
"Abrothrix markhami",29.03
"Abrothrix olivaceus",27.527
"Abrothrix sanborni",24.7
"Acerodon celebensis",390
"Acerodon humilis",462.47
"Acerodon jubatus",1075
"Acerodon leucotis",462.47
"Acerodon mackloti",470.33
"Acinonyx jubatus",44355
"Acomys airensis",28.81
"Acomys cahirinus",43.252
"Acomys chudeaui",28.81
"Acomys cilicicus",28.61
"Acomys cineraceus",30.59
"Acomys dimidiatus",28.81
"Acomys ignitus",24
"Acomys johannis",28.81
"Acomys kempi",22
"Acomys louisae",20.2
"Acomys minous",62.5
"Acomys mullah",28.74
"Acomys nesiotes",28.67
"Acomys percivali",22
"Acomys russatus",55.787
"Acomys seurati",28.81
"Acomys spinosissimus",26.76
"Acomys subspinosus",26.63
"Acomys wilsoni",18.5
"Aconaemys fuscus",122.75
"Aconaemys porteri",113.5
"Aconaemys sagei",96.5
"Acrobates pygmaeus",14
"Adapornis personata",40
"Addax nasomaculatus",88500.16
"Aepeomys lugens",37
"Aepeomys reigi",37
"Aepyceros melampus",54233.923
"Aepyprymnus rufescens",2500
"Aeretes melanopterus",753.23
"Aeromys tephromelas",1132
"Aeromys thomasi",1435
"Aethalops aequalis",15
"Aethalops alecto",15
"Aethomys bocagei",79.89
"Aethomys chrysophilus",95.925
"Aethomys hindei",124.9
"Aethomys ineptus",133.16
"Aethomys kaiseri",90
"Aethomys nyikae",77.01
"Aethomys silindensis",82.76
"Aethomys stannarius",82.9
"Aethomys thomasi",84.69
"Ailuropoda melanoleuca",104633.33
"Ailurops melanotis",10000
"Ailurops ursinus",10000
"Ailurus fulgens",5350.02
"Akodon aerosus",60
"Akodon affinis",24.9
"Akodon albiventer",26.4
"Akodon aliquantulus",31.32
"Akodon azarae",24.704
"Akodon bogotensis",13
"Akodon boliviensis",27.5
"Akodon budini",26.9
"Akodon cursor",39.85
"Akodon dayi",32.5
"Akodon dolores",50.5
"Akodon fumeus",22.7
"Akodon iniscatus",28.7
"Akodon juninensis",39
"Akodon kofordi",29.5
"Akodon latebricola",39
"Akodon leucolimnaeus",31.32
"Akodon lindberghi",26.4
"Akodon lutescens",20.69
"Akodon mimus",24
"Akodon molinae",33
"Akodon mollis",30.4
"Akodon montensis",31.32
"Akodon mystax",18.5
"Akodon neocenus",42.4
"Akodon oenos",31.32
"Akodon orophilus",39
"Akodon paranaensis",31.32
"Akodon pervalens",31.32
"Akodon reigi",31.32
"Akodon sanctipaulensis",27.1
"Akodon serrensis",28.3
"Akodon siberiae",34.6
"Akodon simulator",42.5
"Akodon spegazzinii",28.6
"Akodon subfuscus",30.4
"Akodon surdus",39
"Akodon sylvanus",39
"Akodon toba",51.2
"Akodon torques",39
"Akodon varius",40
"Alcelaphus buselaphus",136172.348
"Alcelaphus caama",176115.97
"Alcelaphus lichtensteinii",166847.83
"Alces alces",278499.08
"Alces americanus",387820.147
"Alionycteris paucidentata",16.15
"Allactaga balikunica",93.08
"Allactaga bullata",89.35
"Allactaga elater",59
"Allactaga euphratica",232
"Allactaga firouzi",92.39
"Allactaga hotsoni",76.5
"Allactaga major",350
"Allactaga severtzovi",159
"Allactaga sibirica",145.25
"Allactaga tetradactyla",52
"Allactaga vinogradovi",90.51
"Allactaga williamsi",116.74
"Allactodipus bobrinskii",65.3
"Allenopithecus nigroviridis",4309.99
"Allocebus trichotis",77.5
"Allocricetulus curtatus",47.83
"Allocricetulus eversmanni",115.56
"Alouatta belzebul",6178.75
"Alouatta caraya",5382.16
"Alouatta caraya group",5255.556
"Alouatta coibensis",6320.06
"Alouatta guariba",4865.833
"Alouatta macconnelli",6359.185
"Alouatta nigerrima",6320.06
"Alouatta palliata",5835.679
"Alouatta palliata group",6256.1
"Alouatta pigra",7870.606
"Alouatta sara",6611.04
"Alouatta seniculus",6400
"Alouatta seniculus group",5758.769
"Alticola albicaudus",34.53
"Alticola argentatus",45.3
"Alticola barakshin",33.6
"Alticola lemminus",33.56
"Alticola macrotis",36
"Alticola montosa",34.53
"Alticola olchonensis",36.96
"Alticola roylei",37
"Alticola semicanus",33.39
"Alticola stoliczkanus",27.47
"Alticola strelzowi",50
"Alticola tuvinicus",33.32
"Amblysomus corriae",52.6
"Amblysomus hottentotus",66.812
"Amblysomus marleyi",52.6
"Amblysomus robustus",52.6
"Amblysomus septentrionalis",52.6
