"source","doi","source_table","taxon_level","species_printed","Species","specimen_id","observation_level","n_specimens","age_class","age_detail","sex","hemisphere","region_printed","region","m1_compatible","layer_printed","layer","layer_status","measure","statistic","value","unit","uncertainty_type","uncertainty_value","n_sampling_locations","sampling_detail","value_basis","source_location","curation_note"
"Johnson_etal_2016_Table1","10.1002/cne.24022","Table 1","species","Siberian tiger","Panthera tigris altaica","ST","single-specimen summary",1,"adult","12 years","female","left","Prefrontal cortex","prefrontal cortex",FALSE,"Layer I","I","present","absolute thickness","mean",356,"um","SD",48,10,"Mean and SD across 10 sampling locations in each region of interest; clouded-leopard values combine two specimens.","printed value","Table 1, PDF page 5",
"Johnson_etal_2016_Table1","10.1002/cne.24022","Table 1","species","Siberian tiger","Panthera tigris altaica","ST","single-specimen summary",1,"adult","12 years","female","left","Prefrontal cortex","prefrontal cortex",FALSE,"Layer II","II","present","absolute thickness","mean",179,"um","SD",20,10,"Mean and SD across 10 sampling locations in each region of interest; clouded-leopard values combine two specimens.","printed value","Table 1, PDF page 5",
"Johnson_etal_2016_Table1","10.1002/cne.24022","Table 1","species","Siberian tiger","Panthera tigris altaica","ST","single-specimen summary",1,"adult","12 years","female","left","Prefrontal cortex","prefrontal cortex",FALSE,"Layer III","III","present","absolute thickness","mean",791,"um","SD",167,10,"Mean and SD across 10 sampling locations in each region of interest; clouded-leopard values combine two specimens.","printed value","Table 1, PDF page 5",
"Johnson_etal_2016_Table1","10.1002/cne.24022","Table 1","species","Siberian tiger","Panthera tigris altaica","ST","single-specimen summary",1,"adult","12 years","female","left","Prefrontal cortex","prefrontal cortex",FALSE,"Layer IV","IV","absent","absolute thickness","mean",,"um",,,10,"Mean and SD across 10 sampling locations in each region of interest; clouded-leopard values combine two specimens.","printed absence (-)","Table 1, PDF page 5","Layer IV explicitly absent in this region."
"Johnson_etal_2016_Table1","10.1002/cne.24022","Table 1","species","Siberian tiger","Panthera tigris altaica","ST","single-specimen summary",1,"adult","12 years","female","left","Prefrontal cortex","prefrontal cortex",FALSE,"Layer V","V","present","absolute thickness","mean",485,"um","SD",55,10,"Mean and SD across 10 sampling locations in each region of interest; clouded-leopard values combine two specimens.","printed value","Table 1, PDF page 5",
"Johnson_etal_2016_Table1","10.1002/cne.24022","Table 1","species","Siberian tiger","Panthera tigris altaica","ST","single-specimen summary",1,"adult","12 years","female","left","Prefrontal cortex","prefrontal cortex",FALSE,"Layer VI","VI","present","absolute thickness","mean",514,"um","SD",76,10,"Mean and SD across 10 sampling locations in each region of interest; clouded-leopard values combine two specimens.","printed value","Table 1, PDF page 5",
"Johnson_etal_2016_Table1","10.1002/cne.24022","Table 1","species","Siberian tiger","Panthera tigris altaica","ST","single-specimen summary",1,"adult","12 years","female","left","Prefrontal cortex","prefrontal cortex",FALSE,"Total","total cortex","not applicable","absolute thickness","mean",2325,"um","SD",220,10,"Mean and SD across 10 sampling locations in each region of interest; clouded-leopard values combine two specimens.","printed value","Table 1, PDF page 5",
"Johnson_etal_2016_Table1","10.1002/cne.24022","Table 1","species","Clouded leopard","Neofelis nebulosa",,"species summary",2,"adult","20 and 28 years","female","left","Prefrontal cortex","prefrontal cortex",FALSE,"Layer I","I","present","absolute thickness","mean",208,"um","SD",18,10,"Mean and SD across 10 sampling locations in each region of interest; clouded-leopard values combine two specimens.","printed value","Table 1, PDF page 5","Clouded-leopard values represent two specimens; the paper does not expose specimen-level thicknesses."
"Johnson_etal_2016_Table1","10.1002/cne.24022","Table 1","species","Clouded leopard","Neofelis nebulosa",,"species summary",2,"adult","20 and 28 years","female","left","Prefrontal cortex","prefrontal cortex",FALSE,"Layer II","II","present","absolute thickness","mean",141,"um","SD",6,10,"Mean and SD across 10 sampling locations in each region of interest; clouded-leopard values combine two specimens.","printed value","Table 1, PDF page 5","Clouded-leopard values represent two specimens; the paper does not expose specimen-level thicknesses."
"Johnson_etal_2016_Table1","10.1002/cne.24022","Table 1","species","Clouded leopard","Neofelis nebulosa",,"species summary",2,"adult","20 and 28 years","female","left","Prefrontal cortex","prefrontal cortex",FALSE,"Layer III","III","present","absolute thickness","mean",562,"um","SD",77,10,"Mean and SD across 10 sampling locations in each region of interest; clouded-leopard values combine two specimens.","printed value","Table 1, PDF page 5","Clouded-leopard values represent two specimens; the paper does not expose specimen-level thicknesses."
"Johnson_etal_2016_Table1","10.1002/cne.24022","Table 1","species","Clouded leopard","Neofelis nebulosa",,"species summary",2,"adult","20 and 28 years","female","left","Prefrontal cortex","prefrontal cortex",FALSE,"Layer IV","IV","present","absolute thickness","mean",214,"um","SD",25,10,"Mean and SD across 10 sampling locations in each region of interest; clouded-leopard values combine two specimens.","printed value","Table 1, PDF page 5","Clouded-leopard values represent two specimens; the paper does not expose specimen-level thicknesses."
"Johnson_etal_2016_Table1","10.1002/cne.24022","Table 1","species","Clouded leopard","Neofelis nebulosa",,"species summary",2,"adult","20 and 28 years","female","left","Prefrontal cortex","prefrontal cortex",FALSE,"Layer V","V","present","absolute thickness","mean",310,"um","SD",99,10,"Mean and SD across 10 sampling locations in each region of interest; clouded-leopard values combine two specimens.","printed value","Table 1, PDF page 5","Clouded-leopard values represent two specimens; the paper does not expose specimen-level thicknesses."
