species_printed,region_printed,layer_printed,mean_um_printed,sd_um_printed,presence_printed
Siberian tiger,Prefrontal cortex,Layer I,356,48,present
Siberian tiger,Prefrontal cortex,Layer II,179,20,present
Siberian tiger,Prefrontal cortex,Layer III,791,167,present
Siberian tiger,Prefrontal cortex,Layer IV,,,absent (-)
Siberian tiger,Prefrontal cortex,Layer V,485,55,present
Siberian tiger,Prefrontal cortex,Layer VI,514,76,present
Siberian tiger,Prefrontal cortex,Total,2325,220,not applicable
Clouded leopard,Prefrontal cortex,Layer I,208,18,present
Clouded leopard,Prefrontal cortex,Layer II,141,6,present
Clouded leopard,Prefrontal cortex,Layer III,562,77,present
Clouded leopard,Prefrontal cortex,Layer IV,214,25,present
Clouded leopard,Prefrontal cortex,Layer V,310,99,present
Clouded leopard,Prefrontal cortex,Layer VI,533,127,present
Clouded leopard,Prefrontal cortex,Total,1962,216,not applicable
Siberian tiger,Primary motor cortex,Layer I,346,32,present
Siberian tiger,Primary motor cortex,Layer II,160,16,present
Siberian tiger,Primary motor cortex,Layer III,824,44,present
Siberian tiger,Primary motor cortex,Layer IV,,,absent (-)
Siberian tiger,Primary motor cortex,Layer V,371,40,present
Siberian tiger,Primary motor cortex,Layer VI,538,81,present
Siberian tiger,Primary motor cortex,Total,2239,228,not applicable
Clouded leopard,Primary motor cortex,Layer I,187,18,present
Clouded leopard,Primary motor cortex,Layer II,172,21,present
Clouded leopard,Primary motor cortex,Layer III,510,57,present
Clouded leopard,Primary motor cortex,Layer IV,,,absent (-)
Clouded leopard,Primary motor cortex,Layer V,449,15,present
Clouded leopard,Primary motor cortex,Layer VI,581,98,present
Clouded leopard,Primary motor cortex,Total,1898,45,not applicable
Siberian tiger,Primary visual cortex,Layer I,233,20,present
Siberian tiger,Primary visual cortex,Layer II,134,14,present
Siberian tiger,Primary visual cortex,Layer III,371,68,present
Siberian tiger,Primary visual cortex,Layer IV,416,68,present
Siberian tiger,Primary visual cortex,Layer V,405,41,present
Siberian tiger,Primary visual cortex,Layer VI,469,56,present
Siberian tiger,Primary visual cortex,Total,2018,128,not applicable
Clouded leopard,Primary visual cortex,Layer I,136,18,present
Clouded leopard,Primary visual cortex,Layer II,145,13,present
Clouded leopard,Primary visual cortex,Layer III,545,83,present
Clouded leopard,Primary visual cortex,Layer IV,237,19,present
Clouded leopard,Primary visual cortex,Layer V,317,52,present
Clouded leopard,Primary visual cortex,Layer VI,517,78,present
Clouded leopard,Primary visual cortex,Total,1897,45,not applicable
