"species","common_name","n_animals","sex","age","total_sws_pct","sws_left_hemisphere_pct","sws_right_hemisphere_pct","low_amp_usws_pct_tst","high_amp_usws_pct_tst","asymmetrical_sws_pct_tst","low_amp_bilateral_sws_pct_tst","high_amp_bilateral_sws_pct_tst","reference"
"Tursiops truncatus","bottlenose dolphin",6,"3 males, 3 females","Adults",33.9,20.4,17.5,51,37.2,4.4,7.4,0,"Mukhametov et al. (1988)"
"Phocoena phocoena","harbor porpoise",1,"Male","2 years",46.4,28.6,33.1,48.5,18.5,10.6,22.4,0,"Mukhametov and Polyakova (1981)"
"Inia geoffrensis","amazon river dolphin",1,"Male","Calf (several weeks)",57,31,42,35.1,36.8,14,14,0,"Mukhametov (1987)"
"Delphinapterus leucas","beluga",1,"Male","Adult",43,25.5,28.5,46.8,21.3,14.7,17,0.2,"Lyamin et al. (2002b)"
