Code,Definition,Structure,Measure,Stat,role,taxon,Reference,Note,Source Note
Species,species binomial (underscores removed from Species_phylo),,Species,,primary,Metazoa,Haarlem_etal_2026_CFFdataset,"16 classes, mostly non-mammal",
species_phylo_verbatim,Species_phylo as in the source csv (phylogeny tip label),,,,info,Metazoa,Haarlem_etal_2026_CFFdataset,,
common_name,common name as in source,,,,info,Metazoa,Haarlem_etal_2026_CFFdataset,,
class,taxonomic class as in source,,,,info,Metazoa,Haarlem_etal_2026_CFFdataset,,
habitat,habitat category (authors'),,,,secondary,Metazoa,Haarlem_etal_2026_CFFdataset,,
forage_light_level,foraging light level category (authors'),,,,secondary,Metazoa,Haarlem_etal_2026_CFFdataset,,
mode_of_life,pace-of-life/foraging mode category (authors'),,,,secondary,Metazoa,Haarlem_etal_2026_CFFdataset,,
mode_of_life_ref,basis for mode_of_life,,,,provenance,Metazoa,Haarlem_etal_2026_CFFdataset,,
body_mass_g,body mass per authors' dataset,body,mass,value g,secondary,Metazoa,Haarlem_etal_2026_CFFdataset,body_mass_ref gives basis (often fishbase size classes),
body_mass_ref,basis for body mass,,,,provenance,Metazoa,Haarlem_etal_2026_CFFdataset,,
method,CFF measurement method: Electrophysiology (n=221) / Behavioural (n=59),,,,info,Metazoa,Haarlem_etal_2026_CFFdataset,,
cff_hz,critical flicker fusion frequency,eye/visual system,temporal resolution,value Hz,secondary,Metazoa,Haarlem_etal_2026_CFFdataset,one row per published measurement,
primary_reference,"the primary study the value is taken from (verbatim, whitespace-collapsed)",,,,provenance,Metazoa,Haarlem_etal_2026_CFFdataset,per-primary audit hook,
note,secondary-compilation warning,,,,provenance,Metazoa,Haarlem_etal_2026_CFFdataset,,
source,registry item key,,,,provenance,Metazoa,Haarlem_etal_2026_CFFdataset,,
