"Species Name","Order","Brain Mass (g)","Body Mass (g)","EQ","Independent contrast derived EQ","PGLS-ML dervived EQ","Reference","Notes","source"
"Macaca sinica","Primates",58.15,1970,3.61984427225972,0.485971710862541,4.79358037546008,"Warncke 1908",NA,"Boddy_etal_2012_TableS1"
"Theropithecus gelada","Primates",130,7710,2.92423828870073,0.459284192717966,4.72607659404708,"Hrdlicka 1925",NA,"Boddy_etal_2012_TableS1"
"Cercocebus agilis","Primates",95.3,4700,3.10112928079859,0.460117351210721,4.6625576667807,"Sherwood/this study; Silva & Downing 1995",NA,"Boddy_etal_2012_TableS1"
"Mandrillus sphinx","Primates",159.2,11500,2.65750718566968,0.437030940525635,4.5531754919801,"Sherwood/this study; Silva & Downing 1995",NA,"Boddy_etal_2012_TableS1"
"Ateles geoffroyi","Primates",104.9625,5774,2.92943901731437,0.445053045245868,4.53876951073054,"Bronson 1981; Crile & Quiring 1940; Hrdlicka 1925; Stephan 1981; Silva & Downing 1995",NA,"Boddy_etal_2012_TableS1"
"Lophocebus albigena","Primates",96.8,5125,2.9529473484168,0.442514987356743,4.49623566109219,"Stephan 1981; Warncke 1908; Silva & Downing 1995",NA,"Boddy_etal_2012_TableS1"
"Pan paniscus","Primates",329.7016,39700,2.18391288020217,0.41414622176775,4.48370241939458,"Rilling 1999; Sherwood/this study; Silva & Downing 1995",NA,"Boddy_etal_2012_TableS1"
"Loxodonta africana","Proboscidea",5436.4,4301340,1.09258431689954,0.355121430863937,4.44568994493465,"Crile & Quiring 1940; Robertson-Bullock 1962; Shoshani 2006; Silva & Downing 1995",NA,"Boddy_etal_2012_TableS1"
"Cercopithecus cephus","Primates",76,3508.33333333333,3.0759575052231,0.441290333988841,4.43142203386331,"Warncke 1908; Silva & Downing 1995",NA,"Boddy_etal_2012_TableS1"
"Macaca mulatta","Primates",87.9941777777778,4612.77777777778,2.90368740696133,0.42989563757652,4.3537796814512,"Bronson 1981; Crile & Quiring 1940; Hrdlicka 1925; Rilling 1999; Stephan 1981; Silva & Downing 1995",NA,"Boddy_etal_2012_TableS1"
"Ursus americanus","Carnivora",248,25990,2.25329560340571,0.406984975806042,4.34868493084578,"Spitzka 1903; Silva & Downing 1995",NA,"Boddy_etal_2012_TableS1"
"Semnopithecus entellus","Primates",111.5,7010,2.69265801668462,0.418308083184637,4.29174675018775,"Warncke 1908",NA,"Boddy_etal_2012_TableS1"
"Cercopithecus mona","Primates",67,3001,3.0468168105306,0.429328202648068,4.29047361747151,"Spitzka 1903; Silva & Downing 1995",NA,"Boddy_etal_2012_TableS1"
"Macaca fascicularis","Primates",66.9272727272727,3109.45454545455,2.96396232042359,0.419361781470635,4.19548942481336,"Bronson 1981; Hrdlicka 1925; Warncke 1908; Silva & Downing 1995",NA,"Boddy_etal_2012_TableS1"
"Hylobates lar","Primates",93.994,5550,2.70190166770376,0.408621033741858,4.16211784242343,"Rilling 1999; Stephan 1981; Silva & Downing 1995",NA,"Boddy_etal_2012_TableS1"
"Hylobates muelleri","Primates",95.3125,5954.875,2.5996018505782,0.396346180977432,4.04591078116366,"Hrdlicka 1925; Sherwood/this study; Rowe 1996",NA,"Boddy_etal_2012_TableS1"
"Saimiri sciureus","Primates",23.34632,578.7,3.62443327671905,0.422648902229509,4.01362113450178,"Bronson 1981; Rilling 1999; Warncke 1908; Silva & Downing 1995",NA,"Boddy_etal_2012_TableS1"
"Papio hamadryas","Primates",142,12020,2.29346218865838,0.379086295186591,3.95490170598748,"Hrdlicka 1925",NA,"Boddy_etal_2012_TableS1"
"Hylobates agilis","Primates",88.1,5528.75,2.53973366039171,0.383926208662689,3.91011713166104,"Hrdlicka 1925",NA,"Boddy_etal_2012_TableS1"
"Pongo pygmaeus","Primates",341.989936,54229.04,1.79509852201507,0.352843763289849,3.85712937823701,"Hrdlicka 1925; Rilling 1999; Sherwood/this study; Silva & Downing 1995",NA,"Boddy_etal_2012_TableS1"
"Chlorocebus aethiops","Primates",64.1333333333333,3452.66666666667,2.62683271009514,0.376164395277476,3.77555718179722,"Bronson 1981; Warncke 1908",NA,"Boddy_etal_2012_TableS1"
"Saimiri oerstedii","Primates",22.45,605,3.37162145559232,0.395182917039026,3.7579686337622,"Crile & Quiring 1940",NA,"Boddy_etal_2012_TableS1"
"Ateles fusciceps","Primates",113.6,9026.5,2.27181436880293,0.363341543870386,3.75713439078841,"Crile & Quiring 1940",NA,"Boddy_etal_2012_TableS1"
"Aotus lemurinus","Primates",113.5,9026.5,2.26981453221067,0.363021700962049,3.7538270541768,"Crile & Quiring 1940",NA,"Boddy_etal_2012_TableS1"
"Pan troglodytes","Primates",354.809659342105,60433.1578947368,1.71781362176001,0.341885109701148,3.74990522692707,"Crile & Quiring 1940; Hrdlicka 1925; Rilling 1999; Sherwood/this study; Silva & Downing 1995; Stephen 1981",NA,"Boddy_etal_2012_TableS1"
"Erythrocebus patas","Primates",100.2,7376,2.32962113192341,0.364034200790786,3.74080618083847,"Stephan 1981; Sherwood/this study; Silva & Downing 1995",NA,"Boddy_etal_2012_TableS1"
"Hylobates syndactylus","Primates",134.8,12172,2.15685949781103,0.357022810493913,3.72617078419692,"Hrdlicka 1925; Sherwood/this study; Silva & Downing 1995",NA,"Boddy_etal_2012_TableS1"
