Code,Definition,Structure,Measure,Stat,role,taxon,Reference,Note,Source Note
source_row,printed Table 1 row sequence,,,,info,Canis,Schleifenbaum__1973_Tables1-2,preserves source order,
Species_Schleifenbaum1973,source group label,,,,info,Canis,Schleifenbaum__1973_Tables1-2,Großpudel or Wölfe preserved verbatim,
Species,scientific taxon used for joins,,,,info,Canis,Schleifenbaum__1973_Tables1-2,Canis lupus familiaris / Canis lupus,
domestication_status,domestic or wild group,,,,info,Canis,Schleifenbaum__1973_Tables1-2,,
individual,individual number without the printed asterisk,,,,info,Canis,Schleifenbaum__1973_Tables1-2,,
individual_printed,individual number exactly as printed,,,,info,Canis,Schleifenbaum__1973_Tables1-2,asterisk marks brains selected for sectioning,
sectioned_for_Table2,whether Table 1 prints an asterisk,,,,info,Canis,Schleifenbaum__1973_Tables1-2,13 true; individual 10 nevertheless has no Table 2 values,
sex_printed,sex symbol printed in Table 1,,,,info,Canis,Schleifenbaum__1973_Tables1-2,♂ / ♀ / ?,
sex,English sex label derived from the printed symbol,,,,info,Canis,Schleifenbaum__1973_Tables1-2,,
age_printed,age wording printed in German,,,,info,Canis,Schleifenbaum__1973_Tables1-2,retained rather than imposing approximate days,
body_mass_g,net body mass,Body_weight,Mass.g,point,primary,Canis,Schleifenbaum__1973_Tables1-2,printed NKG is already g,
brain_mass_mg,brain mass,Brain_weight,Mass.mg,point,primary,Canis,Schleifenbaum__1973_Tables1-2,printed HG g converted x1000,
source_value_parenthesized,whether Table 1 encloses body/brain values in parentheses,,,,note,Canis,Schleifenbaum__1973_Tables1-2,true only for uncertain wolf 10 values,
medulla_oblongata_mm3,medulla oblongata volume,Medulla_oblongata,Vol.mm3,point,primary,Canis,Schleifenbaum__1973_Tables1-2,Oblongata,
cerebellum_mm3,cerebellum volume,Cerebellum,Vol.mm3,point,primary,Canis,Schleifenbaum__1973_Tables1-2,Kleinhirn,
mesencephalon_mm3,midbrain volume,Mesencephalon,Vol.mm3,point,primary,Canis,Schleifenbaum__1973_Tables1-2,Mittelhirn,
diencephalon_mm3,diencephalon volume,Diencephalon,Vol.mm3,point,primary,Canis,Schleifenbaum__1973_Tables1-2,Zwischenhirn,
telencephalon_mm3,telencephalon volume,Telencephalon,Vol.mm3,point,primary,Canis,Schleifenbaum__1973_Tables1-2,Endhirn,
neocortex_mm3,neocortex volume,Neocortex,Vol.mm3,point,primary,Canis,Schleifenbaum__1973_Tables1-2,,
striatum_mm3,striatum volume,Striatum,Vol.mm3,point,primary,Canis,Schleifenbaum__1973_Tables1-2,,
allocortex_mm3,allocortex volume,Allocortex,Vol.mm3,point,primary,Canis,Schleifenbaum__1973_Tables1-2,,
periventricular_matrix_mm3,periventricular matrix volume,Periventricular_matrix,Vol.mm3,point,primary,Canis,Schleifenbaum__1973_Tables1-2,present only in young poodles 1-6,
olfactory_bulb_mm3,olfactory bulb volume,Bulbus_olfactorius,Vol.mm3,point,primary,Canis,Schleifenbaum__1973_Tables1-2,Bulbus olfact.,
olfactory_allocortex_nucleus_amygdalae_mm3,olfactory allocortex plus nucleus amygdalae,Olfactory_allocortex,Vol.mm3,point,primary,Canis,Schleifenbaum__1973_Tables1-2,Riechhirn + NA,
nonolfactory_allocortex_mm3,non-olfactory allocortex volume,Nonolfactory_allocortex,Vol.mm3,point,primary,Canis,Schleifenbaum__1973_Tables1-2,Nichtolf. Alloc.,
septum_mm3,septum volume,Septum,Vol.mm3,point,primary,Canis,Schleifenbaum__1973_Tables1-2,,
hippocampus_mm3,Ammon's horn volume,Hippocampus,Vol.mm3,point,primary,Canis,Schleifenbaum__1973_Tables1-2,Ammonshorn,
schizocortex_mm3,schizocortex volume,Schizocortex,Vol.mm3,point,primary,Canis,Schleifenbaum__1973_Tables1-2,,
total_brain_volume_mm3,total fresh-brain-corrected volume,Total_brain_volume,Vol.mm3,point,primary,Canis,Schleifenbaum__1973_Tables1-2,Gesamthirnvolumen,
Method:volume,serial-section volumes corrected to fresh-brain size,,,,method,Canis,Schleifenbaum__1973_Tables1-2,printed Table 2 unit mm3,developmental ages must remain explicit
