marker_id,page_x,page_y,functional_interaural_distance_us,high_freq_hearing_limit_60dB_kHz,filled,stroked,grey_fill,n_path_points,width_pt,height_pt
m001,248.298,112.423,39.7242,91.4983,TRUE,TRUE,TRUE,5,5.47,5.47
m002,273.958,247.57,59.4807,11.6647,TRUE,FALSE,FALSE,6,3.53,3.71
m003,273.959,250.657,59.4811,11.1285,TRUE,FALSE,FALSE,6,3.53,3.53
m004,274.573,123.009,60.0585,77.8649,FALSE,TRUE,TRUE,6,4.94,4.94
m005,275.271,132.177,60.7221,67.7108,TRUE,TRUE,TRUE,5,5.47,5.47
m006,275.271,115.239,60.7221,87.6538,TRUE,TRUE,TRUE,5,5.47,5.47
m007,277.046,250.657,62.4415,11.1285,TRUE,FALSE,FALSE,6,3.7,3.53
m008,277.046,247.57,62.4417,11.6647,TRUE,FALSE,FALSE,6,3.7,3.71
m009,278.384,126.1,63.7696,74.2815,TRUE,TRUE,TRUE,5,4.23,4.23
m010,278.828,129.361,64.2171,70.6807,TRUE,TRUE,TRUE,5,5.47,5.47
m011,279.506,127.773,64.905,72.4114,TRUE,TRUE,TRUE,5,5.47,5.47
m012,283.751,120.624,69.3875,80.7476,TRUE,FALSE,FALSE,6,7.59,7.41
m013,288.515,85.425,74.7884,138.074,TRUE,FALSE,FALSE,4,5.12,4.76
m014,289.394,139.947,75.8292,60.149,FALSE,TRUE,TRUE,6,4.94,4.94
m015,292.485,129.005,79.608,71.0648,TRUE,FALSE,FALSE,4,4.94,4.76
m016,292.573,105.009,79.7183,102.443,TRUE,FALSE,FALSE,4,5.12,4.76
m017,292.661,93.894,79.8291,121.354,TRUE,FALSE,FALSE,4,4.94,4.76
m018,296.454,291.415,84.7379,5.97943,TRUE,FALSE,FALSE,6,3.7,3.53
m019,296.454,294.502,84.7381,5.70458,TRUE,FALSE,FALSE,6,3.7,3.7
m020,297.884,142.763,86.6648,57.6223,TRUE,TRUE,TRUE,5,5.47,5.47
m021,299.63,291.415,89.0795,5.97943,TRUE,FALSE,FALSE,6,3.7,3.53
m022,299.631,294.502,89.0799,5.70458,TRUE,FALSE,FALSE,6,3.71,3.7
m023,300.001,149.835,89.6001,51.7346,TRUE,TRUE,TRUE,5,5.47,5.47
m024,311.984,149.835,108.189,51.7346,TRUE,TRUE,TRUE,5,5.47,5.47
m025,312.334,269.095,108.786,8.40222,TRUE,FALSE,FALSE,6,3.7,3.71
m026,312.334,266.008,108.786,8.80705,TRUE,FALSE,FALSE,6,3.7,3.53
m027,313.657,267.331,111.075,8.63118,TRUE,FALSE,FALSE,5,6.35,6.17
m028,315.499,156.885,114.341,46.4638,TRUE,TRUE,TRUE,5,5.47,5.47
m029,315.499,124.428,114.341,76.1991,FALSE,TRUE,TRUE,6,4.94,4.94
m030,315.51,269.095,114.359,8.40222,TRUE,FALSE,FALSE,6,3.7,3.71
m031,315.51,266.008,114.359,8.80705,TRUE,FALSE,FALSE,6,3.7,3.53
m032,316.219,144.881,115.642,55.7921,TRUE,TRUE,TRUE,5,5.47,5.47
m033,318.068,112.243,119.055,91.7491,TRUE,FALSE,FALSE,4,4.94,4.76
m034,318.336,194.995,119.559,25.9934,TRUE,TRUE,TRUE,5,5.47,5.47
m035,319.303,144.443,121.391,56.1656,TRUE,FALSE,FALSE,11,7.41,7.06
m036,324.243,168.703,131.203,38.8056,TRUE,FALSE,FALSE,6,7.41,7.23
m037,325.387,194.995,133.584,25.9934,TRUE,TRUE,TRUE,5,5.47,5.47
m038,326.085,157.584,135.06,45.9718,FALSE,TRUE,TRUE,6,4.94,4.94
m039,326.805,139.249,136.598,60.7925,TRUE,TRUE,FALSE,5,5.12,5.12
m040,329.536,158.999,142.596,44.991,TRUE,FALSE,FALSE,6,7.41,7.23
m041,332.437,132.177,149.253,67.7108,TRUE,TRUE,TRUE,5,5.47,5.47
m042,334.554,153.35,154.308,49.0363,TRUE,TRUE,TRUE,5,5.47,5.47
m043,336.671,153.35,159.535,49.0363,TRUE,TRUE,TRUE,5,5.47,5.47
m044,339.509,141.366,166.818,58.8626,TRUE,TRUE,FALSE,5,5.12,5.12
m045,340.906,185.828,170.525,29.8912,FALSE,TRUE,TRUE,6,4.94,4.94
m046,344.441,163.936,180.278,41.7299,FALSE,TRUE,TRUE,6,4.94,4.94
m047,355.028,135.014,212.949,64.8459,FALSE,TRUE,TRUE,6,4.94,4.94
m048,356.446,163.936,217.753,41.7299,TRUE,TRUE,FALSE,5,5.12,5.12
m049,356.446,160.421,217.753,44.0261,TRUE,TRUE,FALSE,5,5.12,5.12
m050,358.563,180.874,225.129,32.2355,TRUE,TRUE,TRUE,5,5.47,5.47
m051,358.563,151.952,225.129,50.0923,TRUE,TRUE,FALSE,5,5.12,5.12
m052,364.647,152.735,247.742,49.4975,TRUE,FALSE,FALSE,11,6.35,6.0
m053,367.032,122.311,257.214,78.6979,FALSE,TRUE,TRUE,6,4.94,4.94
m054,368.881,105.892,264.806,101.075,TRUE,FALSE,FALSE,4,4.94,4.76
m055,369.848,161.818,268.865,43.0985,FALSE,TRUE,TRUE,6,4.94,4.94
m056,370.547,132.177,271.838,67.7111,FALSE,TRUE,TRUE,6,4.94,4.94
m057,372.664,142.763,281.044,57.6224,FALSE,TRUE,TRUE,6,4.94,4.94
m058,374.782,191.459,290.565,27.4327,TRUE,TRUE,TRUE,5,5.47,5.47
m059,376.899,161.818,300.405,43.0985,TRUE,TRUE,FALSE,5,5.12,5.12
m060,393.836,175.94,392.131,34.753,FALSE,TRUE,TRUE,6,4.94,4.94
m061,395.255,159.002,400.983,44.9886,TRUE,TRUE,FALSE,5,5.12,5.12
m062,395.255,154.767,400.983,47.988,TRUE,TRUE,FALSE,5,5.12,5.12
m063,396.674,163.936,410.032,41.7299,TRUE,TRUE,FALSE,5,5.12,5.12
m064,398.071,163.936,419.143,41.7299,TRUE,TRUE,FALSE,5,5.12,5.12
m065,398.791,165.354,423.918,40.8375,TRUE,TRUE,FALSE,5,5.12,5.12
m066,400.188,160.421,433.341,44.0261,TRUE,TRUE,FALSE,5,5.12,5.12
m067,404.254,176.639,461.962,34.3847,TRUE,TRUE,FALSE,5,5.12,5.12
m068,409.377,166.053,500.741,40.4049,FALSE,TRUE,FALSE,6,4.94,4.94
m069,414.31,180.174,541.15,32.581,TRUE,TRUE,FALSE,5,5.12,5.12
m070,415.009,171.007,547.133,37.4663,TRUE,TRUE,FALSE,5,5.12,5.12
m071,418.544,166.773,578.423,39.964,FALSE,TRUE,FALSE,6,4.94,4.94
m072,426.315,189.343,653.637,28.332,FALSE,TRUE,FALSE,6,4.94,4.94
m073,429.131,171.706,683.251,37.0696,FALSE,TRUE,FALSE,6,4.94,4.94
m074,429.491,178.756,687.125,33.2928,TRUE,TRUE,FALSE,5,5.12,5.12
m075,439.018,146.998,798.238,54.0207,FALSE,TRUE,FALSE,6,4.94,4.94
m076,444.651,221.101,872.2,17.4611,FALSE,TRUE,FALSE,6,4.94,4.94
m077,469.359,175.94,1286.56,34.753,FALSE,TRUE,FALSE,6,4.94,4.94
m078,519.198,63.473,2818.09,192.937,TRUE,FALSE,FALSE,5,4.23,4.23
m079,530.06,254.977,3343.22,10.4194,FALSE,TRUE,FALSE,6,4.94,4.94
