"Species","order","family","visual_acuity_cpd","acuity_method","note","source"
"Acinonyx jubatus","Carnivora","Felidae",23.02,"anatomical (peak ganglion-cell density)","SECONDARY compilation - analysis dataset of a review; VA compiled from primaries incl. Veilleux & Kirk 2014, Kirk & Kay 2004, Heffner & Heffner; prefer primaries in merges","deSousa_etal_2022_acuityblind.csv"
"Alouatta caraya","Primates","Atelidae",59.61,"anatomical (peak ganglion-cell density)","SECONDARY compilation - analysis dataset of a review; VA compiled from primaries incl. Veilleux & Kirk 2014, Kirk & Kay 2004, Heffner & Heffner; prefer primaries in merges","deSousa_etal_2022_acuityblind.csv"
"Aonyx cinerea","Carnivora","Mustelidae",2.2,"behavioral","SECONDARY compilation - analysis dataset of a review; VA compiled from primaries incl. Veilleux & Kirk 2014, Kirk & Kay 2004, Heffner & Heffner; prefer primaries in merges","deSousa_etal_2022_acuityblind.csv"
"Aotus azarai","Primates","Aotidae",8.3,"anatomical (peak ganglion-cell density)","SECONDARY compilation - analysis dataset of a review; VA compiled from primaries incl. Veilleux & Kirk 2014, Kirk & Kay 2004, Heffner & Heffner; prefer primaries in merges","deSousa_etal_2022_acuityblind.csv"
"Aotus trivirgatus","Primates","Aotidae",10,"behavioral","SECONDARY compilation - analysis dataset of a review; VA compiled from primaries incl. Veilleux & Kirk 2014, Kirk & Kay 2004, Heffner & Heffner; prefer primaries in merges","deSousa_etal_2022_acuityblind.csv"
"Artibeus cinereus","Chiroptera","Phyllostomidae",1.4,"anatomical (peak ganglion-cell density)","SECONDARY compilation - analysis dataset of a review; VA compiled from primaries incl. Veilleux & Kirk 2014, Kirk & Kay 2004, Heffner & Heffner; prefer primaries in merges","deSousa_etal_2022_acuityblind.csv"
"Artibeus jamaicensis","Chiroptera","Phyllostomidae",0.17,"behavioral","SECONDARY compilation - analysis dataset of a review; VA compiled from primaries incl. Veilleux & Kirk 2014, Kirk & Kay 2004, Heffner & Heffner; prefer primaries in merges","deSousa_etal_2022_acuityblind.csv"
"Balaenoptera acutorostrata","Cetacea","Balaenopteridae",4.2,"anatomical (peak ganglion-cell density)","SECONDARY compilation - analysis dataset of a review; VA compiled from primaries incl. Veilleux & Kirk 2014, Kirk & Kay 2004, Heffner & Heffner; prefer primaries in merges","deSousa_etal_2022_acuityblind.csv"
"Bos taurus","Artiodactyla","Bovidae",10.31,"anatomical (peak ganglion-cell density)","SECONDARY compilation - analysis dataset of a review; VA compiled from primaries incl. Veilleux & Kirk 2014, Kirk & Kay 2004, Heffner & Heffner; prefer primaries in merges","deSousa_etal_2022_acuityblind.csv"
"Callithrix jacchus","Primates","Cebidae",30,"anatomical (peak ganglion-cell density)","SECONDARY compilation - analysis dataset of a review; VA compiled from primaries incl. Veilleux & Kirk 2014, Kirk & Kay 2004, Heffner & Heffner; prefer primaries in merges","deSousa_etal_2022_acuityblind.csv"
"Callorhinus ursinus","Carnivora","Otariidae",7.1,"anatomical (peak ganglion-cell density)","SECONDARY compilation - analysis dataset of a review; VA compiled from primaries incl. Veilleux & Kirk 2014, Kirk & Kay 2004, Heffner & Heffner; prefer primaries in merges","deSousa_etal_2022_acuityblind.csv"
"Camelus bactrianus","Artiodactyla","Camelidae",10,"behavioral","SECONDARY compilation - analysis dataset of a review; VA compiled from primaries incl. Veilleux & Kirk 2014, Kirk & Kay 2004, Heffner & Heffner; prefer primaries in merges","deSousa_etal_2022_acuityblind.csv"
"Camelus dromedarius","Artiodactyla","Camelidae",10.4,"anatomical (peak ganglion-cell density)","SECONDARY compilation - analysis dataset of a review; VA compiled from primaries incl. Veilleux & Kirk 2014, Kirk & Kay 2004, Heffner & Heffner; prefer primaries in merges","deSousa_etal_2022_acuityblind.csv"
"Canis lupus","Carnivora","Canidae",14.57,"anatomical (peak ganglion-cell density)","SECONDARY compilation - analysis dataset of a review; VA compiled from primaries incl. Veilleux & Kirk 2014, Kirk & Kay 2004, Heffner & Heffner; prefer primaries in merges","deSousa_etal_2022_acuityblind.csv"
"Capra hircus","Artiodactyla","Bovidae",8.43,"anatomical (peak ganglion-cell density)","SECONDARY compilation - analysis dataset of a review; VA compiled from primaries incl. Veilleux & Kirk 2014, Kirk & Kay 2004, Heffner & Heffner; prefer primaries in merges","deSousa_etal_2022_acuityblind.csv"
"Carollia perspicillata","Chiroptera","Phyllostomidae",0.94,"anatomical (peak ganglion-cell density)","SECONDARY compilation - analysis dataset of a review; VA compiled from primaries incl. Veilleux & Kirk 2014, Kirk & Kay 2004, Heffner & Heffner; prefer primaries in merges","deSousa_etal_2022_acuityblind.csv"
"Sapajus apella","Primates","Cebidae",54.75,"anatomical (peak ganglion-cell density)","SECONDARY compilation - analysis dataset of a review; VA compiled from primaries incl. Veilleux & Kirk 2014, Kirk & Kay 2004, Heffner & Heffner; prefer primaries in merges","deSousa_etal_2022_acuityblind.csv"
"Cheirogaleus medius","Primates","Cheirogaleidae",2.84,"anatomical (peak ganglion-cell density)","SECONDARY compilation - analysis dataset of a review; VA compiled from primaries incl. Veilleux & Kirk 2014, Kirk & Kay 2004, Heffner & Heffner; prefer primaries in merges","deSousa_etal_2022_acuityblind.csv"
"Chlorocebus aethiops","Primates","Cercopithecidae",55.23,"anatomical (peak ganglion-cell density)","SECONDARY compilation - analysis dataset of a review; VA compiled from primaries incl. Veilleux & Kirk 2014, Kirk & Kay 2004, Heffner & Heffner; prefer primaries in merges","deSousa_etal_2022_acuityblind.csv"
"Choloepus didactylus","Pilosa","Megalonychidae",1.54,"anatomical (peak ganglion-cell density)","SECONDARY compilation - analysis dataset of a review; VA compiled from primaries incl. Veilleux & Kirk 2014, Kirk & Kay 2004, Heffner & Heffner; prefer primaries in merges","deSousa_etal_2022_acuityblind.csv"
"Crocuta crocuta","Carnivora","Hyaenidae",8.4,"anatomical (peak ganglion-cell density)","SECONDARY compilation - analysis dataset of a review; VA compiled from primaries incl. Veilleux & Kirk 2014, Kirk & Kay 2004, Heffner & Heffner; prefer primaries in merges","deSousa_etal_2022_acuityblind.csv"
"Cuniculus paca","Rodentia","Cuniculidae",2.8,"anatomical (peak ganglion-cell density)","SECONDARY compilation - analysis dataset of a review; VA compiled from primaries incl. Veilleux & Kirk 2014, Kirk & Kay 2004, Heffner & Heffner; prefer primaries in merges","deSousa_etal_2022_acuityblind.csv"
"Dama dama","Artiodactyla","Cervidae",18.48,"anatomical (peak ganglion-cell density)","SECONDARY compilation - analysis dataset of a review; VA compiled from primaries incl. Veilleux & Kirk 2014, Kirk & Kay 2004, Heffner & Heffner; prefer primaries in merges","deSousa_etal_2022_acuityblind.csv"
"Dasyprocta leporina","Rodentia","Dasyproctidae",6.21,"anatomical (peak ganglion-cell density)","SECONDARY compilation - analysis dataset of a review; VA compiled from primaries incl. Veilleux & Kirk 2014, Kirk & Kay 2004, Heffner & Heffner; prefer primaries in merges","deSousa_etal_2022_acuityblind.csv"
"Dasyurus hallucatus","Dasyuromorphia","Dasyuridae",2.8,"behavioral","SECONDARY compilation - analysis dataset of a review; VA compiled from primaries incl. Veilleux & Kirk 2014, Kirk & Kay 2004, Heffner & Heffner; prefer primaries in merges","deSousa_etal_2022_acuityblind.csv"
"Delphinapterus leucas","Cetacea","Monodontidae",2.6,"anatomical (peak ganglion-cell density)","SECONDARY compilation - analysis dataset of a review; VA compiled from primaries incl. Veilleux & Kirk 2014, Kirk & Kay 2004, Heffner & Heffner; prefer primaries in merges","deSousa_etal_2022_acuityblind.csv"
"Delphinus delphis","Cetacea","Delphinidae",3.8,"anatomical (peak ganglion-cell density)","SECONDARY compilation - analysis dataset of a review; VA compiled from primaries incl. Veilleux & Kirk 2014, Kirk & Kay 2004, Heffner & Heffner; prefer primaries in merges","deSousa_etal_2022_acuityblind.csv"
"Desmodus rotundus","Chiroptera","Phyllostomidae",0.63,"behavioral","SECONDARY compilation - analysis dataset of a review; VA compiled from primaries incl. Veilleux & Kirk 2014, Kirk & Kay 2004, Heffner & Heffner; prefer primaries in merges","deSousa_etal_2022_acuityblind.csv"
"Diceros bicornis","Perissodactyla","Rhinocerotidae",6,"anatomical (peak ganglion-cell density)","SECONDARY compilation - analysis dataset of a review; VA compiled from primaries incl. Veilleux & Kirk 2014, Kirk & Kay 2004, Heffner & Heffner; prefer primaries in merges","deSousa_etal_2022_acuityblind.csv"
"Didelphis marsupialis","Didelphimorphia","Didelphidae",1.25,"anatomical (peak ganglion-cell density)","SECONDARY compilation - analysis dataset of a review; VA compiled from primaries incl. Veilleux & Kirk 2014, Kirk & Kay 2004, Heffner & Heffner; prefer primaries in merges","deSousa_etal_2022_acuityblind.csv"
"Didelphis virginiana","Didelphimorphia","Didelphidae",2.49,"anatomical (peak ganglion-cell density)","SECONDARY compilation - analysis dataset of a review; VA compiled from primaries incl. Veilleux & Kirk 2014, Kirk & Kay 2004, Heffner & Heffner; prefer primaries in merges","deSousa_etal_2022_acuityblind.csv"
"Eidolon helvum","Chiroptera","Pteropodidae",3.4,"anatomical (peak ganglion-cell density)","SECONDARY compilation - analysis dataset of a review; VA compiled from primaries incl. Veilleux & Kirk 2014, Kirk & Kay 2004, Heffner & Heffner; prefer primaries in merges","deSousa_etal_2022_acuityblind.csv"
"Ellobius lutescens","Rodentia","Cricetidae",0.4,"anatomical (peak ganglion-cell density)","SECONDARY compilation - analysis dataset of a review; VA compiled from primaries incl. Veilleux & Kirk 2014, Kirk & Kay 2004, Heffner & Heffner; prefer primaries in merges","deSousa_etal_2022_acuityblind.csv"
"Ellobius talpinus","Rodentia","Cricetidae",0.9,"anatomical (peak ganglion-cell density)","SECONDARY compilation - analysis dataset of a review; VA compiled from primaries incl. Veilleux & Kirk 2014, Kirk & Kay 2004, Heffner & Heffner; prefer primaries in merges","deSousa_etal_2022_acuityblind.csv"
"Enhydra lutris","Carnivora","Mustelidae",4.2,"anatomical (peak ganglion-cell density)","SECONDARY compilation - analysis dataset of a review; VA compiled from primaries incl. Veilleux & Kirk 2014, Kirk & Kay 2004, Heffner & Heffner; prefer primaries in merges","deSousa_etal_2022_acuityblind.csv"
