MSW05_Binomial,MSW05_Order,MSW05_Family,MSW05_Genus,MSW05_Species,X1.1_ActivityCycle,X5.1_AdultBodyMass_g,X8.1_AdultForearmLen_mm,X13.1_AdultHeadBodyLen_mm,X2.1_AgeatEyeOpening_d,X3.1_AgeatFirstBirth_d,X18.1_BasalMetRate_mLO2hr,X5.2_BasalMetRateMass_g,X6.1_DietBreadth,X7.1_DispersalAge_d,X9.1_GestationLen_d,X12.1_HabitatBreadth,X22.1_HomeRange_km2,X22.2_HomeRange_Indiv_km2,X14.1_InterbirthInterval_d,X15.1_LitterSize,X16.1_LittersPerYear,X17.1_MaxLongevity_m,X5.3_NeonateBodyMass_g,X13.2_NeonateHeadBodyLen_mm,X21.1_PopulationDensity_n.km2,X10.1_PopulationGrpSize,X23.1_SexualMaturityAge_d,X10.2_SocialGrpSize,X24.1_TeatNumber,X12.2_Terrestriality,X6.2_TrophicLevel,X25.1_WeaningAge_d,X5.4_WeaningBodyMass_g,X13.3_WeaningHeadBodyLen_mm,References,X5.5_AdultBodyMass_g_EXT,X16.2_LittersPerYear_EXT,X5.6_NeonateBodyMass_g_EXT,X5.7_WeaningBodyMass_g_EXT,X26.1_GR_Area_km2,X26.2_GR_MaxLat_dd,X26.3_GR_MinLat_dd,X26.4_GR_MidRangeLat_dd,X26.5_GR_MaxLong_dd,X26.6_GR_MinLong_dd,X26.7_GR_MidRangeLong_dd,X27.1_HuPopDen_Min_n.km2,X27.2_HuPopDen_Mean_n.km2,X27.3_HuPopDen_5p_n.km2,X27.4_HuPopDen_Change,X28.1_Precip_Mean_mm,X28.2_Temp_Mean_01degC,X30.1_AET_Mean_mm,X30.2_PET_Mean_mm,VA,MT
Megaderma_lyra,Chiroptera,Megadermatidae,Megaderma,lyra,,39.27,69.5,73.99,0,709.72,,,2,,152.08,1,,,,1,1,168,10.22,,,350,620.76,,,2,3,44.58,,,167;196;679;892;1139;1142;1148;1297;1453;1528;1658;1705;1784;2086;2143;2144;2151;2370;2622;2655;2719;3023,,,,,6486789.9,34.77,1.26,18.01,119.66,67.29,93.48,0,260.94,7,0.08,112.7,205.2,872.75,1351.18,1.5,A
Meriones_unguiculatus,Rodentia,Muridae,Meriones,unguiculatus,2,57.75,,112.5,18.75,91,99.4,70,,,25.09,,,,46,5.01,3,24,2.85,,,,56.5,,,,,23.95,13.24,,543;1024;1297;1822;1849;1939;1940;2146;2655;2978,,,,,1946733.07,52.04,38.19,45.12,125.6,91.37,108.49,0,15.85,0,0.03,20.99,3.37,289.67,564.18,1.8,B
Mesocricetus_auratus,Rodentia,Cricetidae,Mesocricetus,auratus,1,98.6,,180,,73.6,,,4,,15.49,1,,,,8.79,4,120,2.35,,,,50.97,,,1,2,18.65,22.93,,543;1015;1060;1297;1577;1594;2655,,,,,904866.93,42.1,31.43,36.76,51.88,28.72,40.3,8,89.74,29,0.08,41.84,107.7,395.58,1044.97,0.5,B
Microcebus_murinus,Primates,Cheirogaleidae,Microcebus,murinus,1,69,,143.61,,380.2,125.84,101.05,5,,60.34,1,0.01,0.01,365,2,,186,4.78,43.08,461,3.5,355.53,1,,2,2,40.45,,,208;511;543;730;1046;1048;1167;1261;1297;1544;1547;1611;1848;2041;2151;2256;2344;2428;2489;2493;2511;2560;2655;2660;2986,,1.1,,,122051.83,-12.33,-25.58,-18.95,49.6,43.22,46.41,2,12.01,3,0.19,85.12,240.86,897.1,1624.72,4.2,A
Mus_musculus,Rodentia,Muridae,Mus,musculus,,19.3,,,,139.5,56.76,35.7,1,,19.6,2,0.000516,0.000617,,5.54,4.5,72,1.06,21.99,4981.53,,64.71,,10,2,3,21.5,10,,71;452;456;543;580;786;836;1297;1577;1594;1849;2034;2151;2329;2399;2531;2637;2655;2803;2978,,,,,,,,,,,,,,,,,,,,0.5,B
Mustela_nivalis,Carnivora,Mustelidae,Mustela,nivalis,2,78.45,,188.18,29.08,,204.6,76.46,1,134.99,36.49,1,0.07,0.08,273.75,5.07,1,120,2,49.99,12.89,,169.99,,,1,3,36.74,45.63,,367;542;730;1113;1297;1573;1577;2655;2986,,,,,43656881.02,77.73,25.94,51.84,179.99,-179.99,-6.45E-08,0,36.98,0,0.01,37.52,-7.08,334.68,463.79,2.2,A
Mustela_putorius,Carnivora,Mustelidae,Mustela,putorius,1,975.55,,358.92,29.08,,847.8,1030,1,70,41.49,1,0.53,0.54,252.5,8.48,1,168,9.5,,0.83,,308.5,,,1,3,54.39,,,367;542;543;1113;1297;1573;1577;2655;2986,,,,,7565541.29,65.74,29.72,47.73,64.15,-9.49,27.32,0,95.38,2,0.00551,50.81,63.88,429.74,545.68,3.57,B
Myotis_daubentonii,Chiroptera,Vespertilionidae,Myotis,daubentonii,,7.63,36.59,44.4,,,,,2,,55.14,1,,,,1.21,1,336,2,29.19,,,371.23,,,2,3,35.33,5.49,,196;400;543;892;1297;1521;1658;2143;2151;2295;2470;2622;2655;2719;2977;3001,,,,,14824937.25,63.01,26.73,44.87,145.82,-10.47,67.67,0,71.14,0,0.00965,46.1,21.71,426.22,515.06,0.1,B
Myotis_lucifugus,Chiroptera,Vespertilionidae,Myotis,lucifugus,,7.8,37.76,52.7,0.5,730,9.29,6.5,1,,59.79,1,,,,1,1,408,2.18,30,,37500,280.6,,,2,3,26,6.79,48.99,43;185;196;488;499;520;543;657;711;755;867;924;937;938;950;1161;1297;1334;1384;1388;1536;1658;1697;1704;1705;1706;1707;1710;1822;20252143;2151;2161;2164;2215;2567;2568;2655;2673;2712;2719;2750;2879;3023;3047,,,,,,,,,,,,,,,,,,,,0.1,B
Myotis_mystacinus,Chiroptera,Vespertilionidae,Myotis,mystacinus,,5.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1,B
Myrmecobius_fasciatus,Dasyuromorphia,Myrmecobiidae,Myrmecobius,fasciatus,2,511.44,,230,,,164.8,440,1,,14,2,0.24,0.35,365,3.68,,72,,,5.3,,,1,,1,3,269.23,,,543;899;955;1297;1412;1760;1822;1848;1947;2655,,1.1,,,7560.06,-32.96,-34.69,-33.82,117.45,116.63,117.04,0,0.79,0,-0.04,58.51,144.04,456.39,1024.83,5.2,B
Neotoma_floridana,Rodentia,Cricetidae,Neotoma,floridana,1,249.16,,212.67,17,,,,3,,34.84,,0.00176,0.00194,83,3.11,2.5,36,14.04,66,273.98,,175.38,1,,,1,37.31,45.9,,543;730;1122;1297;1328;1417;1849;2197;2240;2317;2362;2655;2924;3019,,,,,,,,,,,,,,,,,,,,2.3,A
Neurotrichus_gibbsii,Soricomorpha,Talpidae,Neurotrichus,gibbsii,2,9.56,,78.76,,,,,4,,21.27,2,0.00286,0.00405,,2.99,1,,0.6,23.36,1413.5,2,,,,1,2,,,,176;548;595;724;966;1297;1451;1681;2131;2655;2786,,,,,221424.03,49.95,36.55,43.25,-120.53,-124.73,-122.63,0,73.48,1,0.07,93.39,77.45,431.15,759.89,0,C
Notoryctes_typhlops,Notoryctemorphia,Notoryctidae,Notoryctes,typhlops,2,55,,134.59,,,,,2,,,2,,,,1,,18,,,,,,1,2,1,2,,,,543;955;1412;1760;2151;2655,,,,,1779880.27,-17.53,-31.43,-24.48,137.56,117.57,127.56,0,0.02,0,0.02,21.53,219,305.14,1303.48,0,C
Nyctophilus_gouldi,Chiroptera,Vespertilionidae,Nyctophilus,gouldi,,11.32,39.73,,,,20.46,9.3,1,,22.94,1,,,,1.54,,,1.65,,,,326.81,,,2,3,44.34,,,895;1173;1297;1658;1784;2066;2143;2151;2282;2655;3023,,,,,880409.98,-23.44,-43.64,-33.54,153.63,114.97,134.3,0,20.03,0,0.04,61.49,150.9,638.6,1087.83,0.6,A
Odobenus_rosmarus,Carnivora,Odobenidae,Odobenus,rosmarus,2,1042996.25,,2870.18,0,1825,,,6,729.99,357.39,2,,,821.25,1.22,,480,59090.9,,1.27,,2315.02,,,1,2,591.36,2.00E+05,,367;543;1297;1763;2151;2655;2986,,0.73,,,,,,,,,,,,,,,,,,3.8,A
Onychomys_leucogaster,Rodentia,Cricetidae,Onychomys,leucogaster,1,27.92,,103.46,19.25,156.33,,,4,,31.63,2,0.02,0.02,31.5,3.84,3.8,60,2.3,,,,107.71,,6,1,2,22.82,13.1,,377;543;786;881;1215;1297;1382;1923;2294;2621;2655;2776,,,,,3797199.74,53.17,23.24,38.2,-93.98,-122.39,-108.18,0,8.69,0,0.05,34.14,93.41,470.15,863.03,2.3,A
Oryctolagus_cuniculus,Lagomorpha,Leporidae,Oryctolagus,cuniculus,2,1590.57,,400,10,121.66,,,2,,30.45,,0.04,0.04,29,5.24,4.5,216,39.11,,357.9,,185.61,,,,1,26.3,211.06,,95;543;730;1297;1449;1473;1573;1577;1594;1601;1849;2314;2338;2655;2965,,,,,2293893.27,57.74,30.67,44.2,28.19,-9.84,9.17,3,151.01,14,0.01,55.03,103.87,488.02,716.66,3,B
Otolemur_crassicaudatus,Primates,Galagidae,Otolemur,crassicaudatus,1,1206.61,,307,,799.35,457.15,977,5,,131.04,,0.06,0.07,365,1.14,,225.6,46.57,,87.99,,609.86,3.5,,,2,124.62,499.99,,208;223;543;730;732;868;1297;1544;1547;1822;1848;2344;2493;2655;2660;2986,,1.1,,,4121059.44,1.05,-30.48,-14.71,40.84,18.27,29.55,0,34.54,2,0.18,87.09,220.22,912.84,1482.63,4.8,B
Ovis_aries,Artiodactyla,Bovidae,Ovis,aries,,39097.89,,1297.23,,730,,,2,,152.54,,,,365,1.19,,230.04,2376.24,,,,831.62,35,,,1,182.5,17500,,511;543;899;1052;1068;1297;1525;1577;1594;1848;2555;2655;2986,,1.1,,,,,,,,,,,,,,,,,,5.61,B
Pan_troglodytes,Primates,Hominidae,Pan,troglodytes,3,45000,,796.09,0,5073.5,9000,34150,6,,231.49,2,10.85,12.5,1825,1.05,,720,1745.02,,1.63,45,3897.96,50,2,2,2,1260.81,8499.99,,208;543;730;899;904;1297;1527;1529;1544;1547;1577;1594;1611;1763;1767;1848;2344;2463;2489;2493;2620;2655;2660;2878;2986,,0.48,,,1898947.6,13.13,-8.72,2.2,31.18,-15.55,7.81,0,34.36,1,0.11,149.72,241.68,1297.08,1558.05,64.28,B
Peromyscus_maniculatus,Rodentia,Cricetidae,Peromyscus,maniculatus,1,19.98,,95.75,15.19,86.72,36.46,19.2,4,,26.68,2,0.00203,0.00258,27.14,4.76,2.6,,1.73,,661.87,2.8,48.05,,,2,2,22.49,8.8,,51;75;364;377;433;434;479;493;543;635;642;693;730;786;787;788;808;834;835;837;1027;1116;1212;1215;1297;1444;1573;1577;1578;15941597;1632;1795;1805;1811;1822;1849;1943;2022;2023;2101;2102;2134;2151;22752406;2473;2477;2496;2524;2655;2701;2772;2775;2823;2824;2888;2943;2978;3066;3067,,,,,13001064.75,65.64,16.2,40.92,-55.61,-139.68,-97.65,0,24.92,0,0.05,51.3,61.72,486.99,718.81,0.56,B
Phascolarctos_cinereus,Diprotodontia,Phascolarctidae,Phascolarctos,cinereus,1,6528.74,,,,730,1034.1,4732.5,2,,34.29,1,0.01,0.01,374,1.01,1,240,0.36,,163.01,,834.72,1,,2,1,347.53,1155,,543;730;955;1297;1412;1760;1822;1848;2484;2644;2655,,,,,1013715.85,-17.27,-39.13,-28.2,153.58,138.26,145.92,0,15.21,0,0.04,56.97,178.64,660.25,1266.39,2.4,A
Phoca_vitulina,Carnivora,Phocidae,Phoca,vitulina,2,87316.66,,1611.75,0,1095,32350.8,87316.67,1,38.49,288.95,2,,,365,1,,480,10213.75,771.42,5.68,,1526.85,,,1,3,30.74,21815.73,,367;543;1297;1763;2151;2655;2986,,1.1,,,,,,,,,,,,,,,,,,3.6,B
Phocoena_phocoena,Cetacea,Phocoenidae,Phocoena,phocoena,,52730.93,,1530.07,,1642.5,,,2,,333.28,1,,,365,0.98,0.87,180,8892.16,808.98,0.03,4,1353.82,50,,,3,258.09,,,29;144;240;413;511;543;564;1004;1015;1217;1297;1577;2655,,,,,,,,,,,,,,,,,,,,2.7,A
Phocoenoides_dalli,Cetacea,Phocoenidae,Phocoenoides,dalli,,106042.53,,1966.64,,,,,2,,346.74,1,,,730,0.98,0.33,264,,,,,2672.83,,,,3,91.24,,,69;70;144;511;543;1004;1297;2655,,,,,,,,,,,,,,,,,,,,2.6,A
Phyllostomus_hastatus,Chiroptera,Phyllostomidae,Phyllostomus,hastatus,,91.44,83.27,107,,,70.72,84.2,3,,123.39,1,,,,0.99,1,120,15.94,,,,,,,2,2,72.82,59.09,,55;108;185;196;889;892;1297;1658;1667;1704;1705;1822;1927;1948;2143;2144;2151;2622;2655;2719;2751;2763;3023;3038,,,,,12690238.32,16.02,-24.14,-4.05,-34.79,-88.57,-61.68,0,24.58,0,0.11,151.77,238.87,1289.95,1538.68,0.17,B
Plecotus_auritus,Chiroptera,Vespertilionidae,Plecotus,auritus,,8.19,37.72,,5.5,730,,,1,,65.12,1,,,,1.22,1,360,2.09,,,,338.33,,,2,3,42.09,5.7,,196;543;757;1297;1388;1658;1705;1771;2143;2151;2168;2350;2622;2655;2726;2977;3023,,,,,12452922.57,65.26,24.04,44.65,145.82,-10.47,67.67,0,110.06,1,0.02,50.42,46.77,449.95,625.22,1,B
Pseudorca_crassidens,Cetacea,Delphinidae,Pseudorca,crassidens,,1360000,,,,,,,2,,462,1,,,,0.97,,264,,,,50,3721.66,,,,3,547.5,,,172;543;1297;2151;2655,,,,,,,,,,,,,,,,,,,,3.3,A
Pteropus_giganteus,Chiroptera,Pteropodidae,Pteropus,giganteus,,824.85,177.97,,0,,377,739.2,1,,166.59,1,,,,0.99,1,376.8,90.32,,,550,395.29,,,2,1,152.08,,,211;212;543;1164;1297;1309;1386;1388;1528;1536;1658;1883;1884;1915;1950;2017;2045;2085;2143;2151;2549;2655;3023,,,,,3550847.86,34.03,1.88,17.95,96.91,66.78,81.85,0,331.94,34,0.09,105,243.34,783.94,1421.5,1.7,B
Pteropus_poliocephalus,Chiroptera,Pteropodidae,Pteropus,poliocephalus,,702.78,162,272.59,0,760.41,316.94,598,2,,187.72,1,,,,1,1,,70,,,75000,536.12,,,2,1,120,,,196;206;360;874;1297;1386;1388;1536;1658;1704;1784;1822;2017;2125;2126;2143;2151;2220;2221;2222;2388;2655;2719;2744;2821;2862;3023,,,,,547129.94,-19.18,-39.13,-29.16,153.63,141.32,147.48,0,27.01,1,0.05,70.95,158.14,751.39,1194.12,5.5,A
Pteropus_scapulatus,Chiroptera,Pteropodidae,Pteropus,scapulatus,,380.35,131.5,,,,242.54,362,2,,,1,,,,1,,,,,,500500,566.36,,,2,1,133.76,,,196;206;360;1297;1386;1388;1658;1704;1822;2017;2126;2143;2151;2388;2655;2719;2744;3023,,,,,3331529.09,-9.06,-37.22,-23.14,153.63,113.14,133.39,0,4.38,0,0.04,54.75,224.38,626.19,1489.15,4,A
Rattus_norvegicus,Rodentia,Muridae,Rattus,norvegicus,,282.89,,,,91.25,,,1,,21.74,2,0.00293,0.00253,,8.99,3.5,,5.8,52,,,55.23,,,1,1,25.37,53.07,,515;890;1115;1297;1577;1594;2151;2655;2747;2978,,,,,,,,,,,,,,,,,,,,1.6,B
Rhinolophus_rouxii,Chiroptera,Rhinolophidae,Rhinolophus,rouxii,,12.25,48.99,,28,735.06,,,1,,123.54,1,,,,0.99,1,60,2.86,,,,451.11,,,2,3,59.42,11,,679;1143;1145;1297;1658;2151;2367;2368;2369;2503;2655;2698,,,,,599516.17,22.36,6.37,14.36,96.66,72.73,84.69,22,372.79,70,0.07,117.75,258.78,925.29,1598.72,0.4,A
Rousettus_aegyptiacus,Chiroptera,Pteropodidae,Rousettus,aegyptiacus,1,134,93.2,167.37,,,122.64,126,3,,123.39,1,,,,1.07,2,274.8,19.13,40.04,,1000,315.68,,,2,1,105,75.1,,77;180;181;196;258;266;282;283;360;543;904;1271;1297;1309;1331;1386;1388;1469;1536;1631;1658;1663;1705;1716;1860;1948;2017;2091;2141;21432151;2176;2295;2655;2719;2904;2905;3014;3023;3071,,,,,6076089.81,37.36,-34.83,1.26,66.84,-17.53,24.65,0,75.36,1,0.13,85.78,226.26,828.48,1461.38,3.15,A
Rousettus_madagascariensis,Chiroptera,Pteropodidae,Rousettus,madagascariensis,2,65.72,70.91,129.99,,,,,2,,126.88,1,,,,1.22,,,,,,400,,,,2,1,,,,272;1048;1658;2151;2655,,,,,243394.84,-12.25,-25.2,-18.72,50.48,43.92,47.2,2,29.53,3,0.18,151.39,220.67,1206.9,1608.15,3,A
Saguinus_midas,Primates,Cebidae,Saguinus,midas,3,540.56,,264.21,,730,,,4,,138.24,1,0.05,0.09,206.83,2.02,,184.8,39.78,,10.98,,841.82,5.55,,2,2,69.6,,,208;543;730;890;905;1201;1297;1544;1547;2151;2344;2431;2489;2493;2511;2655;2660;2663;2986,,1.46,,,1524401.32,8.02,-8.37,-0.17,-45.3,-64.84,-55.07,0,5.3,0,0.12,160.68,252.81,1441.49,1666.98,24.87,A
Saimiri_sciureus,Primates,Cebidae,Saimiri,sciureus,3,749.47,,322,,1073.25,738.81,850,3,,164.09,1,0.68,0.65,383.25,1,,324,107.5,,36.09,,1399.88,34.85,,2,2,177.41,418,,169;208;543;730;890;905;1167;1297;1544;1547;1577;1594;1611;1763;1767;1822;1848;2151;2251;2308;2344;2463;2489;2493;2511;2655;2660;2986;3086,,1.07,,,3166418.25,7.61,-8.91,-0.64,-44.29,-78.36,-61.33,0,4.63,0,0.11,186.86,253.03,1461.05,1606.65,40.5,B
Sarcophilus_harrisii,Dasyuromorphia,Dasyuridae,Sarcophilus,harrisii,2,8202.25,,557.86,,,1617,5775,1,,21,1,,,365,2.88,1,98.4,0.02,,5.9,,777.31,,,1,3,243.33,200,,543;955;1052;1297;1412;1760;1822;1848;2483;2484;2655,,,,,63567.96,-40.64,-43.64,-42.14,148.35,144.6,146.48,0,6.64,1,-0.01,71.3,104.27,610.94,778.91,4.75,A
Sciurus_carolinensis,Rodentia,Sciuridae,Sciurus,carolinensis,3,545.4,,253.48,32,365,391,440,7,304.16,44.79,2,0.00857,0.01,,2.98,2,288,15.17,,690,,337.88,1,8,2,2,69.47,200,,32;153;189;190;191;543;730;991;1297;1383;1573;1577;1582;1660;1661;1812;1822;1849;1977;2050;2151;2155;2206;2249;2338;2450;2462;2608;2609;26202629;2655;2707;2799;2809;2833;2947;2948;2974,,,,,4081069.29,53.41,24.94,39.17,-66.06,-108.77,-87.41,0,59.05,1,0.03,78.26,114.03,764.94,862.26,3.9,B
Sciurus_griseus,Rodentia,Sciuridae,Sciurus,griseus,3,703.85,,293.12,,,,,4,,43.49,2,0.00803,0.0074,,2.65,1,,,,239.99,,330.37,,8,2,1,,,,551;730;1297;2151;2655,,,,,373639.12,48.37,32.45,40.41,-115.41,-124.4,-119.9,1,65.73,1,0.08,51.63,101.43,360.21,954.31,3.9,B
Sciurus_niger,Rodentia,Sciuridae,Sciurus,niger,,800,,,,,,,,,,,0.23,0.19,,,,,,,6.32,,,,,,,,,,1543;1662,,,,,4359547.5,51.95,24.94,38.45,-75.05,-109.73,-92.39,0,42.9,1,0.04,71.07,126.75,760.59,916.92,3.9,B
Setonix_brachyurus,Diprotodontia,Macropodidae,Setonix,brachyurus,1,3027.67,,,,410.62,784.52,2600,2,,27.89,1,,,345,1,1.4,144,0.36,,580,,442.19,,,1,1,308.24,499.99,,543;730;955;1015;1052;1297;1412;1760;1822;1848;2483;2655;2986,,,,,44560.4,-31.98,-35.13,-33.56,118.74,114.97,116.86,0,43.6,0,0.11,67.08,148.61,474.46,1106.78,4,A
Sminthopsis_crassicaudata,Dasyuromorphia,Dasyuridae,Sminthopsis,crassicaudata,2,15.98,,,,144,19.56,14.95,2,,16,1,,,97,6.52,2,51.6,0.01,,49.99,,148.31,,,1,3,70,6.5,,543;796;955;1052;1297;1412;1760;1822;2031;2483;2484;2655,,,,,4827312.09,-18.73,-38.85,-28.79,150.93,113.14,132.03,0,2.09,0,0.02,28.14,195.34,350.47,1244.37,2.36,B
Sotalia_fluviatilis,Cetacea,Delphinidae,Sotalia,fluviatilis,3,42833.44,,,,,,,2,,310.25,1,,,,0.97,,,,,,4,,9,,,3,,,,890;905;1297;1577;2151;2475;2655,,,,,,,,,,,,,,,,,,,,1.2,A
Nannospalax_ehrenbergi,Rodentia,Spalacidae,Spalax,ehrenbergi,2,164.35,,,,,101.55,123.25,,54.4,,1,,,,,,,,,,,,1,,1,,,,,230;247;1822;2130;2357;2655;3140,,,,,504281.3,37.74,29.03,33.38,43.89,17.83,30.86,1,96.01,1,0.15,19.91,189.76,233.32,1281.83,0,C
Otospermophilus_beecheyi,Rodentia,Sciuridae,Spermophilus,beecheyi,,597.82,,,35,,317.78,599.6,,,28.37,1,0.000293,0.000299,,6.71,1,60,9.29,,1100.45,,365,,,1,,52.6,66.18,,32;398;875;918;958;1297;1573;1577;1822;1977;2082;2203;2655;2742;2858;2974,,,,,459262.56,46.92,29.72,38.32,-114.74,-124.56,-119.65,0,84.68,1,0.09,49.14,103.49,352.34,985.35,4,B
Suricata_suricatta,Carnivora,Herpestidae,Suricata,suricatta,3,729.99,,285.71,11.97,365,290.12,790,1,,77,1,11.76,14.06,365,3.86,1,150,30.5,,,,377.37,,,1,3,55.68,225.5,,367;543;1113;1297;1740;1822;2655,,,,,1720747.74,-15.77,-33.77,-24.77,30.87,11.71,21.29,0,10.05,0,0.09,26.55,175.81,405.45,1237.75,6.3,B
Sus_scrofa,Artiodactyla,Suidae,Sus,scrofa,2,84471.54,,1349.99,,312,,,5,,115.2,,1.18,5.8,230,4.52,1.5,252,807.77,239.99,3.54,,350.76,13,11,,2,97.88,6469.99,419.99,136;506;543;645;679;730;789;1052;1297;1573;1594;1848;2180;2338;2620;2655,,,,,25951693.02,59.99,-8.78,25.6,138.36,-9.89,64.23,0,145.57,1,0.06,64.68,116.91,567.82,964.89,9.92,A
Tachyglossus_aculeatus,Monotremata,Tachyglossidae,Tachyglossus,aculeatus,2,4499.97,,375,,,414.04,2860,1,,17.72,2,0.44,0.62,1277.5,1,,600,0.37,,,,556.85,1,,1,3,170.08,620.83,,3;4;543;966;1180;1186;1187;1297;1573;1822;1848;1947;1991;2152;2452;2484;2655,,0.58,,,7829490.16,-0.89,-43.64,-22.26,153.63,113.14,133.39,0,3.53,0,0.04,44.83,209.86,476.82,1350.04,1.69,A
Talpa_caeca,Soricomorpha,Talpidae,Talpa,caeca,2,71.08,,120,,,,,1,,,2,,,,,,,,,4999.99,1,,,,1,3,,,,2131;2655,,,,,101761.83,46.97,38.47,42.72,29.42,7.13,18.28,30,194.22,38,0.0026,76.88,94.66,571.04,839.91,0,C
Talpa_occidentalis,Soricomorpha,Talpidae,Talpa,occidentalis,2,49.47,,,,,,,1,,,2,,,,,,,,,,,371.03,,,1,3,,,,1491;2131,,,,,279204.96,43.79,36.01,39.9,-0.4,-9.46,-4.93,3,102.37,10,-0.00403,53.93,130.67,487.87,955.17,0,C
Taphozous_georgianus,Chiroptera,Emballonuridae,Taphozous,georgianus,1,30.52,69.18,,0,365,,,1,,106.86,1,,,,1,1,60,4.22,50.2,,8,278.27,,,2,3,35.46,15.3,65,889;1297;1384;1388;1504;1505;1506;1616;1617;1619;1658;2151;2655;3023,,,,,1876764.47,-11.11,-25.69,-18.4,151.11,113.65,132.38,0,0.81,0,0.02,53.69,246.16,640.6,1637.6,1.3,A
Tarsipes_rostratus,Diprotodontia,Tarsipedidae,Tarsipes,rostratus,2,9.66,,77.34,,182.5,29,10,1,,61.27,2,0.000814,0.000872,122,2.93,3,24,0.0043,,29699.99,,177.2,1,4,2,1,89.74,4.31,,543;955;1297;1412;1466;1760;1822;1848;2108;2437;2484;2644;2655;2880;2967;2969;3080;3081;3082,,,,,211836.34,-27.47,-35.13,-31.3,125.56,114.08,119.82,0,7.58,0,0.06,45.23,160.77,412.71,1144.04,0.63,B
Carlito_syrichta,Primates,Tarsiidae,Tarsius,syrichta,1,115.91,,117.74,,1204.5,76.7,113,1,,177.99,,0.00713,0.01,,1.01,,180,25.6,,,,,1,,,1,82.49,,,208;223;543;720;1297;1544;1547;1848;2137;2344;2493;2655;2660;2986,,,,,121292.03,12.58,5.55,9.07,126.6,121.79,124.19,33,172.57,55,0.11,183.1,241.07,1565.18,1739.39,8.89,A
Trichosurus_vulpecula,Diprotodontia,Phalangeridae,Trichosurus,vulpecula,1,2685.39,,472.78,105,547.5,624.33,1982,1,,17.5,1,0.03,0.03,273.87,1.02,1.5,176.4,0.2,,124,,420.91,1,2,2,1,191.59,675.27,,543;730;955;1297;1412;1573;1760;1822;1848;2483;2484;2620;2644;2655;2880;3109,,,,,2305316.93,-12.27,-43.64,-27.96,153.63,114.94,134.29,0,9.55,0,0.03,55.54,182.67,602.57,1261.86,4.8,A
Tupaia_belangeri,Scandentia,Tupaiidae,Tupaia,belangeri,,200,,,,,,,,,,,,,,,,120,,,,,,,6,,,,,,543;1736;2655,,,,,2798268.56,30.31,8.55,19.43,112.23,90,101.11,1,120.95,5,0.08,153.33,197.45,1071.26,1378.46,2.4,B
Tupaia_glis,Scandentia,Tupaiidae,Tupaia,glis,3,132.43,,185,,203.75,93.48,123,4,,45.99,2,0.00814,0.00873,45.3,2.22,2.5,149,12.6,97.36,406.3,,122.77,,4,2,2,34.27,100,,543;679;730;885;1297;1736;1822;2152;2655,,,,,752165.74,9.27,-8.78,0.24,114.6,95.18,104.89,3,247.48,22,0.1,216.09,252.14,1647.22,1768.46,4.7,B
Tursiops_truncatus,Cetacea,Delphinidae,Tursiops,truncatus,,281040.55,,3257.91,,1825,,,2,,365,1,52.77,84.99,747.48,0.98,,552,24369.6,1050,0.2,7,3354.8,10,,,3,544.4,,,5;6;56;146;150;171;172;218;290;382;385;389;538;543;552;712;890;1004;1217;1297;2151;2655,,0.76,,,,,,,,,,,,,,,,,,3.8,B
Zalophus_californianus,Carnivora,Otariidae,Zalophus,californianus,2,137194.86,,2018.97,0,,,,6,,349.99,2,,,547.5,1.41,,360,6347.89,,0.5,,2023.55,,,1,2,319.01,20199.75,,367;543;890;1297;1763;2151;2655;2986,,0.89,,,,,,,,,,,,,,,,,,5.7,B
