species_printed,region_printed,layer_printed,mean_um_printed,sd_um_printed,presence_printed
Newborn giraffe,Motor cortex,Layer I,803,74,present
Newborn giraffe,Motor cortex,Layer II,203,11,present
Newborn giraffe,Motor cortex,Layer III,832,69,present
Newborn giraffe,Motor cortex,Layer IV,,,absent (-)
Newborn giraffe,Motor cortex,Layer V,484,18,present
Newborn giraffe,Motor cortex,Layer VI,537,17,present
Newborn giraffe,Motor cortex,Gray/white matter junction,2859,152,not applicable
Newborn giraffe,Visual cortex,Layer I,465,34,present
Newborn giraffe,Visual cortex,Layer II,203,8,present
Newborn giraffe,Visual cortex,Layer III,431,21,present
Newborn giraffe,Visual cortex,Layer IV,261,14,present
Newborn giraffe,Visual cortex,Layer V,469,19,present
Newborn giraffe,Visual cortex,Layer VI,393,37,present
Newborn giraffe,Visual cortex,Gray/white matter junction,2221,177,not applicable
Newborn elephant,Frontal cortex,Layer I,723,51,present
Newborn elephant,Frontal cortex,Layer II,212,7,present
Newborn elephant,Frontal cortex,Layer III,772,62,present
Newborn elephant,Frontal cortex,Layer IV,,,absent (-)
Newborn elephant,Frontal cortex,Layer V,634,25,present
Newborn elephant,Frontal cortex,Layer VI,671,41,present
Newborn elephant,Frontal cortex,Gray/white matter junction,3012,206,not applicable
Newborn elephant,Motor cortex,Layer I,337,25,present
Newborn elephant,Motor cortex,Layer II,144,24,present
Newborn elephant,Motor cortex,Layer III,407,55,present
Newborn elephant,Motor cortex,Layer IV,,,absent (-)
Newborn elephant,Motor cortex,Layer V,401,129,present
Newborn elephant,Motor cortex,Layer VI,625,53,present
Newborn elephant,Motor cortex,Gray/white matter junction,1913,86,not applicable
Newborn elephant,Occipital cortex,Layer I,261,21,present
Newborn elephant,Occipital cortex,Layer II,187,13,present
Newborn elephant,Occipital cortex,Layer III,733,96,present
Newborn elephant,Occipital cortex,Layer IV,202,17,present
Newborn elephant,Occipital cortex,Layer V,261,30,present
Newborn elephant,Occipital cortex,Layer VI,320,22,present
Newborn elephant,Occipital cortex,Gray/white matter junction,1964,138,not applicable
