status,species_key,species_smaers,species_printed_smaers,species_frontal,n_measure_mismatch,neopallium_smaers,neopallium_white_smaers,neopallium_grey_smaers,frontal_lobe_smaers,frontal_white_smaers,frontal_grey_smaers,brain_smaers,neopallium_frontal,neopallium_white_frontal,neopallium_grey_frontal,frontal_lobe_frontal,frontal_white_frontal,frontal_grey_frontal,brain_frontal,neopallium_match,neopallium_white_match,neopallium_grey_match,frontal_lobe_match,frontal_white_match,frontal_grey_match,brain_match
matched_by_species,alouattasen.,Alouatta seniculus,Alouatta sen.,Alouatta sen.,0,27357,7535,19822,8174,2753,5421,45174,27357,7535,19822,8174,2753,5421,45174,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
matched_by_species,atelesgeoffroyi,Ateles geoffroyi,Ateles geoffroyi,Ateles geoffroyi,0,69323,16627,52696,22151,5962,16190,102703,69323,16627,52696,22151,5962,16190,102703,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
matched_by_species,cebusalbifrons,Cebus albifrons,Cebus albifrons,Cebus albifrons,0,52450,18212,34237,14694,5523,9170,77027,52450,18212,34237,14694,5523,9170,77027,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
matched_by_species,cercoceb.alb.,Cercocebus albigena,Cercoceb. alb.,Cercoceb. alb.,0,73005,25173,47832,21386,7568,13818,106660,73005,25173,47832,21386,7568,13818,106660,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
matched_by_species,cercopith.asc.,Cercopithecus ascanius,Cercopith. asc.,Cercopith. asc.,0,40393,12121,28273,10261,3143,7119,59363,40393,12121,28273,10261,3143,7119,59363,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
matched_by_species,cercopith.mit.,Cercopithecus mitis,Cercopith. Mit.,Cercopith. Mit.,0,49500,15693,33807,15273,5057,10215,72394,49500,15693,33807,15273,5057,10215,72394,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
matched_by_species,erythroceb.p.,Erythrocebus patas,Erythroceb. p.,Erythroceb. p.,0,70004,24210,45794,16641,5878,10763,93726,70004,24210,45794,16641,5878,10763,93726,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
matched_by_species,gorillagorilla,Gorilla gorilla,Gorilla gorilla,Gorilla gorilla,0,307550,98839,208711,108754,35905,72848,434363,307550,98839,208711,108754,35905,72848,434363,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
matched_by_species,hylobateslar,Hylobates lar,Hylobates lar,Hylobates lar,0,66499,19891,46608,19249,6067,13182,98359,66499,19891,46608,19249,6067,13182,98359,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
matched_by_species,lagothr.lagotr.,Lagothrix lagotricha,Lagothr.lagotr.,Lagothr. lagotr.,0,60026,19202,40824,17017,5872,11145,88156,60026,19202,40824,17017,5872,11145,88156,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
matched_by_species,miopith.tal.,Miopithecus talapoin,Miopith. tal.,Miopith. tal.,0,26918,7181,19738,7083,1895,5188,39672,26918,7181,19738,7083,1895,5188,39672,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
matched_by_species,nasalislarv.,Nasalis larvatus,Nasalis larv.,Nasalis larv.,0,42022,12037,29985,10997,2941,8055,62017,42022,12037,29985,10997,2941,8055,62017,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
matched_by_species,panpaniscus,Pan paniscus,Pan paniscus,Pan paniscus,0,235469,76921,158548,79632,29100,50532,378400,235469,76921,158548,79632,29100,50532,378400,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
matched_by_species,pantroglodytes,Pan troglodytes,Pan troglodytes,Pan troglodytes,0,321677,130114,191563,117753,53062,64691,444981,321677,130114,191563,117753,53062,64691,444981,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
matched_by_species,papioanubis,Papio anubis,Papio anubis,Papio anubis,0,130886,51365,79521,38136,15087,23049,184363,130886,51365,79521,38136,15087,23049,184363,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
matched_by_species,pith.monachus,Pithecia monachus,Pith. monachus,Pith. monachus,0,20862,6261,14601,5482,1654,3828,32819,20862,6261,14601,5482,1654,3828,32819,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
matched_by_species,pongopygm.,Pongo pygmaeus,Pongo pygm.,Pongo pygm.,0,327005,143847,183158,123641,59201,64440,424700,327005,143847,183158,123641,59201,64440,424700,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
matched_by_species,procol.bad.,Procolobus badius,Procol. bad.,Procol. bad.,0,51273,14651,36622,15015,4400,10615,75965,51273,14651,36622,15015,4400,10615,75965,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
