ref_key,cited_in_column,citation,note
1,Source,Gingerich (1998),"printed in the caption key but not used by any extant-cetacean row; cited only by the fossil sections, or not at all"
2,Source,Schwerdtfeger et al. (1984),
3,Source,Ridgway & Brownson (1984),
4,Source,Ridgway (1990),
5,Source,Marino (1998),
6,Source,Pilleri & Gihr (1970),
7,Source,von Bonin (1936),"printed in the caption key but not used by any extant-cetacean row; cited only by the fossil sections, or not at all"
8,Source,Jacobs & Jensen (1964),
9,Source,Jerison (1978),
10,Source,Marino et al. (2004),"printed in the caption key but not used by any extant-cetacean row; cited only by the fossil sections, or not at all"
