"Species_Matano1986","superior_pct","lateral_pct","medial_pct","descending_pct","complex_to_total_brain_pct_x100000"
"Tupaia glis",21.4,20.5,32.3,25.8,337
"Urogale everetti",15.3,18.6,37.4,28.7,313
"Microcebus murinus",16.9,18.9,37.3,26.9,239
"Cheirogaleus major",16.8,16,37.7,29.5,174
"C. medius",22.7,16.7,33.8,26.8,203
"Lemur albifrons",20,19,31.3,29.7,141
"Varecia variegata",15.9,18.2,34.1,31.8,146
"Lepilemur ruficaudatus",14.2,16.1,39.7,30,208
"Avahi laniger laniger",18,21.2,38.9,21.9,242
"A. l. occidentalis",17.2,18.3,37.9,26.6,198
"Propithecus verreauxi",18.9,17.1,35.4,28.6,172
"Indri indri",15.2,18.5,43.3,23,141
"Daubentonia madagascariensis",17.9,17.2,38.1,26.8,111
"Loris tardigradus",19,14.4,42,24.6,135
"Nycticebus coucang",16.3,16.5,39.5,27.7,157
"Perodicticus potto",16.5,15.5,45.5,22.5,131
"Galago senegalensis",14.9,15.6,37.4,32.1,203
"Otolemur crassicaudatus",14.3,14.4,36.1,35.2,206
"Galagoides demidovii",15.3,15.2,40.9,28.6,208
"Tarsius spp.",9.87,15.2,43.7,31.4,227
"Callithrix jacchus",17.7,26.8,38.3,17.2,210
"Cebuella pygmaea",18.8,26.5,37,17.7,258
"Saguinus midas",20.3,20.8,36.1,22.8,165
"S. oedipus",16.3,19.8,39.4,24.5,193
"Cebus albifrons",22.4,14.8,38.3,24.5,75
"Aotus trivirgatus",21.6,18.3,39.5,20.6,174
"Callicebus moloch",18.6,16.1,39.6,25.7,184
"Saimiri sciureus",15.1,21.3,38.8,24.8,130
"Pithecia monachus",20.8,22.2,30.9,26.1,118
"Alouatta seniculus",19.8,20.3,35.5,24.4,93.7
"Ateles geoffroyi",14.5,13.7,47.9,23.9,49.2
"Lagothrix lagotricha",17.1,13.1,43.2,26.6,55.6
"Macaca mulatta",19.9,20.5,40.8,18.8,93.9
"Cercocebus albigena",18.6,11.5,40.9,29,89.1
"Papio anubis",13.5,9.8,45,31.7,56
"Cercopithecus ascanius",15.8,11.3,39.9,33,82
"C. mitis",18.6,13,38.2,30.2,114
"Miopithecus talapoin",19.2,18.2,39.4,23.2,105
"Erythrocebus patas",17.1,20.1,45.3,17.5,86.3
"Colobus badius",15.2,17.5,42,25.3,77.6
"Pygathrix nemaeus",22.4,19.5,29,29.1,86.2
"Nasalis larvatus",14.6,17.2,39,29.2,92.9
"Hylobates lar",25.1,9.3,41.2,24.4,60.9
"Pan troglodytes",20,8.2,46.5,25.3,30.9
"Gorilla gorilla",25.5,14.3,42.8,17.4,28.9
"Homo sapiens sapiens",20.2,12.7,41.2,25.9,14.1
