"Species_Matano1986","check","value_TableI","complex_TableI","recomputed","printed_TableIII","difference","status"
"Lemur albifrons","lateral",5.9,31.1,18.971,19,-0.029,"OK"
"Lemur albifrons","medial",9.75,31.1,31.35,31.3,0.05,"OK"
"Lemur albifrons","descending",9.27,31.1,29.807,29.7,0.107,"OK"
"Lemur albifrons","complex_sum_check",31.14,31.1,31.14,31.1,0.129,"OK"
"Varecia variegata","superior",6.92,43.4,15.945,15.9,0.045,"OK"
"Varecia variegata","lateral",7.86,43.4,18.111,18.2,-0.089,"OK"
"Varecia variegata","medial",14.8,43.4,34.101,34.1,0.001,"OK"
"Varecia variegata","descending",13.8,43.4,31.797,31.8,-0.003,"OK"
"Varecia variegata","complex_sum_check",43.38,43.4,43.38,43.4,-0.046,"OK"
"Lepilemur ruficaudatus","superior",2.11,14.9,14.161,14.2,-0.039,"OK"
"Lepilemur ruficaudatus","lateral",2.38,14.9,15.973,16.1,-0.127,"OK"
"Lepilemur ruficaudatus","medial",5.92,14.9,39.732,39.7,0.032,"OK"
"Lepilemur ruficaudatus","descending",4.47,14.9,30,30,0,"OK"
"Lepilemur ruficaudatus","complex_sum_check",14.88,14.9,14.88,14.9,-0.134,"OK"
"Avahi laniger laniger","superior",4.27,23.7,18.017,18,0.017,"OK"
"Avahi laniger laniger","lateral",5.02,23.7,21.181,21.2,-0.019,"OK"
"Avahi laniger laniger","medial",9.21,23.7,38.861,38.9,-0.039,"OK"
"Avahi laniger laniger","descending",5.19,23.7,21.899,21.9,-0.001,"OK"
"Avahi laniger laniger","complex_sum_check",23.69,23.7,23.69,23.7,-0.042,"OK"
"A. l. occidentalis","superior",3.1,18.1,17.127,17.2,-0.073,"OK"
"A. l. occidentalis","lateral",3.32,18.1,18.343,18.3,0.043,"OK"
"A. l. occidentalis","medial",6.86,18.1,37.901,37.9,0.001,"OK"
"A. l. occidentalis","descending",4.81,18.1,26.575,26.6,-0.025,"OK"
"A. l. occidentalis","complex_sum_check",18.09,18.1,18.09,18.1,-0.055,"OK"
"Propithecus verreauxi","superior",8.18,43.3,18.891,18.9,-0.009,"OK"
"Propithecus verreauxi","lateral",7.37,43.3,17.021,17.1,-0.079,"OK"
"Propithecus verreauxi","medial",15.3,43.3,35.335,35.4,-0.065,"OK"
"Propithecus verreauxi","descending",12.4,43.3,28.637,28.6,0.037,"OK"
"Propithecus verreauxi","complex_sum_check",43.25,43.3,43.25,43.3,-0.115,"OK"
"Indri indri","superior",7.8,51.3,15.205,15.2,0.005,"OK"
"Indri indri","lateral",9.51,51.3,18.538,18.5,0.038,"OK"
"Indri indri","medial",22.2,51.3,43.275,43.3,-0.025,"OK"
"Indri indri","descending",11.8,51.3,23.002,23,0.002,"OK"
"Indri indri","complex_sum_check",51.31,51.3,51.31,51.3,0.019,"OK"
"Daubentonia madagascariensis","superior",8.45,47.3,17.865,17.9,-0.035,"OK"
"Daubentonia madagascariensis","lateral",8.13,47.3,17.188,17.2,-0.012,"OK"
"Daubentonia madagascariensis","medial",18,47.3,38.055,38.1,-0.045,"OK"
"Daubentonia madagascariensis","descending",12.7,47.3,26.85,26.8,0.05,"OK"
"Daubentonia madagascariensis","complex_sum_check",47.28,47.3,47.28,47.3,-0.042,"OK"
"Loris tardigradus","superior",1.61,8.46,19.031,19,0.031,"OK"
"Loris tardigradus","lateral",1.22,8.46,14.421,14.4,0.021,"OK"
"Loris tardigradus","medial",3.55,8.46,41.962,42,-0.038,"OK"
"Loris tardigradus","descending",2.08,8.46,24.586,24.6,-0.014,"OK"
"Loris tardigradus","complex_sum_check",8.46,8.46,8.46,8.46,0,"OK"
"Nycticebus coucang","superior",3.03,18.5,16.378,16.3,0.078,"OK"
"Nycticebus coucang","lateral",3.05,18.5,16.486,16.5,-0.014,"OK"
"Nycticebus coucang","medial",7.32,18.5,39.568,39.5,0.068,"OK"
"Nycticebus coucang","descending",5.14,18.5,27.784,27.7,0.084,"OK"
"Nycticebus coucang","complex_sum_check",18.54,18.5,18.54,18.5,0.216,"OK"
"Perodicticus potto","superior",2.86,17.3,16.532,16.5,0.032,"OK"
"Perodicticus potto","lateral",2.66,17.3,15.376,15.5,-0.124,"OK"
"Perodicticus potto","medial",7.87,17.3,45.491,45.5,-0.009,"OK"
"Perodicticus potto","descending",3.88,17.3,22.428,22.5,-0.072,"OK"
"Perodicticus potto","complex_sum_check",17.27,17.3,17.27,17.3,-0.173,"OK"
"Galago senegalensis","superior",1.36,9.14,14.88,14.9,-0.02,"OK"
"Galago senegalensis","lateral",1.43,9.14,15.646,15.6,0.046,"OK"
"Galago senegalensis","medial",3.42,9.14,37.418,37.4,0.018,"OK"
"Galago senegalensis","descending",2.93,9.14,32.057,32.1,-0.043,"OK"
"Galago senegalensis","complex_sum_check",9.14,9.14,9.14,9.14,0,"OK"
"Otolemur crassicaudatus","superior",2.85,19.9,14.322,14.3,0.022,"OK"
"Otolemur crassicaudatus","lateral",2.87,19.9,14.422,14.4,0.022,"OK"
"Otolemur crassicaudatus","medial",7.16,19.9,35.98,36.1,-0.12,"OK"
"Otolemur crassicaudatus","descending",7.01,19.9,35.226,35.2,0.026,"OK"
"Otolemur crassicaudatus","complex_sum_check",19.89,19.9,19.89,19.9,-0.05,"OK"
"Galagoides demidovii","superior",1.02,6.65,15.338,15.3,0.038,"OK"
"Galagoides demidovii","lateral",1.01,6.65,15.188,15.2,-0.012,"OK"
"Galagoides demidovii","medial",2.72,6.65,40.902,40.9,0.002,"OK"
"Galagoides demidovii","descending",1.9,6.65,28.571,28.6,-0.029,"OK"
"Galagoides demidovii","complex_sum_check",6.65,6.65,6.65,6.65,0,"OK"
"Tarsius spp.","superior",0.759,7.69,9.87,9.87,-0,"OK"
"Tarsius spp.","lateral",1.16,7.69,15.085,15.2,-0.115,"OK"
"Tarsius spp.","medial",3.36,7.69,43.693,43.7,-0.007,"OK"
"Tarsius spp.","descending",2.41,7.69,31.339,31.4,-0.061,"OK"
"Tarsius spp.","complex_sum_check",7.689,7.69,7.689,7.69,-0.013,"OK"
"Callithrix jacchus","superior",2.69,15.2,17.697,17.7,-0.003,"OK"
"Callithrix jacchus","lateral",4.07,15.2,26.776,26.8,-0.024,"OK"
"Callithrix jacchus","medial",5.8,15.2,38.158,38.3,-0.142,"OK"
"Callithrix jacchus","descending",2.6,15.2,17.105,17.2,-0.095,"OK"
"Callithrix jacchus","complex_sum_check",15.16,15.2,15.16,15.2,-0.263,"OK"
"Cebuella pygmaea","superior",2.1,11.1,18.919,18.8,0.119,"OK"
"Cebuella pygmaea","lateral",2.94,11.1,26.486,26.5,-0.014,"OK"
"Cebuella pygmaea","medial",4.11,11.1,37.027,37,0.027,"OK"
"Cebuella pygmaea","descending",1.96,11.1,17.658,17.7,-0.042,"OK"
"Cebuella pygmaea","complex_sum_check",11.11,11.1,11.11,11.1,0.09,"OK"
"Saguinus midas","superior",3.21,15.8,20.316,20.3,0.016,"OK"
"Saguinus midas","lateral",3.28,15.8,20.759,20.8,-0.041,"OK"
"Saguinus midas","medial",5.7,15.8,36.076,36.1,-0.024,"OK"
"Saguinus midas","descending",3.6,15.8,22.785,22.8,-0.015,"OK"
"Saguinus midas","complex_sum_check",15.79,15.8,15.79,15.8,-0.063,"OK"
"S. oedipus","superior",2.98,18.4,16.196,16.3,-0.104,"OK"
"S. oedipus","lateral",3.63,18.4,19.728,19.8,-0.072,"OK"
"S. oedipus","medial",7.25,18.4,39.402,39.4,0.002,"OK"
"S. oedipus","descending",4.49,18.4,24.402,24.5,-0.098,"OK"
"S. oedipus","complex_sum_check",18.35,18.4,18.35,18.4,-0.272,"OK"
"Cebus albifrons","superior",11.2,50.2,22.311,22.4,-0.089,"OK"
"Cebus albifrons","lateral",7.45,50.2,14.841,14.8,0.041,"OK"
"Cebus albifrons","medial",19.2,50.2,38.247,38.3,-0.053,"OK"
"Cebus albifrons","descending",12.3,50.2,24.502,24.5,0.002,"OK"
"Cebus albifrons","complex_sum_check",50.15,50.2,50.15,50.2,-0.1,"OK"
"Aotus trivirgatus","superior",6.07,28.1,21.601,21.6,0.001,"OK"
"Aotus trivirgatus","lateral",5.14,28.1,18.292,18.3,-0.008,"OK"
"Aotus trivirgatus","medial",11.1,28.1,39.502,39.5,0.002,"OK"
"Aotus trivirgatus","descending",5.81,28.1,20.676,20.6,0.076,"OK"
"Aotus trivirgatus","complex_sum_check",28.12,28.1,28.12,28.1,0.071,"OK"
"Callicebus moloch","superior",6.17,33.1,18.64,18.6,0.04,"OK"
"Callicebus moloch","lateral",5.29,33.1,15.982,16.1,-0.118,"OK"
"Callicebus moloch","medial",13.1,33.1,39.577,39.6,-0.023,"OK"
"Callicebus moloch","descending",8.52,33.1,25.74,25.7,0.04,"OK"
"Callicebus moloch","complex_sum_check",33.08,33.1,33.08,33.1,-0.06,"OK"
"Saimiri sciureus","superior",4.43,29.4,15.068,15.1,-0.032,"OK"
"Saimiri sciureus","lateral",6.26,29.4,21.293,21.3,-0.007,"OK"
"Saimiri sciureus","medial",11.4,29.4,38.776,38.8,-0.024,"OK"
"Saimiri sciureus","descending",7.31,29.4,24.864,24.8,0.064,"OK"
"Saimiri sciureus","complex_sum_check",29.4,29.4,29.4,29.4,0,"OK"
"Pithecia monachus","superior",8.07,38.8,20.799,20.8,-0.001,"OK"
"Pithecia monachus","lateral",8.58,38.8,22.113,22.2,-0.087,"OK"
"Pithecia monachus","medial",12,38.8,30.928,30.9,0.028,"OK"
"Pithecia monachus","descending",10.1,38.8,26.031,26.1,-0.069,"OK"
"Pithecia monachus","complex_sum_check",38.75,38.8,38.75,38.8,-0.129,"OK"
"Alouatta seniculus","superior",9.09,45.9,19.804,19.8,0.004,"OK"
"Alouatta seniculus","lateral",9.27,45.9,20.196,20.3,-0.104,"OK"
"Alouatta seniculus","medial",16.3,45.9,35.512,35.5,0.012,"OK"
"Alouatta seniculus","descending",11.2,45.9,24.401,24.4,0.001,"OK"
"Alouatta seniculus","complex_sum_check",45.86,45.9,45.86,45.9,-0.087,"OK"
"Ateles geoffroyi","superior",7.2,49.7,14.487,14.5,-0.013,"OK"
"Ateles geoffroyi","lateral",6.81,49.7,13.702,13.7,0.002,"OK"
"Ateles geoffroyi","medial",23.8,49.7,47.887,47.9,-0.013,"OK"
"Ateles geoffroyi","descending",11.9,49.7,23.944,23.9,0.044,"OK"
