"species_as_published","suborder","family","brain_mass_mg","brain_mass_g_as_published","body_mass_g","encephalisation_quotient_as_published","water_temp_min_c","water_temp_max_c","source_ref_key","source"
"Platanista gangetica","Odontocete","Platanistidae",295000,295,59000,1.83,NA,NA,9,"Manger__2006"
"Platanista minor","Odontocete","Platanistidae",164000,164,18300,2.38,NA,NA,2,"Manger__2006"
"Lipotes vexillifer","Odontocete","Lipotidae",558000,558,180000,1.53,9,17,2,"Manger__2006"
"Pontoporia blainvillei","Odontocete","Pontoporiidae",220000,220,34900,1.99,15,25,2,"Manger__2006"
"Inia geoffrensis","Odontocete","Iniidae",610000,610,62400,3.63,22,32,2,"Manger__2006"
"Delphinapterus leucas","Odontocete","Monodontidae",2083000,2083,636000,2.28,-1,9,3,"Manger__2006"
"Monodon monoceros","Odontocete","Monodontidae",2997000,2997,1578330,1.69,-1,7,5,"Manger__2006"
"Phocoena phocoena","Odontocete","Phocoenidae",477000,477,52300,3.23,2,19,2,"Manger__2006"
"Neophocaena phocaenoides","Odontocete","Phocoenidae",468000,468,32400,4.49,12,28,2,"Manger__2006"
"Neophocaena asiaeorientalis","Odontocete","Phocoenidae",422000,422,34000,3.91,NA,NA,2,"Manger__2006"
"Phocoenoides dalli","Odontocete","Phocoenidae",867000,867,112000,3.36,4,19,9,"Manger__2006"
"Phocoenoides truei","Odontocete","Phocoenidae",876000,876,78400,4.41,NA,NA,2,"Manger__2006"
"Sotalia fluviatilis","Odontocete","Delphinidae",688000,688,42200,5.44,20,32,2,"Manger__2006"
"Lagenorhynchus albirostris","Odontocete","Delphinidae",1126000,1126,67500,6.32,2,17,2,"Manger__2006"
"Lagenorhynchus acutus","Odontocete","Delphinidae",1200000,1200,120000,4.43,3,21,2,"Manger__2006"
"Lagenorhynchus obliquidens","Odontocete","Delphinidae",1140000,1140,90000,5.19,4,14,2,"Manger__2006"
"Grampus griseus","Odontocete","Delphinidae",2551000,2551,400000,3.91,9,29,3,"Manger__2006"
"Tursiops truncatus","Odontocete","Delphinidae",1530000,1530,165000,4.47,13,29,4,"Manger__2006"
"Stenella coeruleoalba","Odontocete","Delphinidae",820000,820,56300,5.25,15,29,2,"Manger__2006"
"Delphinus delphis","Odontocete","Delphinidae",765000,765,52000,5.19,13,29,2,"Manger__2006"
"Orcinus orca","Odontocete","Delphinidae",5617000,5617,2049000,2.62,NA,NA,3,"Manger__2006"
"Globicephala melas","Odontocete","Delphinidae",2673000,2673,1061000,2.01,4,20,3,"Manger__2006"
"Ziphius cavirostris","Odontocete","Ziphiidae",2004000,2004,2273000,0.87,NA,NA,3,"Manger__2006"
"Mesoplodon mirus","Odontocete","Ziphiidae",2355000,2355,929000,1.95,8,18,5,"Manger__2006"
"Mesoplodon europaeus","Odontocete","Ziphiidae",2149000,2149,732000,2.12,8,18,5,"Manger__2006"
"Mesoplodon densirostris","Odontocete","Ziphiidae",1463000,1463,767000,1.39,18,29,5,"Manger__2006"
"Kogia breviceps","Odontocete","Physeteridae",1012000,1012,305000,1.89,13,23,5,"Manger__2006"
"Kogia simus","Odontocete","Physeteridae",622000,622,168500,1.79,18,26,5,"Manger__2006"
"Physeter catadon","Odontocete","Physeteridae",7818000,7818,37093000,0.44,15,23,3,"Manger__2006"
"Eschrichtius robustus","Mysticete","Eschrichtiidae",4316670,4316.67,30000000,0.28,-1,4,6,"Manger__2006"
"Balaenoptera borealis","Mysticete","Balaenopteridae",4900000,4900,20000000,0.43,2,8,8,"Manger__2006"
"Balaenoptera physalus","Mysticete","Balaenopteridae",7111430,7111.43,33221430,0.43,NA,NA,6,"Manger__2006"
"Balaenoptera musculus","Mysticete","Balaenopteridae",3636000,3636,50904000,0.16,-1,5,9,"Manger__2006"
"Megaptera novaeangliae","Mysticete","Megaptera",6439000,6439,39311330,0.35,-1,5,6,"Manger__2006"
