Species,Specimens_n,Body_weight_g,InfOliv_Principal_mm3,InfOliv_AccMed_mm3,InfOliv_AccDors_mm3,Med_plus_Dorsal_mm3,Activity_Time,Diet,Locomotor_Type
Callithrix jacchus,2,280,0.767,1.13,0.864,1.99,D,Fru.,NAQ
Cebuella pygmaea,2,120,0.716,0.852,0.563,1.42,D,Fru.,NAQ
Saguinus midas,2,340,1.12,1.59,0.960,2.55,D,Fru.,NAQ
Saguinus oedipus,2,380,1.19,1.29,1.10,2.39,D,Fru.,NAQ
Cebus albifrons,1,3100,18.5,7.81,8.41,16.2,D,Fru.,NAQ
Aotus trivirgatus,2,830,2.20,1.92,1.26,3.18,N,Fru.,NAQ
Callicebus moloch,2,900,2.07,2.56,1.57,4.13,D,Fru.,NAQ
Saimiri sciureus,2,660,2.40,2.82,1.86,4.68,D,Fru.,NAQ
Pithecia monachus,2,1500,7.14,3.71,2.32,6.03,D,Fru.,NAQ
Alouatta seniculus,2,6400,18.1,7.80,5.39,13.2,D,Fol.,NSB
Ateles geoffroyi,1,8000,24.3,4.52,4.62,9.14,D,Fru.,NSB
Lagothrix lagothricha,2,5200,21.7,5.42,3.65,9.07,D,Fru.,NSB
