Species,Specimens_n,Body_weight_g,InfOliv_Principal_mm3,InfOliv_AccMed_mm3,InfOliv_AccDors_mm3,Med_plus_Dorsal_mm3,Activity_Time,Diet,Locomotor_Type
Hylobates lar,1,5700,47.5,13.6,5.92,19.5,D,Fru.,OTB
Pan troglodytes,1,46000,65.1,3.69,2.16,5.85,D,Fru.,OMB
Gorilla gorilla,2,105000,94.3,12.8,5.52,18.3,D,Fol.,OMB
Homo sap. sapiens,2,65000,189,14.5,8.50,23.0,D,Omni.,SBP
