order,family,common_name,species,specimen_number,medulla_mm3,cerebellum_mm3,mesencephalon_mm3,diencephalon_mm3,striatum_mm3,septum_mm3,amygdala_mm3,paleocortex_mm3,hippocampus_mm3,schizocortex_mm3,isocortex_mm3,source
Carnivora,Canidae,Coyote,Canis latrans,62-301,3392.64,6244.8,1818.72,3256.32,1847.04,144.48000000000002,849.12,2272.32,2158.56,1603.6799999999998,49435.68,Reep_etal_2007
Carnivora,Canidae,Red fox,Vulpes vulpes,63-392,1841.76,4112.64,1315.6799999999998,1966.08,1002.72,108,395.52,960.48,1288.32,594.72,24216.480000000003,Reep_etal_2007
Carnivora,Canidae,Fennec,Fennecus zerda,63-388,957.12,1860,632.64,895.6800000000001,510.71999999999997,51.839999999999996,213.12,510.24,485.76,335.04,8302.08,Reep_etal_2007
Carnivora,Canidae,Polar bear,Ursus maritimus,62-256,20285.280000000002,61999.68,7129.92,14129.28,9889.92,617.2800000000001,1947.36,7370.4,5588.64,2806.08,259556.64,Reep_etal_2007
Carnivora,Procyonidae,Crab-eating raccoon,Procyon cancrivorus,68-312,1596.96,4155.84,765.6,1942.08,1039.6799999999998,107.04,291.84000000000003,812.16,1025.76,565.92,24555.36,Reep_etal_2007
Carnivora,Procyonidae,Coatimundi,Nasua nasua,58-360,1088.1599999999999,3335.04,615.3599999999999,1395.36,1239.84,48.96,295.2,836.16,494.4,281.28,14564.16,Reep_etal_2007
Carnivora,Procyonidae,Olingo,Bassaricyon gabbii,62-113,683.52,1795.2,496.32,1016.64,811.2,57.120000000000005,191.52,575.52,579.3599999999999,512.64,9030.720000000001,Reep_etal_2007
Carnivora,Mustelidae,Least weasel,Mustela nivalis,63-10,149.76,298.56,92.16,148.32000000000002,74.88,9.6,17.279999999999998,73.44000000000001,168,42.24,994.08,Reep_etal_2007
Carnivora,Mustelidae,Badger,Taxidea taxus,63-127,1912.8,4135.2,1037.28,2561.2799999999997,2120.64,118.56,422.4,1641.12,1447.6799999999998,865.92,26457.12,Reep_etal_2007
Carnivora,Mustelidae,Striped skunk,Mephitis mephitis,57-226,462.24,1201.92,206.4,445.91999999999996,349.44,28.32,116.64,456.96,312,180.48000000000002,4053.6,Reep_etal_2007
Carnivora,Hyaenidae,Spotted hyena,Crocuta crocuta,64-352,7089.120000000001,14094.720000000001,3419.52,6756.48,5801.28,336,1471.2,3902.88,3080.64,2154.24,92500.8,Reep_etal_2007
Carnivora,Felidae,Mountain lion,Felis concolor,60-206,5176.320000000001,12413.28,2940,4935.360000000001,3000,259.2,855.3599999999999,2014.08,1798.56,1082.8799999999999,70327.68000000001,Reep_etal_2007
Carnivora,Felidae,Leopard,Panthera pardus,63-261,7482.24,16028.16,4802.4,6180.48,3809.2799999999997,235.68,1355.04,2855.04,3121.44,2155.2,85872.95999999999,Reep_etal_2007
Carnivora,Felidae,African lion,Panthera leo,62-79,11861.76,32487.36,6199.2,8932.32,3633.6,422.4,1578.72,3082.56,4496.160000000001,1324.8,157070.4,Reep_etal_2007
Carnivora,Otariidae,Northern fur seal,Callorhinus ursinus,61-512,10992,40414.56,4153.44,12811.68,6391.2,391.68,905.2800000000001,2115.84,1953.12,1680,186232.8,Reep_etal_2007
Carnivora,Otariidae,California sea lion,Zalophus californianus,62-294,13046.04,73013.64,5225.22,12072.48,9367.26,501.06,1253.28,2638.44,2328.48,2367.96,263153.1,Reep_etal_2007
Carnivora,Otariidae,Stellar sea lion,Eumetopias jubatus,61-513,20610.04,93486.8,5423,14465,9214.04,310.2,1760,3355,3530.12,2509.7599999999998,359900.2,Reep_etal_2007
Carnivora,Phocidae,Harbor seal,Phoca vitulina,61-515,9209.82,33550.68,3720.12,10289.78,6096.96,348.58,932.06,1838.02,2113.52,2545.04,169256.18,Reep_etal_2007
Artiodactyla,Tayassuidae,Collared peccary,Tayassu tajacu,63-445,2386.08,6330.24,1769.28,2726.88,2506.08,169.92000000000002,544.3199999999999,1881.6,2667.84,1023.8399999999999,28429.440000000002,Reep_etal_2007
Artiodactyla,Camelidae,Llama,Lama glama,65-139,8955.359999999999,22925.760000000002,6617.76,7921.92,7429.44,310.56,1191.36,2737.92,3524.16,1693.44,99180,Reep_etal_2007
Artiodactyla,Camelidae,Camel,Camelus dromedarius,60-227,26781.12,70519.68000000001,14904,19111.68,21388.32,768.9599999999999,3966.24,7468.8,8577.12,3760.32,375959.52,Reep_etal_2007
Artiodactyla,Cervidae,White-tailed deer,Odocoileus virginianus,67-81,6521.28,14463.84,5060.160000000001,7130.4,3750.72,406.08,1048.8,3132.48,3259.68,2596.8,68266.08,Reep_etal_2007
Artiodactyla,Bovidae,Zebu,Bos taurus indicus,64-322,17187.84,41459.04,12054.720000000001,20231.04,17609.280000000002,444.96,3838.08,9524.640000000001,7708.320000000001,5050.08,362993.76,Reep_etal_2007
Perissodactyla,Equidae,Zebra,Equus burchelli,61-820,18975.36,47924.64,12012,16176.48,15858.720000000001,541.4399999999999,2971.2,7879.68,10334.88,3980.16,294262.56,Reep_etal_2007
