Species,Body_Mass.g,Cerebellum_C.n,Cerebellum_Mass.g,Cerebellum_N.n,Cerebellum_N.n_SD,Cerebellum_N.p.mg,Cerebellum_N.p.mg_SD,Cerebellum_O.n,Cerebellum_O.n_SD,Cerebellum_O.p.N,Cerebellum_O.p.N_SD,Cerebellum_O.p.mg,Cerebellum_O.p.mg_SD,CerebralCortex_C.n,CerebralCortex_Mass.g,CerebralCortex_Mass.g_SD,CerebralCortex_N.n,CerebralCortex_N.n_SD,CerebralCortex_N.p.mg,CerebralCortex_N.p.mg_SD,CerebralCortex_O.n,CerebralCortex_O.n_SD,CerebralCortex_O.p.N,CerebralCortex_O.p.N_SD,CerebralCortex_O.p.mg,CerebralCortex_O.p.mg_SD,RoB_C.n,RoB_Mass.g,RoB_Mass.g_SD,RoB_N.n,RoB_N.n_SD,RoB_N.p.mg,RoB_N.p.mg_SD,RoB_O.n,RoB_O.n_SD,RoB_O.p.N,RoB_O.p.N_SD,RoB_O.p.mg,RoB_O.p.mg_SD,WholeBrain_C.n,WholeBrain_Mass.g,WholeBrain_Mass.g_SD,WholeBrain_N.n,WholeBrain_N.n_SD,WholeBrain_O.n,WholeBrain_O.n_SD,Cerebellum_I.p.C,CerebralCortexNoHippocampus_I.p.C,CerebralCortex_I.p.C,Hippocampus_I.p.C,OlfactoryBulb_Mass.g,OlfactoryBulb_N.n,OlfactoryBulb_N.p.mg,OlfactoryBulb_O.n,OlfactoryBulb_O.p.N,OlfactoryBulb_O.p.mg,RoB_I.p.C,WholeBrain_I.p.C,Body_Mass.g_SD,Brain_Mass.g,Brain_N.n,Cerebellum_Mass.g_SD,OlfactoryBulb_Mass.g_SD,OlfactoryBulb_N.n_SD,OlfactoryBulb_N.p.mg_SD,OlfactoryBulb_O.n_SD,OlfactoryBulb_O.p.mg_SD,SpinalCord_Length.mm,SpinalCord_Length.mm_SD,SpinalCord_Mass.g,SpinalCord_Mass.g_SD,SpinalCord_N.n,SpinalCord_N.n_SD,SpinalCord_N.p.mg,SpinalCord_N.p.mg_SD,SpinalCord_O.n,SpinalCord_O.n_SD,SpinalCord_O.p.mg,SpinalCord_O.p.mg_SD,SpinalCord_p.C.Body.mass,SpinalCord_p.C.CNS.mass,SpinalCord_p.C.CNS.neurons,Amygdala_Vol.mm3,Amygdala_Vol.mm3_SD,Cerebellum_Vol.mm3,Cerebellum_Vol.mm3_SD,EntorhinalCortex_Vol.mm3,EntorhinalCortex_Vol.mm3_SD,Hippocampus_Vol.mm3,Hippocampus_Vol.mm3_SD,Hypothalamus_Vol.mm3,Hypothalamus_Vol.mm3_SD,Medulla_Vol.mm3,Medulla_Vol.mm3_SD,MesencephalonMedulla_N.n,MesencephalonMedulla_N.n_SD,Neocortex_Vol.mm3,Neocortex_Vol.mm3_SD,OlfactoryBulb_Vol.mm3,OlfactoryBulb_Vol.mm3_SD,OlfactoryCortices_Vol.mm3,OlfactoryCortices_Vol.mm3_SD,Septum_Vol.mm3,Septum_Vol.mm3_SD,Striatum_Vol.mm3,Striatum_Vol.mm3_SD,SubcorticalForebrain_N.n,SubcorticalForebrain_N.n_SD,Tectum_Vol.mm3,Tectum_Vol.mm3_SD,Tegmentum_Vol.mm3,Tegmentum_Vol.mm3_SD,Thalamus_Vol.mm3,Thalamus_Vol.mm3_SD,WholeBrainOlfactoryBulb_Mass.g,WholeBrainOlfactoryBulb_Mass.g_SD,WholeBrainOlfactoryBulb_N.n,WholeBrainOlfactoryBulb_N.n_SD,OlfactoryBulb_O.p.N_SD,Hippocampus_C.n,Hippocampus_Mass.g,Hippocampus_N.n,Hippocampus_N.p.mg,Hippocampus_O.n,Hippocampus_O.p.N,WholeBrain_O.p.N,CerebralCortexGrey_N.n,CerebralCortexGrey_N.p.mg,CerebralCortexGrey_O.p.N,MesencephalonDiencephalonStriatum_Mass.g,MesencephalonDiencephalonStriatum_N.n,MesencephalonDiencephalonStriatum_N.p.mg,MesencephalonDiencephalonStriatum_O.p.N,PonsMedulla_Mass.g,PonsMedulla_N.n,PonsMedulla_N.p.mg,PonsMedulla_O.p.N,DiencephalonStriatum_Mass.g,DiencephalonStriatum_N.n,DiencephalonStriatum_N.p.mg,DiencephalonStriatum_O.p.N,Mesencephalon_Mass.g,Mesencephalon_N.n,Mesencephalon_N.p.mg,Mesencephalon_O.p.N,PonsMedulla_I.p.C
Amblysomus hottentotus,79,42644000,0.084,34488379,3207000,409687,18667,8155621,813000,0.236,0.002,96849,5069,42886000,0.439,0.035,21516000,2154000,48932,1004,21370000,4614000,0.982,0.116,48146,6674,25905000,0.289,0.013,9070358,1069000,31616,5124,16834642,3276000,1.839,0.144,58880,13983,111705000,0.812,0.044,65074000,2124000,46631000,527000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Antidorcas marsupialis,25000,2724458750,11.458,2257214074,NA,196999,NA,467244676,NA,0.207,NA,40779,NA,4523155434,68.806,NA,396896159,NA,5768,NA,4126259275,NA,10.396,NA,59969,NA,1389765624,25.81,NA,70485000,NA,2731,NA,1319280624,NA,18.71,NA,51115,NA,8637379808,106.074,NA,2724595233,NA,5912784575,NA,0.0214865793068073,0.0604766228081355,0.0603145472355014,0.0569999998506161,1.2,15998400,13332,105201600,6.576,87668,0.0606648880530952,0.04708908919587,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Aotus trivirgatus,925,1185270000,1.732,1040000000,20000000,605080,90570,145270000,45030000,0.14,NA,82890,15580,1137320000,10.617,0.61,441900000,111310000,41990,12900,695420000,130000000,1.574,NA,65330,5950,362800000,3.104,NA,49340000,NA,15900,NA,313460000,NA,6.353,NA,100990,NA,2663540000,15.73,NA,1468410000,NA,1195130000,NA,NA,NA,0.0183102894248239,NA,0.05,7925468,155879,8360532,1.055,162922,NA,NA,35,15.73,1470,0.218,0.012,3114924,62241,3213106,44209,169.88,17.31,2.131,0.526,5.82,0.89,2911,971,91,14.81,44202,7980,0.18,11.93,0.39,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Bathyergus suillus,907.82,NA,NA,268890000,17470000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,43480000,5110000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,337480000,21440000,NA,NA,NA,NA,NA,NA,NA,23810000,NA,NA,NA,NA,NA,NA,320.93,NA,NA,NA,NA,2960000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,50,3,683,82,96,3,194,1,85,7,368,30,8670000,600000,1011,21,132,14,173,15,35,7,249,20,16420000,750000,69,6,156,18,173,15,3.78,0.14,361290000,24400000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Blarina brevicauda,16.2,37840000,0.037,33430000,5821000,919942,19721,4410000,1280000,0.132,NA,118736,25620,27696000,0.197,0.012,11876000,1569000,60214,4935,15820000,1158000,1.357,0.25,80729,8731,19660000,0.113,0.009,6340000,636200,55924,2130,13320000,1120000,2.102,0.096,117736,5840,88740000,0.347,NA,55190000,6126000,33550000,1222000,NA,NA,NA,NA,0.026,8090000,318164,4910000,0.607,193631,NA,NA,1.6,NA,NA,0.005,0.003,935900,34950,730000,31450,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.125,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Callimico goeldii,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1072460000,12.984,NA,357129180,NA,27505,NA,715330820,NA,2.003,NA,55093,NA,248440000,2.086,NA,53911480,NA,25844,NA,194528520,NA,3.608,NA,93254,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Callithrix jacchus,361,410860000,0.73,361370000,28530000,494970,25740,49490000,6770000,0.137,NA,68170,12210,640060000,5.561,0.443,244720000,81180000,44280,15900,395340000,58790000,1.615,NA,71800,14880,175630000,1.489,0.317,29720000,9350000,19650,2840,145910000,27830000,4.909,NA,98370,NA,1226540000,7.78,0.654,635800000,115730000,590740000,70810000,NA,NA,NA,NA,0.008,2108078,232309,2547922,1.209,269383,NA,NA,1.4,7.78,635.8,0.039,0.014,983420,137605,960104,105563,NA,NA,0.621,NA,3.65,NA,5875,NA,44.55,NA,71734,NA,0.18,7.39,0.57,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Canis lupus familiaris,19700,2525310000,7.512,1676630000,NA,223194,NA,848680000,NA,0.506,NA,NA,NA,3944370000,65.491,NA,527910000,NA,8061,NA,3416460000,NA,6.472,NA,NA,NA,976240000,13.459,NA,48150000,NA,3577,NA,928090000,NA,19.275,NA,NA,NA,7445920000,86.462,NA,2252690000,NA,5193230000,NA,0.0191000000989976,0.0795999998947842,0.0794999999683092,0.0780999991237678,NA,NA,NA,NA,NA,NA,0.105899999871958,0.0625,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,142660000,2.01,8610000,4282,134050000,15.575,2.305,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cardioderma cor,26,NA,103475.348622945,63792242,NA,616497,NA,NA,NA,NA,NA,NA,NA,NA,257039.682140522,NA,10221440,NA,39766,NA,NA,NA,NA,NA,NA,NA,NA,201212.912805565,NA,7317510,NA,36367,NA,NA,NA,NA,NA,NA,NA,NA,0.562,NA,81331192,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Casinycteris argynnis,27,NA,128000.061152779,77445413,NA,605042,NA,NA,NA,NA,NA,NA,NA,NA,462003.220682961,NA,10471765,NA,22666,NA,NA,NA,NA,NA,NA,NA,NA,302002.666594106,NA,11098900,NA,36751,NA,NA,NA,NA,NA,NA,NA,NA,0.892,NA,99016077,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
