Original_Term,Reference,Standardized_Term
Species,AvelinodeSouza_etal_2025_TABLE1,Species
"Whole brain_Mass, g",AvelinodeSouza_etal_2025_TABLE1,WholeBrain_Mass.g
"Cerebral cortex (including Hp + amygdala)_Mass, g",AvelinodeSouza_etal_2025_TABLE1,CerebralCortex_Mass.g
"Cerebral cortical grey matter_Mass, g",AvelinodeSouza_etal_2025_TABLE1,CerebralCortexGrey_Mass.g
"Cerebral cortical white matter_Mass, g",AvelinodeSouza_etal_2025_TABLE1,CerebralCortexWhite_Mass.g
"Cerebellum_Mass, g",AvelinodeSouza_etal_2025_TABLE1,Cerebellum_Mass.g
"Rest of brain (diencephalon+striatum, mesencephalon, pons and medulla)_Mass, g",AvelinodeSouza_etal_2025_TABLE1,RoB_Mass.g
"Amygdala_Mass, g",AvelinodeSouza_etal_2025_TABLE1,Amygdala_Mass.g
"Hippocampus_Mass, g",AvelinodeSouza_etal_2025_TABLE1,Hippocampus_Mass.g
"Diencephalon + Striatum_Mass, g",AvelinodeSouza_etal_2025_TABLE1,DiencephalonStriatum_Mass.g
"Mesencephalon_Mass, g",AvelinodeSouza_etal_2025_TABLE1,Mesencephalon_Mass.g
"Pons_Mass, g",AvelinodeSouza_etal_2025_TABLE1,Pons_Mass.g
"Medulla oblongata_Mass, g",AvelinodeSouza_etal_2025_TABLE1,Medulla_Mass.g
Whole brain_Neurons,AvelinodeSouza_etal_2025_TABLE1,WholeBrain_N.n
Cerebral cortex (including Hp + amygdala)_Neurons,AvelinodeSouza_etal_2025_TABLE1,CerebralCortex_N.n
Cerebral cortical grey matter_Neurons,AvelinodeSouza_etal_2025_TABLE1,CerebralCortexGrey_N.n
Cerebral cortical white matter_Neurons,AvelinodeSouza_etal_2025_TABLE1,CerebralCortexWhite_N.n
Cerebellum_Neurons,AvelinodeSouza_etal_2025_TABLE1,Cerebellum_N.n
"Rest of brain (diencephalon+striatum, mesencephalon, pons and medulla)_Neurons",AvelinodeSouza_etal_2025_TABLE1,RoB_N.n
Amygdala_Neurons,AvelinodeSouza_etal_2025_TABLE1,Amygdala_N.n
Hippocampus_Neurons,AvelinodeSouza_etal_2025_TABLE1,Hippocampus_N.n
Diencephalon + Striatum_Neurons,AvelinodeSouza_etal_2025_TABLE1,DiencephalonStriatum_N.n
Mesencephalon_Neurons,AvelinodeSouza_etal_2025_TABLE1,Mesencephalon_N.n
Pons_Neurons,AvelinodeSouza_etal_2025_TABLE1,Pons_N.n
Medulla oblongata_Neurons,AvelinodeSouza_etal_2025_TABLE1,Medulla_N.n
