Species_Common	Species_binomial	S_Cone_LambdaMax_nm	Melanopsin_LambdaMax_nm	Rhodopsin_LambdaMax_nm	M_Cone_LambdaMax_nm	L_Cone_LambdaMax_nm	Source
Mouse	Mus musculus	358	480	498	508	NA	McDowell_etal_2024_Table1
Four-striped grass mouse	Rhabdomys pumilio	360	476	493	501	NA	McDowell_etal_2024_Table1
Brown rat	Rattus norvegicus	358	481	498	509	NA	McDowell_etal_2024_Table1
Syrian hamster	Mesocricetus auratus	NA	479	502	504	NA	McDowell_etal_2024_Table1
Mongolian gerbil	Meriones unguiculatus	360	491	502	490	NA	McDowell_etal_2024_Table1
Cattle	Bos taurus	435	484	500	553	NA	McDowell_etal_2024_Table1
Sheep	Ovis aries	440	484	500	549	NA	McDowell_etal_2024_Table1
Horse	Equus ferus caballus	428	482	499	545	NA	McDowell_etal_2024_Table1
Cat	Felis catus	450	488	501	553	NA	McDowell_etal_2024_Table1
Dog	Canis lupus familiaris	428	488	506	554	NA	McDowell_etal_2024_Table1
Rabbit	Oryctolagus cuniculus	421	488	502	509	NA	McDowell_etal_2024_Table1
Crab-eating macaque	Macaca fascicularis	415	483	500	535	567	McDowell_etal_2024_Table1
Degu	Octodon degus	362	482	503	502	NA	McDowell_etal_2024_Table1
