donor,class,within_area_subclass,region,subclass_count,subclass_prop
H18.30.001,excitatory,L2/3 IT,M1,13586,0.399576483044616
H18.30.001,excitatory,L4 IT,M1,2553,0.0750860268815623
H18.30.001,excitatory,L5 ET,M1,686,0.0201758771800829
H18.30.001,excitatory,L5 IT,M1,5175,0.152201405841004
H18.30.001,excitatory,L5/6 NP,M1,1401,0.041204670450869
H18.30.001,excitatory,L6 CT,M1,2310,0.0679391782594629
H18.30.001,excitatory,L6 IT,M1,5761,0.169436193053145
H18.30.001,excitatory,L6 IT Car3,M1,1027,0.0302049939707655
H18.30.001,excitatory,L6b,M1,1502,0.0441751713184906
H18.30.001,inhibitory,Chandelier,M1,110,0.00860114160606771
H18.30.001,inhibitory,Lamp5,M1,1375,0.107514270075846
H18.30.001,inhibitory,Lamp5 Lhx6,M1,892,0.0697474392055672
H18.30.001,inhibitory,Pax6,M1,198,0.0154820548909218
H18.30.001,inhibitory,Pvalb,M1,4028,0.314958167174915
H18.30.001,inhibitory,Sncg,M1,298,0.0233012745328016
H18.30.001,inhibitory,Sst,M1,3461,0.270623191805457
H18.30.001,inhibitory,Sst Chodl,M1,38,0.0029713034639143
H18.30.001,inhibitory,Vip,M1,2389,0.186801157244507
H18.30.001,non-neuronal,Astro,M1,513,0.168196721311475
H18.30.001,non-neuronal,Endo,M1,23,0.00754098360655737
H18.30.001,non-neuronal,Micro/PVM,M1,38,0.0124590163934426
H18.30.001,non-neuronal,Oligo,M1,2258,0.740327868852459
H18.30.001,non-neuronal,OPC,M1,203,0.0665573770491803
H18.30.001,non-neuronal,VLMC,M1,15,0.00491803278688524
H18.30.002,excitatory,L2/3 IT,A1,14036,0.619417475728155
H18.30.002,excitatory,L2/3 IT,ACC,15653,0.547844043119137
H18.30.002,excitatory,L2/3 IT,DFC,9331,0.567027224112785
H18.30.002,excitatory,L2/3 IT,M1,15722,0.561841117821534
H18.30.002,excitatory,L2/3 IT,MTG,7369,0.494397853069439
H18.30.002,excitatory,L2/3 IT,S1,12901,0.521842892969824
H18.30.002,excitatory,L2/3 IT,V1,14743,0.463528893919386
H18.30.002,excitatory,L4 IT,A1,2895,0.127758164165931
H18.30.002,excitatory,L4 IT,ACC,929,0.0325143497130057
H18.30.002,excitatory,L4 IT,DFC,1372,0.0833738454059309
H18.30.002,excitatory,L4 IT,M1,1459,0.0521387985562663
H18.30.002,excitatory,L4 IT,MTG,2321,0.155719557195571
H18.30.002,excitatory,L4 IT,S1,3264,0.132028153062049
H18.30.002,excitatory,L4 IT,V1,9484,0.298182732817707
H18.30.002,excitatory,L5 ET,A1,100,0.00441306266548985
H18.30.002,excitatory,L5 ET,ACC,908,0.0317793644127117
H18.30.002,excitatory,L5 ET,DFC,198,0.0120320855614973
H18.30.002,excitatory,L5 ET,M1,681,0.0243362041239323
H18.30.002,excitatory,L5 ET,MTG,82,0.00550150956055015
H18.30.002,excitatory,L5 ET,S1,144,0.00582477145861985
H18.30.002,excitatory,L5 ET,V1,26,0.00081745582594479
H18.30.002,excitatory,L5 IT,A1,2850,0.12577228596646
H18.30.002,excitatory,L5 IT,ACC,4472,0.156516869662606
H18.30.002,excitatory,L5 IT,DFC,2595,0.15769324258629
H18.30.002,excitatory,L5 IT,M1,3476,0.124218275381481
H18.30.002,excitatory,L5 IT,MTG,2685,0.180140892318014
H18.30.002,excitatory,L5 IT,S1,3688,0.149178869023541
H18.30.002,excitatory,L5 IT,V1,3191,0.100326982330377
H18.30.002,excitatory,L5/6 NP,A1,295,0.013018534863195
H18.30.002,excitatory,L5/6 NP,ACC,799,0.0279644407111857
H18.30.002,excitatory,L5/6 NP,DFC,366,0.0222411278561011
H18.30.002,excitatory,L5/6 NP,M1,780,0.0278740663974556
H18.30.002,excitatory,L5/6 NP,MTG,315,0.0211338477021133
H18.30.002,excitatory,L5/6 NP,S1,504,0.0203867001051694
H18.30.002,excitatory,L5/6 NP,V1,197,0.00619379991196629
H18.30.002,excitatory,L6 CT,A1,626,0.0276257722859664
H18.30.002,excitatory,L6 CT,ACC,1727,0.0604437911241775
H18.30.002,excitatory,L6 CT,DFC,576,0.0350024307243558
H18.30.002,excitatory,L6 CT,M1,1391,0.0497087517421291
H18.30.002,excitatory,L6 CT,MTG,383,0.0256960751425696
H18.30.002,excitatory,L6 CT,S1,1114,0.0450610792007119
H18.30.002,excitatory,L6 CT,V1,1518,0.0477268439916996
H18.30.002,excitatory,L6 IT,A1,998,0.0440423654015887
H18.30.002,excitatory,L6 IT,ACC,2645,0.0925731485370292
H18.30.002,excitatory,L6 IT,DFC,1163,0.0706733106465726
H18.30.002,excitatory,L6 IT,M1,3142,0.11228245720616
H18.30.002,excitatory,L6 IT,MTG,996,0.0668232136866823
H18.30.002,excitatory,L6 IT,S1,1739,0.0703422053231939
H18.30.002,excitatory,L6 IT,V1,1438,0.0452115952964849
H18.30.002,excitatory,L6 IT Car3,A1,610,0.026919682259488
H18.30.002,excitatory,L6 IT Car3,ACC,388,0.0135797284054318
H18.30.002,excitatory,L6 IT Car3,DFC,368,0.022362664073894
H18.30.002,excitatory,L6 IT Car3,M1,592,0.0211557016760175
H18.30.002,excitatory,L6 IT Car3,MTG,456,0.0305937604830593
H18.30.002,excitatory,L6 IT Car3,S1,566,0.0228945878165197
H18.30.002,excitatory,L6 IT Car3,V1,750,0.0235804565176381
H18.30.002,excitatory,L6b,A1,250,0.0110326566637246
H18.30.002,excitatory,L6b,ACC,1051,0.0367842643147137
H18.30.002,excitatory,L6b,DFC,487,0.0295940690325717
H18.30.002,excitatory,L6b,M1,740,0.0264446270950219
H18.30.002,excitatory,L6b,MTG,298,0.0199932908419993
H18.30.002,excitatory,L6b,S1,802,0.0324407410403689
H18.30.002,excitatory,L6b,V1,459,0.0144312393887945
H18.30.002,inhibitory,Chandelier,A1,232,0.0202125805889527
H18.30.002,inhibitory,Chandelier,ACC,244,0.0166780587833219
H18.30.002,inhibitory,Chandelier,DFC,293,0.0328733310894199
H18.30.002,inhibitory,Chandelier,M1,188,0.0186009696250123
H18.30.002,inhibitory,Chandelier,MTG,64,0.010359339592101
