donor,Area,Metric,Grouping,value
H19.30.002,V1,exc_prop,L6 IT,14.072960124187444
H19.30.002,V1,exc_prop,L6 IT Car3,4.758901717279518
H19.30.002,V1,exc_prop,L6b,4.875327447365868
H19.30.002,MTG,inh_prop,Chandelier,3.073632064850259
H19.30.002,MTG,inh_prop,Lamp5,11.607746003152442
H19.30.002,MTG,inh_prop,Pax6,1.9477595136230579
H19.30.002,MTG,inh_prop,Pvalb,17.96892591758613
H19.30.002,MTG,inh_prop,Sncg,3.6140508894393153
H19.30.002,MTG,inh_prop,Sst,35.20603467687457
H19.30.002,MTG,inh_prop,Sst Chodl,2.2855212789912183
H19.30.002,MTG,inh_prop,Lamp5-Lhx6,7.757261877955416
H19.30.002,MTG,inh_prop,Vip,16.539067777527585
H19.30.002,V1,inh_prop,Chandelier,4.2138739813158415
H19.30.002,V1,inh_prop,Lamp5,9.024050884516
H19.30.002,V1,inh_prop,Pax6,0.33790498906777977
H19.30.002,V1,inh_prop,Pvalb,33.87000596302922
H19.30.002,V1,inh_prop,Sncg,1.113098787517392
H19.30.002,V1,inh_prop,Sst,27.39018087855297
H19.30.002,V1,inh_prop,Sst Chodl,0.6956867421983701
H19.30.002,V1,inh_prop,Lamp5-Lhx6,5.505863645398529
H19.30.002,V1,inh_prop,Vip,17.849334128403896
H19.30.002,MTG,nn_prop,Astro,24.96148315529992
H19.30.002,MTG,nn_prop,Endo,11.745069843878388
H19.30.002,MTG,nn_prop,OPC,12.692584223500411
H19.30.002,MTG,nn_prop,Oligo,34.9373459326212
H19.30.002,MTG,nn_prop,Micro/PVM,11.770747740345112
H19.30.002,MTG,nn_prop,VLMC,3.8927691043549713
H19.30.002,V1,nn_prop,Astro,20.659095385019366
H19.30.002,V1,nn_prop,Endo,11.51447515262916
H19.30.002,V1,nn_prop,OPC,6.046084159390796
H19.30.002,V1,nn_prop,Oligo,49.894964878881375
H19.30.002,V1,nn_prop,Micro/PVM,5.383049957329482
H19.30.002,V1,nn_prop,VLMC,6.50233046674982
H19.30.002,MTG,lamp5lhx6_layer_prop,L1,0.796812749003984
H19.30.002,MTG,lamp5lhx6_layer_prop,L2/3,14.940239043824702
H19.30.002,MTG,lamp5lhx6_layer_prop,L4,9.760956175298805
H19.30.002,MTG,lamp5lhx6_layer_prop,L5,31.07569721115538
H19.30.002,MTG,lamp5lhx6_layer_prop,L6,43.42629482071713
H20.30.002,MTG,ei_ratio,L1,0.11171602787456447
H20.30.002,MTG,ei_ratio,L2/3,2.350245873997755
H20.30.002,MTG,ei_ratio,L4,3.895069335154557
H20.30.002,MTG,ei_ratio,L5,5.446074646074646
H20.30.002,MTG,ei_ratio,L6,9.670303808301242
H20.30.002,V1,ei_ratio,L1,0.5407424319296465
H20.30.002,V1,ei_ratio,L2/3,3.8053329109742235
H20.30.002,V1,ei_ratio,L4,3.7985276029899446
H20.30.002,V1,ei_ratio,L5,6.861692548431972
H20.30.002,V1,ei_ratio,L6,12.44007712950006
H20.30.002,MTG,exc_prop,L2/3 IT,37.426035502958584
H20.30.002,MTG,exc_prop,L4 IT,15.705128205128204
H20.30.002,MTG,exc_prop,L5 ET,1.183431952662722
H20.30.002,MTG,exc_prop,L5 IT,16.551610782380013
H20.30.002,MTG,exc_prop,L5/6 NP,1.9559500328731099
H20.30.002,MTG,exc_prop,L6 CT,4.4543063773833005
H20.30.002,MTG,exc_prop,L6 IT,13.46975673898751
H20.30.002,MTG,exc_prop,L6 IT Car3,3.3612754766600923
H20.30.002,MTG,exc_prop,L6b,5.89250493096647
H20.30.002,V1,exc_prop,L2/3 IT,33.196690765446824
H20.30.002,V1,exc_prop,L4 IT,39.36796601326675
H20.30.002,V1,exc_prop,L5 ET,0.3279421629276291
H20.30.002,V1,exc_prop,L5 IT,9.072445405083103
H20.30.002,V1,exc_prop,L5/6 NP,0.5962584780502348
H20.30.002,V1,exc_prop,L6 CT,7.360065588432585
H20.30.002,V1,exc_prop,L6 IT,4.326600581352016
H20.30.002,V1,exc_prop,L6 IT Car3,3.3017813222031753
H20.30.002,V1,exc_prop,L6b,2.4502496832376837
H20.30.002,MTG,inh_prop,Chandelier,2.664103268332876
H20.30.002,MTG,inh_prop,Lamp5,9.640208733864323
H20.30.002,MTG,inh_prop,Pax6,1.3457841252403187
