component,volume_mm3,percent_total_brain,progression_index
N,107504.73,67.98,3903
Rh,3596.59,2.27,123
S,332.9,0.21,132
D,9898.12,6.25,719
St,5743.82,3.64,739
H,1161.1,0.73,99
M,3564.35,2.25,432
C,20193.24,12.77,671
O,6171.96,3.9,325
