"component","volume_mm3","percent_total_brain","progression_index","source"
"N",107504.73,67.98,3903,"Kamiya_Pirlot_1980_TABLE1"
"Rh",3596.59,2.27,123,"Kamiya_Pirlot_1980_TABLE1"
"S",332.9,0.21,132,"Kamiya_Pirlot_1980_TABLE1"
"D",9898.12,6.25,719,"Kamiya_Pirlot_1980_TABLE1"
"St",5743.82,3.64,739,"Kamiya_Pirlot_1980_TABLE1"
"H",1161.1,0.73,99,"Kamiya_Pirlot_1980_TABLE1"
"M",3564.35,2.25,432,"Kamiya_Pirlot_1980_TABLE1"
"C",20193.24,12.77,671,"Kamiya_Pirlot_1980_TABLE1"
"O",6171.96,3.9,325,"Kamiya_Pirlot_1980_TABLE1"
