"species_row","source_pdf_page","species_printed","BoW_g","BrW_mg","OBL","MES","CER","DIE","TEL","MOB","PAL_AMY","SEP","STR","HIP","SCH","NEO"
1,166,"Penthetor lucasi (PTN)","35","980","89.29","55.13","106.24","96.22","583.60","39.90","85.16","9.92","49.08","76.05","33.86","289.63"
2,166,"Lonchorhina aurita (PHN)","18","377","57.82","35.87","80.71","29.89","156.24","3.34","21.88","3.24","16.59","20.32","9.59","81.28"
3,166,"Ardops annectans (STE)","15","610","59.88","49.88","79.96","47.82","336.85","18.48","58.55","9.79","35.55","37.20","13.93","163.35"
4,166,"Ametrida centurio (STE)","10.5","290","40.00","16.97","50.00","23.94","147.87","6.91","20.93","2.88","12.00","17.41","8.93","78.81"
5,166,"Diaemus youngi (DES)","37","1090","104.17","80.38","166.38","85.80","599.90","27.45","81.33","10.24","60.31","41.44","21.72","357.41"
6,166,"Thyroptera tricolor (THY)","4.5","230","26.84","25.37","39.40","14.93","112.76","1.88","15.21","2.37","13.38","20.47","8.54","50.91"
