"species_printed","is_header","source_pdf_page","n","OBL","MES","CER","DIE","TEL","species_row"
"    Nycteris grandis","","58","4","80.3","72.8","139.0","53.2","328.8","81"
"    Nycteris hispida","","58","1","30.5","30.1","55.2","20.8","133.7","82"
"    Nycteris javanica","","58","1","55.5","54.1","90.2","36.3","211.2","83"
"    Nycteris macrotis","","58","3","47.7","38.5","70.9","30.5","180.2","84"
"    Nycteris nana","","58","3","27.8","24.9","47.9","17.9","107.7","85"
"    Nycteris thebaica","","58","3","39.6","32.8","58.0","24.6","152.6","86"
"    Nycteris tragata","","58","2","51.1","45.1","96.2","33.6","208.1","87"
"MEGADERMATIDAE","TRUE","58","","","","","","","88"
"    Megaderma lyra","","58","6","105.3","80.5","162.5","73.0","434.9","89"
"    Megaderma spasma","","58","3","66.7","61.9","117.8","47.7","313.5","90"
"    Macroderma gigas","","58","3","186.7","144.5","301.4","137.8","833.0","91"
"    Cardioderma cor","","58","3","71.5","66.6","111.7","54.6","326.6","92"
"    Lavia frons","","58","2","67.7","66.0","138.8","50.3","288.6","93"
"RHINOLOPHIDAE","TRUE","58","","","","","","","94"
"    Rhinolophus cornutus","","58","2","23.8","18.0","40.5","14.1","87.0","95"
"    Rhinolophus eloquens","","58","2","50.0","36.1","80.6","29.9","185.6","96"
"    Rhinolophus hipposideros","","58","2","23.0","15.2","30.4","12.4","59.4","97"
"    Rhinolophus landeri","","58","3","35.3","27.9","56.3","21.1","121.9","98"
"    Rhinolophus lepidus","","58","3","25.3","19.1","32.0","14.1","84.3","99"
"    Rhinolophus luctus","","58","3","67.5","56.5","141.6","46.4","271.5","100"
"    Rhinolophus macrotis","","58","2","28.6","20.2","42.4","14.9","89.9","101"
"    Rhinolophus malayanus","","58","2","27.3","20.4","40.2","14.7","88.2","102"
"    Rhinolophus megaphyllus","","58","2","32.0","24.1","52.4","17.9","120.8","103"
"    Rhinolophus megaphyllus ssp.","","58","3","28.2","22.1","43.4","18.4","105.6","104"
"    Rhinolophus paradoxolophus","","58","1","34.4","25.1","53.1","18.5","119.0","105"
"    Rhinolophus pearsoni","","58","1","38.9","29.8","63.9","25.5","155.6","106"
