"species_printed","is_header","source_pdf_page","TR","TSO","FUN","FGR","FCM","FCE","species_row"
"    Noctilio leporinus","","76","11.595","1.932","2.839","0.869","1.281","0.689","79"
"MORMOOPIDAE","TRUE","76","","","","","","","80"
"    Pteronotus gymnonotus","","76","5.973","0.721","1.012","0.182","0.579","0.251","81"
"    Pteronotus parnelli","","76","8.663","0.856","1.281","0.210","0.768","0.304","82"
"    Mormoops megalophylla","","76","5.088","0.680","0.743","0.112","0.441","0.191","83"
"PHYLLOSTOMIDAE","TRUE","76","","","","","","","84"
"  PHYLLOSTOMINAE","TRUE","76","","","","","","","85"
"    Micronycteris megalotis","","76","3.658","0.481","0.652","0.121","0.369","0.163","86"
"    Micronycteris brachyotis","","76","4.667","0.676","0.904","0.190","0.464","0.251","87"
"    Macrophyllum macrophyllum","","76","4.168","0.586","0.870","0.204","0.447","0.220","88"
"    Tonatia bidens","","76","6.861","0.926","1.436","0.253","0.827","0.356","89"
"    Mimon crenulatum","","76","4.501","0.473","0.758","0.165","0.404","0.190","90"
"    Phyllostomus discolor","","76","10.977","1.628","2.652","0.597","1.395","0.661","91"
"    Phyllostomus hastatus","","76","15.814","2.363","3.765","0.764","2.018","0.984","92"
"    Phylloderma stenops","","76","11.679","1.501","2.659","0.532","1.633","0.494","93"
"    Trachops cirrhosus","","76","12.046","1.480","2.051","0.409","1.119","0.522","94"
"    Vampyrum spectrum","","76","22.347","3.311","5.501","0.892","3.269","1.340","95"
"  GLOSSOPHAGINAE","TRUE","76","","","","","","","96"
"    Glossophaga soricina","","76","4.042","0.658","0.824","0.148","0.533","0.143","97"
"    Leptonycteris curasoae","","76","7.072","0.825","1.554","0.335","0.907","0.312","98"
"    Lionycteris spurrelli","","76","3.854","0.602","0.826","0.168","0.470","0.187","99"
"    Anoura geoffroyi","","76","5.320","0.740","1.507","0.291","0.906","0.310","100"
"  CAROLLIINAE","TRUE","76","","","","","","","101"
"    Carollia perspicillata","","76","6.231","0.842","1.254","0.230","0.667","0.356","102"
"    RhinophyUa pumilio","","76","3.960","0.568","0.660","0.103","0.391","0.166","103"
"  STURNIRINAE","TRUE","76","","","","","","","104"
"    Sturn ira /ilium","","76","5.548","0.945","1.128","0.246","0.672","0.211","105"
"  STENODERMINAE","TRUE","76","","","","","","","106"
"    Uroderma bilobatum","","76","5.155","0.799","1.208","0.267","0.710","0.231","107"
"    Vampyrops vittatus","","76","10.646","1.517","2.181","0.405","1.257","0.520","108"
"    Chiroderma villosum","","76","5.501","1.059","1.573","0.270","0.918","0.385","109"
"    Artibeus cinereus","","76","3.978","0.551","0.898","0.195","0.510","0.193","110"
"    Artibeus lituratus","","76","8.885","1.495","2.133","0.482","1.177","0.474","111"
"  BRACHYPHYLLINAE","TRUE","76","","","","","","","112"
"    Brachyphylla cavernarum","","76","11.632","1.787","2.513","0.527","1.474","0.512","113"
"DESMODONTIDAE","TRUE","77","","","","","","","114"
"    Desmodus rotundus","","77","6.901","1.076","1.887","0.335","1.065","0.487","115"
"    Diphylla ecaudata","","77","6.138","0.974","1.596","0.293","0.929","0.375","116"
"NATALIDAE","TRUE","77","","","","","","","117"
"    Natalus tumidirostris","","77","2.715","0.447","0.506","0.118","0.274","0.115","118"
"FURIPTERIDAE","TRUE","77","","","","","","","119"
"    Furipterus horrens","","77","1.563","0.241","0.266","0.068","0.134","0.065","120"
"VESPERTILIONIDAE","TRUE","77","","","","","","","121"
"  VESPERTILIONINAE","TRUE","77","","","","","","","122"
"    Myotis albescens","","77","1.881","0.291","0.397","0.064","0.198","0.135","123"
"    Myotis annectans","","77","3.151","0.458","0.658","0.093","0.367","0.198","124"
"    Myotis dasycneme","","77","4.042","0.880","1.041","0.137","0.658","0.246","125"
"    Myotis myotis","","77","6.755","1.000","1.258","0.209","0.744","0.306","126"
"    Myotis siligorensis","","77","1.633","0.251","0.313","0.049","0.192","0.072","127"
"    Pipistrellus ceylonicus","","77","2.790","0.437","0.552","0.081","0.315","0.156","128"
"    Pipistrellus crassulus","","77","1.776","0.305","0.372","0.056","0.206","0.109","129"
"    Pipistrellus javanicus","","77","1.819","0.287","0.280","0.036","0.159","0.086","130"
