"species_row","Species_Baron1996","n","medulla_oblongata_mm3","mesencephalon_mm3","cerebellum_mm3","diencephalon_mm3","telencephalon_mm3","source_pdf_page"
82,"Rhinolophus cornutus",2,23.8,18,40.5,14.1,87,58
83,"Rhinolophus eloquens",2,50,36.1,80.6,29.9,185.6,58
84,"Rhinolophus hipposideros",2,23,15.2,30.4,12.4,59.4,58
85,"Rhinolophus landeri",3,35.3,27.9,56.3,21.1,121.9,58
86,"Rhinolophus lepidus",3,25.3,19.1,32,14.1,84.3,58
87,"Rhinolophus luctus",3,67.5,56.5,141.6,46.4,271.5,58
88,"Rhinolophus macrotis",2,28.6,20.2,42.4,14.9,89.9,58
89,"Rhinolophus malayanus",2,27.3,20.4,40.2,14.7,88.2,58
90,"Rhinolophus megaphyllus",2,32,24.1,52.4,17.9,120.8,58
91,"Rhinolophus megaphyllus ssp.",3,28.2,22.1,43.4,18.4,105.6,58
92,"Rhinolophus paradoxolophus",1,34.4,25.1,53.1,18.5,119,58
93,"Rhinolophus pearsoni",1,38.9,29.8,63.9,25.5,155.6,58
94,"Rhinolophus pusillus",3,21.7,16,29.9,12.4,75.1,58
95,"Rhinolophus trifoliatus",3,42.8,38.7,70,28.1,151.1,58
96,"Rhinolophus yunanensis",2,51.5,41.1,80.3,32.8,207.3,58
97,"Hipposideros armiger",3,105.8,77.7,142.2,56.1,369.2,58
98,"Hipposideros ater",2,28.5,23.4,41,15.6,93.5,58
99,"Hipposideros ater aruensis",2,26.5,22.5,33.2,14.7,82.4,58
100,"Hipposideros ater saevus",3,22.9,18.6,35.3,12.3,80.2,58
101,"Hipposideros caffer",3,39.1,30,64.2,21.2,135.6,58
102,"H. calcaratus calcaratus §)",3,47.9,37.2,78.6,29.6,186,58
103,"H. calcaratus cupidus §)",3,36.2,30.9,66.8,23,159.6,58
104,"Hipposideros cervinus",3,29,22.3,42,15.5,92.6,58
105,"Hipposideros commersoni",3,86.5,58.7,128.4,54.2,374.8,58
106,"Hipposideros diadema",4,87.7,69.2,123.8,53.4,335.1,58
107,"Hipposideros fulvus",2,33.8,25.2,41.7,17.8,104,58
108,"Hipposideros halophyllus",2,24.5,16.9,28.3,10.5,62.2,59
109,"Hipposideros lankadiva",3,93,62.9,127.3,53.4,345.5,59
110,"Hipposideros larvatus",3,50.5,40.7,69.7,30.9,198,59
111,"Hipposideros lekaguli",2,74,53.5,121.9,38.8,257.7,59
112,"H. magg. maggietaylorae §)",1,69.1,48.7,119.4,44.4,316.6,59
113,"H. maggietaylorae erroris §)",3,54.9,40.2,86.7,33.1,208.4,59
114,"Hipposideros ridleyi",3,36.2,28.4,47.1,21.1,120.3,59
115,"Hipposideros speoris",2,41.7,28.7,50.7,20.4,126.5,59
116,"Hipposideros turpis",3,73.3,57.3,110,42.6,278.9,59
117,"Aselliscus stoliczkanus",3,22.7,14.2,34.3,9.8,59.1,59
118,"Aselliscus tricuspidatus",3,19.7,14,23.1,9.8,59.1,59
119,"Rhinonycteris aurantius",3,31.1,25.3,50.2,17.7,110,59
120,"Triaenops persicus",3,38.7,26,66.1,17.8,108.7,59
121,"Noctilio albiventris",3,66,49,96.9,46.2,303.9,59
122,"Noctilio leporinus",3,124.4,89.8,194.1,88.5,608.6,59
123,"Pteronotus gymnonotus",3,44.5,25.7,70.4,22.9,159.6,59
124,"Pteronotus personatus",3,28.7,18.9,45.3,15.6,107.5,59
125,"Pteronotus parnelli",3,62.7,40.9,113,37.4,259.9,59
126,"Mormoops megalophylla",3,46,30.8,105.7,24.4,158.4,59
127,"Micronycteris megalotis",3,31.1,23.4,49.4,19.8,135,59
128,"Micronycteris minuta",1,28.4,20.7,54.8,18,148,59
129,"Micronycteris schmidtorum",3,30.1,23.1,57.5,21.1,158.3,59
130,"Micronycteris brachyotis",1,44,28.6,76.3,27.8,206.7,59
131,"Macrophyllum macrophyllum",3,38.9,28.6,55.1,24.2,154.6,59
132,"Tonatia bidens",3,78.8,63.3,133.6,53.7,415.7,59
133,"Tonatia schulzi",1,59.5,51.3,84.2,37,243.3,59
134,"Tonatia sylvicola",1,86.1,61.9,126.1,55.3,384,59
135,"Mimon crenulatum",2,35.4,30.2,53.7,26,162.1,59
136,"Phyllostomus discolor",3,91.2,63.4,170.4,82.4,623.6,59
137,"Phyllostomus elongatus",3,91.9,64,171.1,64.6,440,59
138,"Phyllostomus hastatus",3,140.2,95.7,281.3,111,810.4,59
139,"Phylloderma stenops",2,98.8,71.1,204.1,89.7,804,59
140,"Trachops cirrhosus",2,97.4,81.6,181.3,67.4,521.4,59
141,"Vampyrum spectrum",2,233.5,154.9,532.7,196.7,1331.6,59
142,"Glossophaga longirostris",1,42.1,27.8,92.4,31.8,220.3,60
143,"Glossophaga soricina",3,37.9,25.8,81.6,28.5,201.1,60
144,"Monophyllus plethodon",2,45.2,28.5,89,31.7,222.9,60
145,"Leptonycteris curasoae",1,62.2,35.2,119.4,44,315,60
146,"Leptonycteris nivalis",3,56,35.9,104.4,43.3,310.5,60
147,"Lonchophylla mordax",1,45.3,31.2,79.2,32.9,221.4,60
148,"Lonchophylla thomasi",1,31.2,21.5,61.6,23.6,178.4,60
149,"Lionycteris spurrelli",3,35,24.7,70.6,23.7,180.8,60
