"species_row","source_pdf_page","species_printed","AUD","CON","DCO","VCO","OLS"
117,113,"Glauconycteris humeralis","3.325","1.484","0.278","1.206","1.841"
118,113,"Chalinolobus gouldi","4.520","1.974","0.344","1.630","2.546"
119,113,"Scotorepens sanborni","2.770","1.188","0.187","1.000","1.582"
120,113,"Rhogeessa parvula","1.787","0.779","0.138","0.641","1.008"
121,113,"Scotomanes ornatus","8.017","3.462","0.589","2.873","4.555"
122,113,"Scotomanes sp.?","6.361","2.850","0.515","2.335","3.512"
123,113,"Scotophilus dinganii","7.582","3.095","0.480","2.615","4.486"
124,113,"Scotophilus heathi","8.809","3.668","0.584","3.084","5.141"
125,113,"Lasiurus borealis","3.049","1.263","0.180","1.083","1.785"
126,113,"Miniopterus australis","3.541","1.536","0.251","1.285","2.005"
127,113,"Miniopterus magnater","5.985","2.431","0.355","2.077","3.554"
128,113,"Miniopterus medius","4.765","2.132","0.349","1.783","2.633"
129,113,"Miniopterus tristis","5.654","2.255","0.323","1.932","3.399"
130,114,"Murina cyclotis cyclotis","3.759","1.769","0.371","1.399","1.990"
131,114,"Murina c. peninsularis","4.282","1.957","0.383","1.574","2.325"
132,114,"Murina huttoni rubella","4.331","1.995","0.409","1.586","2.336"
133,114,"Murina tubinaris","2.829","1.281","0.260","1.021","1.548"
134,114,"Harpiocephalus harpia","5.115","2.454","0.500","1.954","2.661"
135,114,"Kerivoula papillosa","5.975","2.135","0.162","1.973","3.840"
136,114,"Kerivoula pellucida","4.122","1.779","0.143","1.637","2.343"
137,114,"Kerivoula phalaena","3.315","1.391","0.098","1.293","1.925"
138,114,"Phoniscus atrox","3.569","1.448","0.094","1.354","2.121"
139,114,"Nyctophilus geoffroyi","3.017","1.505","0.493","1.011","1.512"
140,114,"Nyctophilus timoriensis","4.640","2.305","0.712","1.593","2.336"
141,114,"Tadarida condylura","6.200","3.160","0.596","2.564","3.040"
142,114,"Tadarida beccarii","4.121","2.305","0.467","1.839","1.816"
143,114,"Tadarida jobensis","5.261","2.610","0.421","2.189","2.651"
144,114,"Tadarida pumila","4.188","2.195","0.444","1.750","1.993"
145,114,"Otomops martiensseni","11.406","5.548","1.256","4.292","5.858"
146,114,"Molossops abrasus","7.193","3.566","0.744","2.822","3.627"
147,114,"Molossops planirostris","3.564","1.712","0.315","1.397","1.851"
148,114,"Molossus ater","8.625","4.504","0.834","3.669","4.121"
149,114,"Molossus molossus","5.507","2.682","0.506","2.175","2.825"
150,114,"Cheiromeles torquatus","13.203","6.423","1.372","5.052","6.780"
