"species_row","Species_Baron1996","trigeminal_sensory_complex_mm3","nucleus_tractus_solitarii_mm3","funicular_nuclei_mm3","nucleus_fascicularis_gracilis_mm3","nucleus_fascicularis_cuneatus_medialis_mm3","nucleus_fascicularis_cuneatus_externus_mm3","source_pdf_page"
88,"Chiroderma villosum",5.501,1.059,1.573,0.27,0.918,0.385,76
89,"Artibeus cinereus",3.978,0.551,0.898,0.195,0.51,0.193,76
90,"Artibeus lituratus",8.885,1.495,2.133,0.482,1.177,0.474,76
91,"Brachyphylla cavernarum",11.632,1.787,2.513,0.527,1.474,0.512,76
92,"Desmodus rotundus",6.901,1.076,1.887,0.335,1.065,0.487,77
93,"Diphylla ecaudata",6.138,0.974,1.596,0.293,0.929,0.375,77
94,"Natalus tumidirostris",2.715,0.447,0.506,0.118,0.274,0.115,77
95,"Furipterus horrens",1.563,0.241,0.266,0.068,0.134,0.065,77
96,"Myotis albescens",1.881,0.291,0.397,0.064,0.198,0.135,77
97,"Myotis annectans",3.151,0.458,0.658,0.093,0.367,0.198,77
98,"Myotis dasycneme",4.042,0.88,1.041,0.137,0.658,0.246,77
99,"Myotis myotis",6.755,1,1.258,0.209,0.744,0.306,77
100,"Myotis siligorensis",1.633,0.251,0.313,0.049,0.192,0.072,77
101,"Pipistrellus ceylonicus",2.79,0.437,0.552,0.081,0.315,0.156,77
102,"Pipistrellus crassulus",1.776,0.305,0.372,0.056,0.206,0.109,77
103,"Pipistrellus javanicus",1.819,0.287,0.28,0.036,0.159,0.086,77
104,"Pipistrellus mimus",1.594,0.251,0.31,0.043,0.169,0.098,77
105,"Scotozous dormeri",2.783,0.442,0.543,0.115,0.295,0.133,77
106,"Nyctalus noctula",5.927,0.983,1.224,0.168,0.637,0.419,77
107,"Glischropus tylopus",1.609,0.292,0.318,0.045,0.166,0.107,77
108,"Eptesicus brasiliensis",2.763,0.469,0.527,0.1,0.277,0.149,77
109,"Eptesicus br. melanopterus",3.336,0.499,0.609,0.124,0.288,0.197,77
