species_printed,source_pdf_page,n,AOB_volume_mm3
Pteronotus gymnonotus,156,3,0.126
Pteronotus personatus,156,3,0.000
Pteronotus parnelli,156,3,0.120
Mormoops megalophylla,156,3,0.000
Micronycteris megalotis,156,3,0.058
Micronycteris minuta,156,1,0.027
Micronycteris schmidtorum,156,3,0.075
Micronycteris brachyotis,156,1,0.086
Macrophyllum macrophyllum,156,3,0.081
Tonatia bidens,156,3,0.201
Tonatia schulzi,156,1,0.140
Tonatia sylvicola,156,1,0.211
Mimon crenulatum,156,2,0.182
Phyllostomus discolor,156,3,0.616
Phyllostomus elongatus,156,3,0.291
Phyllostomus hastatus,156,3,0.312
Phylloderma stenops,156,2,0.384
Trachops cirrhosus,156,2,0.269
Vampyrum spectrum,156,2,0.089
Glossophaga longirostris,156,1,0.301
Glossophaga soricina,156,3,0.280
Monophyllus plethodon,156,2,0.141
Leptonycteris curasoae,156,1,0.360
Leptonycteris nivalis,156,3,0.316
Lonchophylla mordax,156,1,0.168
Lonchophylla thomasi,156,1,0.152
Lionycteris spurrelli,156,3,0.087
Anoura caudifer,156,3,0.186
Anoura geoffroyi,156,3,0.504
Choeroniscus minor,156,1,0.000
Carollia castanea,157,5,0.146
Carollia perspicillata,157,3,0.241
Rhinophylla pumilio,157,3,0.000
Sturnira lilium,157,3,0.188
Sturnira ludovici,157,2,0.135
Sturnira tildae,157,3,0.138
Uroderma bilobatum,157,3,0.213
Vampyrops brachycephalus,157,2,0.164
Vampyrops helleri,157,3,0.124
Vampyrops infuscus,157,1,0.330
Vampyrops lineatus,157,3,0.197
Vampyrops vittatus,157,2,0.231
Vampyrodes caraccioloi,157,1,0.295
Vampyressa pusilla,157,2,0.155
Chiroderma salvini,157,4,0.181
Chiroderma trinitatum,157,2,0.145
Chiroderma villosum,157,3,0.128
Chiroderma villosum ssp.,157,1,0.119
Ectophylla macconnelli,157,2,0.112
Artibeus cinereus,157,3,0.183
Artibeus concolor,157,2,0.094
Artibeus jamaicensis,157,3,0.308
Artibeus lituratus,157,4,0.375
Enchisthenes harti,157,4,0.309
Ardops nichollsi,157,3,0.222
Sphaeronycteris toxophyllum,157,1,0.021
Brachyphylla cavernarum,157,3,0.000
Desmodus rotundus,157,3,0.355
Diphylla ecaudata,157,4,0.111
Miniopterus australis,158,2,0.034
Miniopterus haradei,158,3,0.057
Miniopterus inflatus,158,3,0.087
Miniopterus magnater,158,3,0.104
Miniopterus medius,158,3,0.078
Miniopterus pusillus,158,3,0.059
M. schreibersi arenarius,158,3,0.068
Miniopterus s. blepotis,158,2,0.091
Miniopterus tristis,158,3,0.074
