"species_printed","is_header","source_pdf_page","MOB","PAL","STR","SEP","AMY","HIP","SCH","NEO","species_row"
"    Hipposideros ridleyi","","141","4.70","9.53","15.2","3.32","10.4","18.7","8.05","50.3","129"
"    Hipposideros speoris","","141","5.30","9.33","14.8","3.39","11.9","16.8","7.24","57.6","130"
"    Hipposideros turpis","","141","10.4","20.9","31.1","6.85","21.9","41.2","17.7","128.9","131"
"    Aselliscus stoliczkanus","","141","1.68","4.39","6.87","1.67","5.07","12.7","4.23","22.5","132"
"    Aselliscus tricuspidatus","","141","2.07","4.80","7.91","1.74","5.52","10.5","4.41","22.2","133"
"    Rhinonycteris aurantius","","141","3.87","7.70","12.7","3.15","8.73","19.2","7.31","47.3","134"
"    Triaenops persicus","","141","5.22","7.30","11.7","2.62","9.61","17.4","6.66","48.1","135"
"NOCTILIONIDAE","TRUE","141","","","","","","","","","136"
"    Noctilio albiventris","","141","8.77","16.5","29.2","5.25","25.5","21.5","13.0","184.2","137"
"    Noctilio leporinus","","141","18.3","31.4","62.0","10.6","46.3","50.5","27.8","361.7","138"
"MORMOOPIDAE","TRUE","141","","","","","","","","","139"
"    Pteronotus gymnonotus","","141","7.28","11.2","17.9","3.45","13.9","19.2","8.90","77.7","140"
"    Pteronotus personatus","","141","4.85","8.70","11.9","2.62","10.4","12.9","6.07","50.0","141"
"    Pteronotus parnelli","","141","11.8","22.3","27.6","5.89","24.3","34.6","13.6","119.8","142"
"    Mormoops megalophylla","","141","6.66","11.8","17.0","4.75","12.8","27.5","10.6","67.2","143"
"PHYLLOSTOMIDAE","TRUE","141","","","","","","","","","144"
"  PHYLLOSTOMINAE","TRUE","141","","","","","","","","","145"
"    Micronycteris megalotis","","141","10.3","15.4","14.3","2.45","11.2","14.1","7.59","59.7","146"
"    Micronycteris minuta","","141","12.0","15.9","14.7","2.93","10.5","17.3","9.02","65.6","147"
"    Micronycteris schmidtorum","","141","11.3","16.8","15.9","2.79","12.0","14.4","9.05","76.0","148"
"    Micronycteris brachyotis","","141","21.8","25.5","19.0","4.41","14.0","22.6","11.2","88.0","149"
"    Macrophyllum macrophyll.","","141","4.39","9.70","17.8","3.00","10.5","19.6","9.23","80.3","150"
"    Tonatia bidens","","141","30.3","42.0","35.6","8.05","28.9","41.7","22.4","206.6","151"
"    Tonatia schulzi","","141","8.99","14.3","24.0","3.60","12.6","16.1","10.1","153.5","152"
"    Tonatia sylvicola","","141","14.6","21.3","35.3","5.63","21.2","27.1","18.3","240.2","153"
"    Mimon crenulatum","","141","7.30","10.3","15.8","2.94","11.3","18.2","8.96","87.1","154"
"    Phyllostomus discolor","","141","39.8","53.3","58.1","13.3","38.8","67.9","39.2","312.6","155"
