"species_printed","is_header","source_pdf_page","MOB","PAL","STR","SEP","AMY","HIP","SCH","NEO","species_row"
"    Pteropus vampyrus","","138","376.4","414.1","572.0","113.5","139.7","443.9","294.9","3610","19"
"    Dobsonia inermis","","138","145.6","168.1","177.3","39.2","68.0","186.5","94.9","834.8","20"
"    D. moluccensis magna §)","","138","288.2","328.2","309.8","69.5","117.4","322.5","160.4","1743","21"
"    D. molucc. anderseni §)","","138","220.3","241.0","238.2","52.7","77.0","243.0","119.8","1284","22"
"    Dobsonia praedatrix","","138","199.6","190.3","192.9","41.8","68.8","181.2","93.1","933.0","23"
"    Hypsignathus monstrosus","","138","136.3","161.5","160.7","45.6","56.9","222.9","114.1","1056","24"
"    Epomops franqueti","","138","107.8","115.2","99.2","28.9","46.5","159.8","82.2","614.8","25"
"    Epomophorus labiatus","","138","86.9","82.8","81.7","21.4","37.2","114.3","54.1","460.8","26"
"    Micropteropus pusillus","","138","37.4","47.9","42.6","11.3","23.2","56.9","29.6","242.9","27"
"    Scotonycteris zenkeri","","138","37.0","39.9","33.0","9.23","16.8","73.8","31.6","182.5","28"
"    Casinycteris argynnis","","138","28.6","43.6","37.4","12.2","17.3","72.0","34.6","233.7","29"
"    Cynopterus brachyotis","","138","59.6","49.9","50.6","14.6","24.6","80.9","38.5","287.6","30"
"    Cynopterus horsfieldi","","138","66.0","64.6","66.5","18.5","29.0","110.3","56.8","432.3","31"
"    Cynopterus sphinx sphinx","","138","70.2","61.1","59.8","17.3","27.2","95.0","44.3","352.2","32"
"    Megaerops ecaudatus","","138","45.5","39.2","34.1","11.5","17.4","71.4","36.5","246.8","33"
"    Chironax melanocephalus","","138","35.8","35.7","28.4","9.53","14.8","56.9","26.5","168.3","34"
"    Sphaerias blanfordi","","138","33.5","42.7","39.8","14.5","19.7","68.6","33.6","223.8","35"
"    Balionycteris maculata","","138","31.2","29.2","22.4","8.44","13.0","54.7","23.6","135.0","36"
"PTEROPODIDAE (cont.)","TRUE","139","","","","","","","","","37"
"  NYCTIMENINAE","TRUE","139","","","","","","","","","38"
"    Nyctimene albiventer","","139","52.5","52.9","36.4","11.8","22.0","68.5","29.8","219.1","39"
"    Nyctimene robinsoni","","139","81.1","77.2","58.6","17.2","33.3","102.7","43.8","335.1","40"
"    Nyctimene vizcaccia","","139","73.2","71.0","45.1","14.0","26.8","73.0","31.7","257.0","41"
"    Paranyctimene raptor","","139","42.0","45.8","34.9","9.45","17.8","62.4","27.0","198.3","42"
"  MACROGLOSSINAE","TRUE","139","","","","","","","","","43"
"    Eonycteris spelaea","","139","67.0","68.6","69.5","19.9","32.5","97.7","55.4","384.0","44"
"    Megaloglossus woermanni","","139","25.3","30.8","30.8","10.2","15.6","64.4","31.6","190.1","45"
"    Macroglossus minimus","","139","26.9","28.5","28.0","8.14","13.0","47.0","22.8","155.7","46"
"    Macroglossus sobrinus","","139","33.2","36.0","36.7","11.8","19.5","58.9","23.8","186.2","47"
"    Syconycteris a. australis §)","","139","29.5","34.8","33.0","9.74","12.5","48.4","23.7","170.0","48"
"    S. australis papuana §)","","139","33.3","36.3","35.9","9.92","15.7","57.8","24.9","180.2","49"
"    Melonycteris melanops","","139","63.7","76.2","89.4","17.7","33.7","79.4","51.2","414.2","50"
"    Nesonycteris woodfordi","","139","44.6","54.5","65.7","14.3","23.2","66.8","41.9","320.0","51"
"    Notopteris macdonaldi","","139","63.0","93.9","94.2","23.6","39.4","96.6","52.2","419.9","52"
"RHINOPOMATIDAE","TRUE","139","","","","","","","","","53"
"    Rhinopoma hardwickei","","139","6.15","10.8","12.5","3.86","13.8","16.1","9.68","54.0","54"
"    Rhinopoma microphyllum","","139","8.80","16.9","17.1","5.03","15.4","25.8","13.9","77.5","55"
"EMBALLONURIDAE","TRUE","139","","","","","","","","","56"
"  EMBALLONURINAE","TRUE","139","","","","","","","","","57"
"    Emballonura monticola","","139","1.18","4.48","8.67","1.77","9.58","7.61","4.40","32.1","58"
"    Emballonura raffrayana","","139","1.28","6.04","8.00","2.19","8.10","9.08","5.23","34.5","59"
"    Emballonura semicaudata","","139","1.43","5.78","9.03","2.05","8.17","10.1","5.50","36.0","60"
"    Coleura afra","","139","3.98","8.90","12.7","2.78","13.8","12.4","7.76","52.5","61"
"    Rhynchonycteris naso","","139","0.91","3.62","5.91","1.40","6.79","5.48","3.01","22.1","62"
"    Saccopteryx bilineata","","139","1.99","7.53","11.1","2.70","15.7","12.2","8.96","43.9","63"
"    Saccopteryx canescens","","139","1.11","3.71","6.15","1.61","8.37","6.79","4.08","23.7","64"
"    Saccopteryx leptura","","139","1.36","5.06","7.17","1.71","9.64","8.65","4.92","30.0","65"
