"species_printed","is_header","source_pdf_page","CER","TCN","MCN","ICN","LCN","species_row"
"PTEROPODIDAE","TRUE","134","","","","","","1"
"    Cynopterus brachyotis","","134","122.690","2.676","0.666","1.000","1.010","2"
"    Cynopterus horsfieldi","","134","180.460","3.350","0.892","1.214","1.244","3"
"    Eonycteris spelaea","","134","172.665","3.434","1.006","1.088","1.340","4"
"RHINOLOPHIDAE","TRUE","134","","","","","","5"
"    Rhinolophus hipposideros","","134","30.411","0.746","0.166","0.258","0.322","6"
"HIPPOSIDERIDAE","TRUE","134","","","","","","7"
"    Hipposideros bicolor","","134","42.400","0.842","0.174","0.274","0.394","8"
"NOCTILIONIDAE","TRUE","134","","","","","","9"
"    Noctilio leporinus","","134","194.082","5.254","1.076","2.056","2.122","10"
"PHYLLOSTOMIDAE","TRUE","134","","","","","","11"
"    Phyllostomus discolor","","134","170.445","2.490","0.572","0.872","1.046","12"
"    Glossophaga soricina","","134","81.597","1.712","0.458","0.576","0.678","13"
"    Carollia perspieillata","","134","92.059","2.022","0.400","0.764","0.858","14"
"    Sturnira lilium","","134","96.057","1.782","0.362","0.572","0.848","15"
"    Vampyrops helleri","","134","97.232","1.710","0.358","0.532","0.820","16"
"    Artibeus jamaieensis","","134","173.820","3.012","0.556","1.076","1.380","17"
"    Artibeus lituratus","","134","221.877","4.304","0.810","1.478","2.016","18"
"DESMODONTIDAE","TRUE","134","","","","","","19"
"    Desmodus rotundus","","134","166.361","2.448","0.422","0.718","1.308","20"
"VESPERTILIONIDAE","TRUE","134","","","","","","21"
"    Myotis beehsteini","","134","42.532","1.090","0.306","0.268","0.516","22"
"    Myotis myotis","","134","87.119","2.046","0.558","0.640","0.848","23"
"    Myotis nattereri","","134","37.440","1.064","0.218","0.336","0.510","24"
"MOLOSSIDAE","TRUE","134","","","","","","25"
"    Tadarida leucostigma","","134","69.986","1.382","0.388","0.504","0.490","26"
