"species_printed","is_header","source_pdf_page","BoW_g","CV_BoW_pct","BrW_mg","CV_BrW_pct","n_BoW","n_BrW","Source","species_row"
"    Tadarida pumila","","32","10.3","5.1","243","5.7","18","18","S","379"
"    Tadarida pumila ssp.","","32","11.0","2.8","253","3.5","5","5","S","380"
"    Otomops martiensseni","","32","41.5","7.9","756","3.7","14","14","S","381"
"    Molossops abrasus","","32","33.3","2.1","418","4.9","4","4","S","382"
"    Molossops greenhalli","","32","17.5","","300","","1","1","S","383"
"    Molossops planirostris","","32","7.25","2.9","185","3.8","2","2","S","384"
"    Eumops auripendulus","","32","33.8","7.6","612","3.5","6","6","S","385"
"    Eumops glaucinus","","32","36.5","5.9","653","3.2","3","3","S","386"
"    Eumops perotis","","32","47.5","","802","","1","1","12","387"
"    Molossus ater","","32","33.6","17.8","526","9.7","19","19","S","388"
"    Molossus major","","32","13.0","11.7","267","7.6","77","77","10","389"
"    Molossus molossus","","32","13.7","11.7","317","7.1","24","24","S","390"
"    Molossus trinitatis","","32","19.2","0.7","435","2.1","2","2","S","391"
"    Cheiromeles torquatus","","32","167","6.5","1362","3.8","8","8","S","392"
