"species_printed","is_header","source_pdf_page","MES","MTG","MTC","INC","SUC","species_row"
"PTEROPODIDAE","TRUE","122","","","","","","1"
"  PTEROPODINAE","TRUE","122","","","","","","2"
"    Eidolon helvum","","122","200.71","120.77","79.94","28.59","51.35","3"
"    Rousettus aegyptiacus","","122","109.12","67.99","41.13","15.47","25.66","4"
"    Myonycteris torquata","","122","66.67","41.31","25.36","7.45","17.91","5"
"    Pteropus conspicillatus","","122","334.60","207.25","127.36","37.41","89.95","6"
"    Pteropus poliocephalus","","122","337.07","220.00","117.07","36.84","80.23","7"
"    Pteropus scapulatus","","122","236.15","165.05","71.10","21.15","49.95","8"
"    Pteropus tonganus","","122","248.02","155.31","92.72","28.94","63.78","9"
"    Pteropus vampyrus","","122","380.74","235.60","145.14","40.28","104.86","10"
"    Dobsonia inermis","","122","109.96","73.96","35.99","12.83","23.17","11"
"    D. moluccensis magna","","122","208.55","134.74","73.80","25.55","48.26","12"
"    Dobsonia praedatrix","","122","127.13","82.76","44.37","16.40","27.97","13"
"    Epomops franqueti","","122","138.37","80.64","57.72","22.60","35.13","14"
"    Epomophorus labiatus","","122","92.48","53.12","39.36","14.87","24.48","15"
"    Micropteropus pusillus","","122","48.40","28.03","20.38","7.04","13.34","16"
"    Scotonycteris zenkeri","","122","42.03","24.37","17.66","6.39","11.27","17"
"    Casinycteris argynnis","","122","54.17","30.57","23.60","8.50","15.10","18"
"    Cynopterus brachyotis","","122","51.44","26.81","24.64","8.80","15.84","19"
"    Cynopterus horsfieldi","","122","74.85","42.27","32.58","11.18","21.40","20"
"    Megaerops ecaudatus","","122","44.08","26.31","17.77","7.47","10.30","21"
"    Chironax melanocephalus","","122","31.34","17.65","13.68","5.01","8.68","22"
"    Balionycteris maculata","","122","29.73","16.78","12.95","4.80","8.15","23"
"  NYCTIMENINAE","TRUE","122","","","","","","24"
"    Nyctimene robinsoni","","122","72.29","47.33","24.96","9.24","15.72","25"
"    Nyctimene vizcaccia","","122","55.98","31.81","24.17","8.31","15.86","26"
"  MACROGLOSSINAE","TRUE","122","","","","","","27"
"    Eonycteris spelaea","","122","71.37","42.64","28.73","11.38","17.35","28"
"    Macroglossus minimus","","122","33.69","18.15","15.55","6.33","9.21","29"
"    Syconycteris a. australis","","122","31.42","16.81","14.60","5.32","9.28","30"
"    Notopteris macdonaldi","","122","66.18","42.22","23.95","9.71","14.24","31"
"RHINOPOMATIDAE","TRUE","123","","","","","","32"
"    Rhinopoma hardwickei","","123","30.34","13.75","16.59","12.05","4.54","33"
"    Rhinopoma microphyllum **","","123","40.26","18.16","22.10","16.77","5.33","34"
"EMBALLONURIDAE","TRUE","123","","","","","","35"
"  EMBALLONURINAE","TRUE","123","","","","","","36"
"    Emballonura monticola","","123","19.99","8.36","11.63","8.26","3.38","37"
"    Emballonura raffrayana","","123","21.36","8.56","12.80","9.31","3.49","38"
"    Emballonura semicaudata","","123","19.89","8.70","11.19","7.91","3.28","39"
"    Coleura afra","","123","26.26","10.60","15.66","10.71","4.94","40"
"    Rhynchonycteris naso","","123","14.63","6.85","7.78","5.21","2.57","41"
"    Saccopteryx leptura","","123","22.21","8.59","13.62","8.89","4.73","42"
"    Cormura brevirostris","","123","27.26","10.67","16.59","11.32","5.27","43"
"    Peropteryx trinitatis","","123","17.42","6.82","10.60","7.32","3.28","44"
"    Taphozous australis","","123","54.62","27.36","27.26","19.92","7.34","45"
"    Taphozous hildegardeae","","123","53.06","25.02","28.05","21.27","6.78","46"
"    Taphozous theobaldi","","123","66.53","31.83","34.70","25.45","9.25","47"
"    Taphozous saccolaimus","","123","72.94","32.80","40.14","31.01","9.13","48"
"  DICLIDURINAE","TRUE","123","","","","","","49"
"    Cyttarops alecto","","123","21.36","9.43","11.93","7.64","4.29","50"
"CRASEONYCTERIDAE","TRUE","123","","","","","","51"
"    Craseonycteris thonglongyai","","123","10.55","4.97","5.59","3.91","1.68","52"
"NYCTERIDAE","TRUE","123","","","","","","53"
"    Nycteris grandis","","123","72.82","36.55","36.27","24.59","11.68","54"
"    Nycteris macrotis","","123","38.46","18.64","19.82","12.83","6.99","55"
"    Nycteris nana","","123","24.90","12.72","12.18","7.67","4.51","56"
"    Nycteris thebaica","","123","32.80","15.86","16.94","10.99","5.95","57"
"MEGADERMATIDAE","TRUE","123","","","","","","58"
"    Megaderma lyra","","123","80.54","32.94","47.59","35.51","12.08","59"
"    Megaderma spasma","","123","61.94","26.79","35.16","26.95","8.21","60"
"    Macroderma gigas","","123","144.55","71.98","72.56","48.68","23.89","61"
"    Cardioderma cor","","123","66.63","30.56","36.06","25.16","10.90","62"
"    Lavia frons","","123","66.00","31.39","34.61","24.70","9.92","63"
"RHINOLOPHIDAE","TRUE","123","","","","","","64"
"    Rhinolophus landeri","","123","27.94","13.31","14.63","10.72","3.91","65"
"    Rhinolophus luctus","","123","56.51","23.11","33.40","24.85","8.55","66"
"    Rhinolophus pusillus","","123","16.01","8.27","7.73","5.41","2.33","67"
"HIPPOSIDERIDAE","TRUE","123","","","","","","68"
"    Hipposideros ater","","123","23.39","10.47","12.92","8.95","3.97","69"
"    Hipposideros ater aruensis","","123","22.46","9.85","12.61","8.92","3.70","70"
"    Hipposideros commersoni","","123","58.73","28.33","30.40","20.44","9.96","71"
"    Hipposideros diadema","","123","69.18","32.80","36.37","26.59","9.78","72"
"    Aselliscus stoliczkanus","","123","14.23","6.63","7.60","4.87","2.72","73"
"    Aselliscus tricuspidatus","","123","14.00","7.27","6.73","4.49","2.24","74"
"    Rhinonycteris aurantius","","123","25.29","11.99","13.29","8.68","4.61","75"
"    Triaenops persicus","","123","25.95","12.83","13.12","8.44","4.69","76"
"NOCTILIONIDAE","TRUE","124","","","","","","77"
"    Noctilio albiventris","","124","48.96","23.00","25.96","18.95","7.01","78"
"    Noctilio leporinus","","124","89.79","46.14","43.65","32.67","10.98","79"
"MORMOOPIDAE","TRUE","124","","","","","","80"
"    Pteronotus gymnonotus","","124","25.71","12.17","13.54","9.27","4.27","81"
"    Pteronotus parnelli","","124","40.88","20.66","20.22","14.34","5.89","82"
"    Mormoops megalophylla","","124","30.83","14.00","16.84","11.00","5.84","83"
"PHYLLOSTOMIDAE","TRUE","124","","","","","","84"
"  PHYLLOSTOMINAE","TRUE","124","","","","","","85"
"    Micronycteris megalotis","","124","23.41","11.01","12.40","8.09","4.31","86"
"    Micronycteris brachyotis","","124","28.61","14.70","13.91","8.81","5.10","87"
"    Macrophyllum macrophyllum","","124","28.63","14.83","13.80","9.31","4.49","88"
"    Tonatia bidens","","124","63.35","25.47","37.87","29.06","8.81","89"
"    Mimon crenulatum","","124","30.21","13.19","17.02","13.12","3.90","90"
"    Phyllostomus discolor","","124","63.38","33.91","29.46","18.53","10.93","91"
"    Phyllostomus hastatus","","124","95.74","51.02","44.72","30.80","13.92","92"
"    Phylloderma stenops","","124","71.14","38.75","32.39","20.11","12.28","93"
"    Trachops cirrhosus","","124","81.65","40.71","40.94","30.56","10.38","94"
"    Vampyrum spectrum","","124","154.89","76.69","78.20","55.65","22.55","95"
"  GLOSSOPHAGINAE","TRUE","124","","","","","","96"
"    Glossophaga soricina","","124","25.81","15.04","10.77","6.37","4.40","97"
"    Leptonycteris curasoae","","124","35.24","19.33","15.91","9.72","6.19","98"
"    Lionycteris spurrelli","","124","24.66","13.41","11.25","6.87","4.38","99"
"    Anoura geoffroyi","","124","34.51","21.31","13.20","8.01","5.19","100"
"  CAROLLIINAE","TRUE","124","","","","","","101"
"    Carollia perspicillata","","124","36.38","20.68","15.70","9.59","6.10","102"
"    Rhinophylla pumilio","","124","22.74","12.19","10.56","7.04","3.52","103"
"  STURNIRINAE","TRUE","124","","","","","","104"
"    Sturnira lilium","","124","33.23","19.70","13.53","7.47","6.06","105"
"  STENODERMINAE","TRUE","124","","","","","","106"
"    Uroderma bilobatum","","124","41.13","20.77","20.37","12.74","7.63","107"
"    Vampyrops vittatus","","124","67.08","35.15","31.93","19.82","12.11","108"
"    Chiroderma villosum","","124","51.57","24.39","27.18","18.12","9.06","109"
"    Artibeus cinereus","","124","29.66","15.79","13.87","8.85","5.02","110"
"    Artibeus lituratus","","124","68.88","39.10","29.78","18.83","10.95","111"
"  BRACHYPHYLLINAE","TRUE","124","","","","","","112"
"    Brachyphylla cavernarum","","124","68.32","40.33","27.99","17.90","10.09","113"
"DESMODONTIDAE","TRUE","125","","","","","","114"
"    Desmodus rotundus","","125","58.27","34.77","23.50","15.66","7.84","115"
"    Diphylla ecaudata","","125","52.96","28.63","24.33","15.30","9.04","116"
"NATALIDAE","TRUE","125","","","","","","117"
"    Natalus tumidirostris","","125","19.22","10.14","9.08","6.33","2.74","118"
"FURIPTERIDAE","TRUE","125","","","","","","119"
"    Furipterus horrens","","125","12.69","6.64","6.05","3.96","2.09","120"
"VESPERTILIONIDAE","TRUE","125","","","","","","121"
"VESPER TILIONIN AE","TRUE","125","","","","","","122"
"    Myotis albescens","","125","12.94","5.58","7.36","5.22","2.14","123"
"    Myotis annectans","","125","20.42","8.22","12.20","8.70","3.50","124"
"    Myotis dasycneme","","125","32.55","13.72","18.83","13.40","5.43","125"
"    Myotis myotis","","125","46.69","24.01","22.68","16.52","6.16","126"
"    Myotis siligorensis","","125","11.09","4.84","6.25","4.50","1.75","127"
"    Pipistrellus ceylonicus","","125","19.17","8.36","10.81","7.69","3.13","128"
"    Pipistrellus crassulus","","125","14.61","6.47","8.14","5.56","2.58","129"
"    Pipistrellus javanicus","","125","13.21","6.23","6.98","5.16","1.82","130"
