"species_printed","is_header","source_pdf_page","n","NET_mm3","NET_pct","VENT_mm3","VENT_pct","REST_mm3","REST_pct","species_row"
"PTEROPODIDAE","TRUE","46","","","","","","","","1"
"  PTEROPODINAE","TRUE","46","","","","","","","","2"
"    Eidolon helvum","","46","3","4018.6","97.0","68.5","1.7","53.8","1.3","3"
"    Rousettus aegyptiacus","","46","4","2112.6","96.2","21.0","1.0","63.3","2.9","4"
"    R. amplexicaud. brachyot. §)","","46","3","1278.9","98.0","12.7","1.0","13.4","1.0","5"
"    R. amplexic. stresemanni §)","","46","3","1624.7","97.8","17.5","1.1","19.1","1.1","6"
"    Myonycteris torquata","","46","3","1097.2","98.2","9.5","0.9","10.1","0.9","7"
"    Pteropus alecto","","46","2","6617.8","97.4","90.3","1.3","86.3","1.3","8"
"    Pteropus conspicillatus","","46","1","7848.6","97.4","117.6","1.5","93.7","1.2","9"
"    Pteropus hypomelanus","","46","1","4978.1","97.3","70.3","1.4","69.4","1.4","10"
"    Pteropus lylei","","46","4","5700.7","96.4","124.0","2.1","91.3","1.5","11"
"    Pteropus mahaganus","","46","2","4980.1","97.7","59.4","1.2","57.1","1.1","12"
"    Pteropus neohibernicus","","46","2","8486.6","96.5","190.9","2.2","119.8","1.4","13"
"    Pteropus poliocephalus","","46","2","6762.2","96.9","124.8","1.8","91.8","1.3","14"
"    Pteropus samoensis","","46","1","5448.9","97.5","76.9","1.4","64.9","1.2","15"
"    Pteropus scapulatus","","46","2","5074.1","98.1","49.9","1.0","49.8","1.0","16"
"    Pteropus temmincki","","46","2","4607.4","97.6","63.7","1.4","49.0","1.0","17"
"    Pteropus tonganus","","46","3","5730.2","97.6","82.2","1.4","58.2","1.0","18"
"    Pteropus vampyrus","","46","2","8501.0","96.6","201.8","2.3","101.2","1.1","19"
"    Dobsonia inermis","","46","3","2555.3","98.0","26.5","1.0","24.4","0.9","20"
"    D. moluccensis magna §)","","46","2","5018.1","97.3","81.5","1.6","56.8","1.1","21"
"    D. molucc. anderseni §)","","46","3","3616.1","97.8","39.2","1.1","40.7","1.1","22"
"    Dobsonia praedatrix","","46","3","2836.3","97.0","38.1","1.3","48.3","1.7","23"
"    Hypsignathus monstrosus","","46","3","3249.1","96.8","36.9","1.1","72.2","2.1","24"
"    Epomops franqueti","","46","3","2077.2","97.4","32.2","1.5","23.8","1.1","25"
"    Epomophorus labiatus","","46","3","1489.5","97.3","14.2","0.9","27.1","1.8","26"
"    Micropteropus pusillus","","46","3","779.5","97.8","7.6","1.0","10.1","1.3","27"
"    Scotonycteris zenkeri","","46","2","669.7","97.7","7.4","1.1","8.3","1.2","28"
"    Casinycteris argynnis","","46","5","791.1","97.8","8.5","1.0","9.4","1.2","29"
"    Cynopterus brachyotis","","46","3","926.8","97.9","9.0","1.0","11.1","1.2","30"
"    Cynopterus horsfieldi","","46","3","1301.0","98.2","10.8","0.8","13.5","1.0","31"
"    Cynopterus sphinx sphinx","","46","3","1129.9","97.6","13.4","1.2","14.0","1.2","32"
"    Megaerops ecaudatus","","46","2","755.8","98.2","6.8","0.9","6.7","0.9","33"
"    Chironax melanocephalus","","46","3","572.5","97.9","5.8","1.0","6.6","1.1","34"
"    Sphaerias blanfordi","","46","4","777.5","96.8","13.9","1.7","11.6","1.5","35"
"    Balionycteris maculata","","46","2","484.5","98.0","4.3","0.9","5.4","1.1","36"
"PTEROPODIDAE (cont.)","TRUE","47","","","","","","","","37"
"  NYCTIMENINAE","TRUE","47","","","","","","","","38"
"    Nyctimene albiventer","","47","2","3","97.8","3","1.1","3","1.1","39"
"    Nyctimene robinsoni","","47","2","1161.8","97.7","13.8","1.2","13.6","1.1","40"
"    Nyctimene vizcaccia","","47","3","933.7","97.9","8.1","0.9","11.9","1.2","41"
"    Paranyctimene raptor","","47","3","690.6","97.9","8.6","1.2","6.4","0.9","42"
"  MACROGLOSSINAE","TRUE","47","","","","","","","","43"
"    Eonycteris spelaea","","47","3","1239.9","98.1","12.0","0.9","12.6","1.0","44"
"    Megaloglossus woermanni","","47","3","645.0","98.4","5.3","0.8","5.1","0.8","45"
"    Macroglossus minimus","","47","4","530.8","98.0","5.3","1.0","5.4","1.0","46"
"    Macroglossus sobrinus","","47","3","657.7","98.2","5.5","0.8","6.7","1.0","47"
"    Syconycteris a. australis §)","","47","1","541.0","98.3","3.9","0.7","5.2","1.0","48"
"    S. australis papuana §)","","47","3","595.3","98.4","5.1","0.8","4.8","0.8","49"
"    Melonycteris melanops","","47","3","1225.7","98.4","9.8","0.8","10.7","0.9","50"
"    Nesonycteris woodfordi","","47","3","965.5","98.4","8.0","0.8","8.1","0.8","51"
"    Notopteris macdonaldi","","47","3","1385.0","98.6","8.1","0.6","12.3","0.9","52"
"RHINOPOMATIDAE","TRUE","47","","","","","","","","53"
"    Rhinopoma hardwickei","","47","3","260.0","98.0","2.0","0.8","3.4","1.3","54"
"    Rhinopoma microphyllum","","47","3","364.5","97.6","4.1","1.1","5.0","1.3","55"
"EMBALLONURIDAE","TRUE","47","","","","","","","","56"
"  EMBALLONURINAE","TRUE","47","","","","","","","","57"
"    Emballonura monticola","","47","3","157.4","98.2","1.0","0.7","1.8","1.1","58"
"    Emballonura raffrayana","","47","3","165.0","98.2","1.3","0.8","1.6","1.0","59"
"    Emballonura semicaudata","","47","3","173.8","97.9","1.4","0.8","2.4","1.3","60"
"    Coleura afra","","47","3","243.8","98.3","1.5","0.6","2.7","1.1","61"
"    Rhynchonycteris naso","","47","3","111.6","98.0","0.7","0.6","1.6","1.4","62"
"    Saccopteryx bilineata","","47","4","216.3","98.3","0.9","0.4","2.9","1.3","63"
"    Saccopteryx canescens","","47","1","122.8","97.9","0.8","0.6","1.9","1.5","64"
"    Saccopteryx leptura","","47","3","152.5","98.2","1.0","0.6","1.9","1.2","65"
"    Cormura brevirostris","","47","3","206.7","97.8","2.3","1.1","2.4","1.1","66"
"    Peropteryx macro tis","","47","3","154.0","98.5","0.9","0.6","1.4","0.9","67"
"    Peropteryx trinitatis","","47","3","129.7","98.1","1.0","0.8","1.6","1.2","68"
"    Taphozous australis","","47","2","488.9","98.0","3.8","0.8","6.4","1.3","69"
"    Taphozous hildegardeae","","47","3","514.6","97.8","6.3","1.2","5.2","1.0","70"
"    Taphozous mauritianus","","47","2","522.3","98.2","3.7","0.7","5.9","1.1","71"
"    Taphozous melanopogon","","47","3","506.7","97.9","3.8","0.7","7.0","1.4","72"
"    Taphozous theobaldi","","47","3","642.3","97.7","6.0","0.9","9.0","1.4","73"
"    Taphozous saccolaimus","","47","3","631.2","97.5","6.6","1.0","9.9","1.5","74"
"  DICLIDURINAE","TRUE","47","","","","","","","","75"
"    Cyttarops alecto","","47","","165.6","98.0","1.4","0.8","1.9","1.1","76"
"CRASEONYCTERIDAE","TRUE","47","","","","","","","","77"
"    Craseonycteris thonglongyai","","47","3","81.7","97.2","0.6","0.7","1.7","2.0","78"
"NYCTERIDAE","TRUE","48","","","","","","","","79"
"    Nycteris arge","","48","2","3","98.8","3","0.3","3","0.9","80"
"    Nycteris grandis","","48","4","674.2","98.5","3.7","0.5","6.5","1.0","81"
