"species_printed","is_header","source_pdf_page","TOT","NEO","ALLO","SEMI","SCH","BIC","species_row"
"Pteropus giganteus","","161","1548","1021","527","194","81","252","1"
"Rousettus leschenaulti","","161","446","242","204","68","30","106","2"
"Myotis daubentoni","","161","129","47","82","22","17","43","3"
"Myotis myotis","","161","154","66","88","27","19","42","4"
"Pipistrellus pipistrellus","","161","58","21","37","11","7","19","5"
"Eptesicus serotinus","","161","121","45","76","22","14","40","6"
