"species_row","Species_Baron1996","body_weight_g","brain_weight_mg","medulla_oblongata_mm3","mesencephalon_mm3","cerebellum_mm3","diencephalon_mm3","telencephalon_mm3","main_olfactory_bulb_mm3","paleocortex_plus_amygdala_mm3","septum_mm3","striatum_mm3","hippocampus_mm3","schizocortex_mm3","neocortex_mm3","source_pdf_page"
1,"Penthetor lucasi (PTN)",35,980,89.29,55.13,106.24,96.22,583.6,39.9,85.16,9.92,49.08,76.05,33.86,289.63,166
2,"Lonchorhina aurita (PHN)",18,377,57.82,35.87,80.71,29.89,156.24,3.34,21.88,3.24,16.59,20.32,9.59,81.28,166
3,"Ardops annectans (STE)",15,610,59.88,49.88,79.96,47.82,336.85,18.48,58.55,9.79,35.55,37.2,13.93,163.35,166
4,"Ametrida centurio (STE)",10.5,290,40,16.97,50,23.94,147.87,6.91,20.93,2.88,12,17.41,8.93,78.81,166
5,"Diaemus youngi (DES)",37,1090,104.17,80.38,166.38,85.8,599.9,27.45,81.33,10.24,60.31,41.44,21.72,357.41,166
6,"Thyroptera tricolor (THY)",4.5,230,26.84,25.37,39.4,14.93,112.76,1.88,15.21,2.37,13.38,20.47,8.54,50.91,166
