"species_row","Species_Baron1996","source_concept","NCBI_id","NCBI_name","candidate_name","resolution_status","merge_eligible","source_rows_same_concept","source_rows_same_candidate","within_source_mean_required","note"
133,"Tonatia schulzi","Tonatia schulzi","409033","Lophostoma schulzi","Lophostoma schulzi","NCBI_exact",TRUE,1,1,FALSE,""
134,"Tonatia sylvicola","Tonatia sylvicola","263451","Lophostoma silvicolum","Lophostoma silvicolum","NCBI_exact",TRUE,1,1,FALSE,""
135,"Mimon crenulatum","Mimon crenulatum","148071","Gardnerycteris crenulatum","Gardnerycteris crenulatum","NCBI_exact",TRUE,1,1,FALSE,""
136,"Phyllostomus discolor","Phyllostomus discolor","89673","Phyllostomus discolor","Phyllostomus discolor","NCBI_exact",TRUE,1,1,FALSE,""
137,"Phyllostomus elongatus","Phyllostomus elongatus","187005","Phyllostomus elongatus","Phyllostomus elongatus","NCBI_exact",TRUE,1,1,FALSE,""
138,"Phyllostomus hastatus","Phyllostomus hastatus","9423","Phyllostomus hastatus","Phyllostomus hastatus","NCBI_exact",TRUE,1,1,FALSE,""
139,"Phylloderma stenops","Phylloderma stenops","148072","Phylloderma stenops","Phylloderma stenops","NCBI_exact",TRUE,1,1,FALSE,""
140,"Trachops cirrhosus","Trachops cirrhosus","148073","Trachops cirrhosus","Trachops cirrhosus","NCBI_exact",TRUE,1,1,FALSE,""
141,"Vampyrum spectrum","Vampyrum spectrum","148074","Vampyrum spectrum","Vampyrum spectrum","NCBI_exact",TRUE,1,1,FALSE,""
142,"Glossophaga longirostris","Glossophaga longirostris","177161","Glossophaga longirostris","Glossophaga longirostris","NCBI_exact",TRUE,1,1,FALSE,""
143,"Glossophaga soricina","Glossophaga soricina","27638","Glossophaga soricina","Glossophaga soricina","NCBI_exact",TRUE,1,1,FALSE,""
144,"Monophyllus plethodon","Monophyllus plethodon","177163","Monophyllus plethodon","Monophyllus plethodon","NCBI_exact",TRUE,1,1,FALSE,""
145,"Leptonycteris curasoae","Leptonycteris curasoae","55054","Leptonycteris curasoae","Leptonycteris curasoae","NCBI_exact",TRUE,1,1,FALSE,""
146,"Leptonycteris nivalis","Leptonycteris nivalis","59456","Leptonycteris nivalis","Leptonycteris nivalis","NCBI_exact",TRUE,1,1,FALSE,""
147,"Lonchophylla mordax","Lonchophylla mordax","190508","Lonchophylla mordax","Lonchophylla mordax","NCBI_exact",TRUE,1,1,FALSE,""
148,"Lonchophylla thomasi","Lonchophylla thomasi","138705","Hsunycteris thomasi","Hsunycteris thomasi","NCBI_exact",TRUE,1,1,FALSE,""
149,"Lionycteris spurrelli","Lionycteris spurrelli","148090","Lionycteris spurrelli","Lionycteris spurrelli","NCBI_exact",TRUE,1,1,FALSE,""
150,"Anoura caudifer","Anoura caudifer","27642","Anoura caudifer","Anoura caudifer","NCBI_exact",TRUE,1,1,FALSE,""
151,"Anoura geoffroyi","Anoura geoffroyi","148021","Anoura geoffroyi","Anoura geoffroyi","NCBI_exact",TRUE,1,1,FALSE,""
152,"Choeroniscus minor","Choeroniscus minor","249003","Choeroniscus minor","Choeroniscus minor","NCBI_exact",TRUE,1,1,FALSE,""
153,"Carollia castanea","Carollia castanea","138696","Carollia castanea","Carollia castanea","NCBI_exact",TRUE,1,1,FALSE,""
154,"Carollia perspicillata","Carollia perspicillata","40233","Carollia perspicillata","Carollia perspicillata","NCBI_exact",TRUE,1,1,FALSE,""
