"component","panda_volume_mm3","panda_percent","raccoon_volume_mm3","raccoon_percent","bear_volume_mm3","bear_percent","source"
"BO",6.39,3.73,1.12,0.61,2.16,1.45,"Pirlot_Jiao_1985_Table1"
"N",674.6,64.42,235.54,63,881.3,82.13,"Pirlot_Jiao_1985_Table1"
"RH",32.08,3.08,13.94,3.73,52.6,4.85,"Pirlot_Jiao_1985_Table1"
"S",3.19,0.3,0.97,0.27,6.26,0.58,"Pirlot_Jiao_1985_Table1"
"D",52.99,4.99,18.41,4.92,52.38,4.82,"Pirlot_Jiao_1985_Table1"
"ST",62.18,5.99,25.12,6.69,94.66,8.72,"Pirlot_Jiao_1985_Table1"
"H",23.15,2.21,6.21,1.74,24.5,2.27,"Pirlot_Jiao_1985_Table1"
"M",19.65,1.87,9.21,2.41,25.46,2.41,"Pirlot_Jiao_1985_Table1"
"C",153.52,14.64,50.28,13.78,152.49,13.78,"Pirlot_Jiao_1985_Table1"
"O",19.89,1.89,10.9,2.82,25.25,2.27,"Pirlot_Jiao_1985_Table1"
