species,species_sci,specimen_type,brain_component_code,brain_component_name,volume_mm3,pct_of_total_brain,pct_of_telencephalon,total_brain_volume_mm3
Dugong,Dugong dugong,individual,N,neocortex,127460.42,57.17,78.16,223002.14
Dugong,Dugong dugong,individual,RH,rhinencephalon,22549.38,10.11,13.82,223002.14
Dugong,Dugong dugong,individual,S,septum,1629.19,0.73,1,223002.14
Dugong,Dugong dugong,individual,D,diencephalon,15643.63,7.01,NA,223002.14
Dugong,Dugong dugong,individual,St,striatum,9386.18,4.21,5.75,223002.14
Dugong,Dugong dugong,individual,H,hippocampus,2074.54,0.93,1.27,223002.14
Dugong,Dugong dugong,individual,M,mesencephalon,2863.77,1.28,NA,223002.14
Dugong,Dugong dugong,individual,C,cerebellum,32651.51,14.64,NA,223002.14
Dugong,Dugong dugong,individual,O,medulla oblongata,8743.52,3.92,NA,223002.14
