scientific_name,common_name,activity_pattern,visual_acuity_cdeg_as_printed,source_as_printed
Homo sapiens,Human,Diurnal,50.0–77.0,"Cavonius and Robbins, 1973; DeValois et al., 1974"
Macaca mulatta,Rhesus macaque,Diurnal,46.2–53.6,"Cowey and Ellis, 1967; Cavonius and Robbins, 1973"
Macaca nemestrina,Pig-tailed macaque,Diurnal,46.0,"DeValois et al., 1974"
Macaca fascicularis,Crab-eating macaque,Diurnal,46.0,"DeValois et al., 1974"
Saimiri sciureus,Squirrel monkey,Diurnal,40.5,"Cowey and Ellis, 1967"
Equus caballus,Domestic horse,Cathemeral,10.9–23.3,"Timney and Keil, 1992"
Aotus trivirgatus,Northern owl monkey,Nocturnal,10.0,"Jacobs, 1977"
Camelus bactrius,Bactrian camel,Cathemeral,10.0,"Harman et al., 2001"
Felis catus,Domestic cat,Cathemeral,5.0–8.9,"Bisti and Maffei, 1974; Blake et al., 1974; Jacobson et al., 1976"
Lemur catta,Ring-tailed lemur,Diurnal,6.0–6.7,"Neuringer et al., 1981"
Suricata suricatta,Meerkat,Diurnal,6.3,"Moran et al., 1983"
Otolemur crassicaudatus,Fat-tailed bush baby,Nocturnal,4.8–6.0,"Langston et al., 1986"
Zalophus californicus,California sea lion,Cathemeral,5.4–5.7,"Schusterman and Balliet, 1970b"
Myrmecobius fasciatus,Numbat,Diurnal,5.2,"Arrese et al., 2000"
Lagenorhynchus obliquidens,Pacific white-sided dolphin,Cathemeral,5.0,"Spong and White, 1971"
Eumetopias jubata,Stellar sea lion,Cathemeral,4.2 (water),"Schusterman and Balliet, 1970a"
Spermophilus beecheyi,California ground squirrel,Diurnal,4.0,"Jacobs et al., 1980"
Sciurus griseus,Western gray squirrel,Diurnal,3.9,"Jacobs et al., 1982"
Sciurus niger,Fox squirrel,Diurnal,3.9,"Jacobs et al., 1982"
Sciurus caroliniensis,Eastern gray squirrel,Diurnal,3.9,"Jacobs et al., 1982"
Tursiops truncatus,Bottlenose dolphin,Cathemeral,1.6–2.5 (air); 2.5–3.8 (water),"Herman et al., 1975"
Phoca vitulina,Harbour seal,Cathemeral,3.6,"Schusterman and Balliet, 1970a"
Pteropus giganteus,Indian flying fox,Nocturnal,3.5,"Neuweiler, 1962; cited in Pettigrew et al., 1988"
Oryctolagus cuniculus,Old World rabbit,Cathemeral,1.5–3.0,"Van Hof, 1967; Vaney, 1980"
Dasyurus hallucatus,Quoll,Nocturnal,2.3–2.8,"Harman et al., 1986"
Amblonyx cinerea,Asian clawless otter,Cathemeral,1.9–2.2 (air); 2.0 (water),"Balliet and Schusterman, 1971"
Sminthopsis crassicaudata,Fat-tailed dunnart,Nocturnal,2.4,"Arrese et al., 1999"
Tupaia belangeri,Tree shrew,Diurnal,1.2–2.4,"Petry et al., 1984"
Mustela putorius,European polecat,Cathemeral,1.2–1.9,"Neumann and Schmidt, 1959, cited in Mass and Supin, 2000"
Mustela erminea,Ermine,Cathemeral,1.2–1.9,"Neumann and Schmidt, 1959, cited in Mass and Supin, 2000"
Rattus norvegicus,Pigmented laboratory rat,Nocturnal,1.2–1.6,"Birch and Jacobs, 1979; Seymoure and Juraska, 1997"
Tarsipes rostratus,Honey possum,Cathemeral,0.6,"Arrese et al., 2002"
Mus musculus,House mouse,Cathemeral,0.5,"Sinex et al., 1979; Prusky et al., 2000"
Mesocricetus auratus,Golden hamster,Nocturnal,0.5,"Emerson, 1980"
Phyllostomus hastatus,Greater spear-nosed bat,Nocturnal,0.1–0.4,"Suthers, 1966"
Artibeus jamaicensis,Jamaican fruit-eating bat,Nocturnal,0.1–0.4,"Suthers, 1966"
Myotis lucifugus,Little brown bat,Nocturnal,0.05–0.1,"Suthers, 1966"
