"specimen_key","species","species_printed","catalogue_number","neopallium_volume_mm3","total_brain_volume_mm3","basal_ganglia_volume_mm3","basal_ganglia_definition","neopallium_provenance","total_brain_provenance","basal_ganglia_provenance","underlying_reference","publication_source","source_doi","data_status"
"Pan troglodytes__catalogue_280","Pan troglodytes","Pan troglodytes","280",331912,444981,15890,"striatum_plus_pallidum","Stephan_unpublished_specimen_data_via_H_Frahm","Stephan_unpublished_specimen_data_via_H_Frahm","Stephan_unpublished_specimen_data_via_H_Frahm","Stephan_etal_1981","Smaers_etal_2010_Table1","10.1371/journal.pone.0009123","published_in_Smaers_etal_2010_from_previously_unpublished_specimen_data"
"Gorilla gorilla__catalogue_375","Gorilla gorilla","Gorilla gorilla","375",307299,434363,15714,"striatum_plus_pallidum","Stephan_unpublished_specimen_data_via_H_Frahm","Stephan_unpublished_specimen_data_via_H_Frahm","Stephan_unpublished_specimen_data_via_H_Frahm","Stephan_etal_1981","Smaers_etal_2010_Table1","10.1371/journal.pone.0009123","published_in_Smaers_etal_2010_from_previously_unpublished_specimen_data"
"Hylobates lar__catalogue_1203","Hylobates lar","Hylobates lar","1203",65735,98359,5495,"striatum_plus_pallidum","Stephan_unpublished_specimen_data_via_H_Frahm","Stephan_unpublished_specimen_data_via_H_Frahm","Stephan_unpublished_specimen_data_via_H_Frahm","Stephan_etal_1981","Smaers_etal_2010_Table1","10.1371/journal.pone.0009123","published_in_Smaers_etal_2010_from_previously_unpublished_specimen_data"
"Papio anubis__catalogue_97","Papio anubis","Papio anubis","97",132254,184363,8230,"striatum_plus_pallidum","Stephan_unpublished_specimen_data_via_H_Frahm","Stephan_unpublished_specimen_data_via_H_Frahm","Stephan_unpublished_specimen_data_via_H_Frahm","Stephan_etal_1981","Smaers_etal_2010_Table1","10.1371/journal.pone.0009123","published_in_Smaers_etal_2010_from_previously_unpublished_specimen_data"
"Cercocebus albigena__catalogue_242","Cercocebus albigena","Cercoceb. alb.","242",73496,106660,5018,"striatum_plus_pallidum","Stephan_unpublished_specimen_data_via_H_Frahm","Stephan_unpublished_specimen_data_via_H_Frahm","Stephan_unpublished_specimen_data_via_H_Frahm","Stephan_etal_1981","Smaers_etal_2010_Table1","10.1371/journal.pone.0009123","published_in_Smaers_etal_2010_from_previously_unpublished_specimen_data"
"Cercopithecus mitis__catalogue_261","Cercopithecus mitis","Cercopith. Mit.","261",49933,72394,,,"Stephan_unpublished_specimen_data_via_H_Frahm","Stephan_unpublished_specimen_data_via_H_Frahm",,"Stephan_etal_1981","Smaers_etal_2010_Table1","10.1371/journal.pone.0009123","published_in_Smaers_etal_2010_from_previously_unpublished_specimen_data"
"Cercopithecus ascanius__catalogue_219","Cercopithecus ascanius","Cercopith. asc.","219",41459,59363,3000,"striatum_plus_pallidum","Stephan_unpublished_specimen_data_via_H_Frahm","Stephan_unpublished_specimen_data_via_H_Frahm","Stephan_unpublished_specimen_data_via_H_Frahm","Stephan_etal_1981","Smaers_etal_2010_Table1","10.1371/journal.pone.0009123","published_in_Smaers_etal_2010_from_previously_unpublished_specimen_data"
"Erythrocebus patas__catalogue_1341","Erythrocebus patas","Erythroceb. p.","1341",69118,93726,,,"Stephan_unpublished_specimen_data_via_H_Frahm","Stephan_unpublished_specimen_data_via_H_Frahm",,"Stephan_etal_1981","Smaers_etal_2010_Table1","10.1371/journal.pone.0009123","published_in_Smaers_etal_2010_from_previously_unpublished_specimen_data"
"Miopithecus talapoin__catalogue_1171","Miopithecus talapoin","Miopith. tal.","1171",27175,39672,,,"Stephan_unpublished_specimen_data_via_H_Frahm","Stephan_unpublished_specimen_data_via_H_Frahm",,"Stephan_etal_1981","Smaers_etal_2010_Table1","10.1371/journal.pone.0009123","published_in_Smaers_etal_2010_from_previously_unpublished_specimen_data"
"Nasalis larvatus__catalogue_1365","Nasalis larvatus","Nasalis larv.","1365",41521,62017,3024,"striatum_plus_pallidum","Stephan_unpublished_specimen_data_via_H_Frahm","Stephan_unpublished_specimen_data_via_H_Frahm","Stephan_unpublished_specimen_data_via_H_Frahm","Stephan_etal_1981","Smaers_etal_2010_Table1","10.1371/journal.pone.0009123","published_in_Smaers_etal_2010_from_previously_unpublished_specimen_data"
